siglip_b  wn30bal real      s=real  seed 0 depth: real -0.0117 star +0.0021 depth -0.0137 z -1.12 (106s)
siglip_b  wn30bal rand6     s=0.0   seed 0 depth: real +0.0082 star +0.0021 depth +0.0061 z +0.37 (100s)
siglip_b  wn30bal rand6     s=0.0   seed 1 depth: real +0.0042 star +0.0021 depth +0.0021 z +0.13 (105s)
siglip_b  wn30bal rand6     s=0.0   seed 2 depth: real +0.0040 star +0.0021 depth +0.0020 z +0.13 (101s)
siglip_b  wn30bal rand6     s=0.0   seed 3 depth: real +0.0061 star +0.0021 depth +0.0041 z +0.24 (104s)
siglip_b  wn30bal rand6     s=0.0   seed 4 depth: real +0.0008 star +0.0021 depth -0.0013 z -0.08 (101s)
siglip_b  wn30bal rand6     s=0.25  seed 0 depth: real -0.0037 star +0.0021 depth -0.0058 z -0.36 (102s)
siglip_b  wn30bal rand6     s=0.25  seed 1 depth: real +0.0043 star +0.0021 depth +0.0022 z +0.13 (99s)
siglip_b  wn30bal rand6     s=0.25  seed 2 depth: real +0.0027 star +0.0021 depth +0.0006 z +0.04 (101s)
siglip_b  wn30bal rand6     s=0.25  seed 3 depth: real +0.0028 star +0.0021 depth +0.0007 z +0.05 (98s)
siglip_b  wn30bal rand6     s=0.25  seed 4 depth: real +0.0026 star +0.0021 depth +0.0006 z +0.04 (101s)
siglip_b  wn30bal rand6     s=0.5   seed 0 depth: real -0.0009 star +0.0021 depth -0.0030 z -0.18 (99s)
siglip_b  wn30bal rand6     s=0.5   seed 1 depth: real -0.0014 star +0.0021 depth -0.0035 z -0.23 (100s)
siglip_b  wn30bal rand6     s=0.5   seed 2 depth: real -0.0010 star +0.0021 depth -0.0031 z -0.22 (100s)
siglip_b  wn30bal rand6     s=0.5   seed 3 depth: real -0.0013 star +0.0021 depth -0.0034 z -0.21 (96s)
siglip_b  wn30bal rand6     s=0.5   seed 4 depth: real -0.0009 star +0.0021 depth -0.0030 z -0.21 (92s)
siglip_b  wn30bal rand6     s=0.75  seed 0 depth: real -0.0025 star +0.0021 depth -0.0046 z -0.35 (89s)
siglip_b  wn30bal rand6     s=0.75  seed 1 depth: real -0.0014 star +0.0021 depth -0.0036 z -0.25 (80s)
siglip_b  wn30bal rand6     s=0.75  seed 2 depth: real -0.0023 star +0.0021 depth -0.0044 z -0.30 (80s)
siglip_b  wn30bal rand6     s=0.75  seed 3 depth: real -0.0011 star +0.0021 depth -0.0032 z -0.21 (78s)
siglip_b  wn30bal rand6     s=0.75  seed 4 depth: real +0.0005 star +0.0021 depth -0.0016 z -0.12 (74s)
siglip_b  wn30bal rand6     s=1.0   seed 0 depth: real -0.0110 star +0.0021 depth -0.0132 z -0.87 (66s)
siglip_b  wn30bal rand6     s=1.0   seed 1 depth: real -0.0154 star +0.0021 depth -0.0175 z -1.15 (47s)
siglip_b  wn30bal rand6     s=1.0   seed 2 depth: real -0.0072 star +0.0021 depth -0.0094 z -0.67 (47s)
siglip_b  wn30bal rand6     s=1.0   seed 3 depth: real -0.0104 star +0.0021 depth -0.0126 z -0.91 (45s)
siglip_b  wn30bal rand6     s=1.0   seed 4 depth: real -0.0151 star +0.0021 depth -0.0173 z -1.21 (41s)
PART DONE wn30bal siglip_b
