model,frame,n_runs,real_z,real_depth,ratio_real,hits_s0,hits_s025,hits_s05,hits_s075,hits_s1,s_star,z_mean_s0,z_max_s0,z_mean_s05,z_mean_s1,z_max_s1
i21k_t,wn30bal,25,-2.084951357521128,-0.025139770236856044,1.3996120691299438,0,0,0,0,1,,-0.2809415245235887,0.2386206572804585,-1.1306507352127544,-1.2710773102426693,-0.707062039404897
i21k_s,wn30bal,25,-1.7233653157783908,-0.015559428603145778,1.7825034856796265,0,0,0,0,0,,0.15284379067784398,0.5114444015510444,-0.1429544180803394,-1.0707648293410876,-0.5400115353518329
i21k_b,wn30bal,25,-2.824889155005592,-0.029966339288387368,1.802642107009888,0,0,0,0,0,,0.15315275625243227,0.3365247472774485,-0.40125856364231033,-0.10321910168649702,0.033384346622882116
i21k_l,wn30bal,25,-5.570228900967163,-0.0350343725831976,1.736889123916626,0,0,0,0,0,,0.7517420201356455,1.087064682418906,-0.29997356910249107,-0.6347796178991714,-0.4399512454510832
dinov1_b,wn30bal,25,-0.9835317032178108,-0.009110909531454962,1.9527714252471924,0,0,0,0,0,,0.5311050001847357,1.4064552725005766,0.15951934535575202,0.3280279635322422,0.7630377620515731
dinov2_s,wn30bal,25,0.12129969347852962,0.0014704599260753194,2.846029043197632,0,0,0,0,0,,-0.19259364416910435,0.31049239463499384,-0.2278684991181706,-0.2525562698284243,0.009596076437245716
dinov2_b,wn30bal,25,-0.3234945207548872,-0.003978025227582375,3.5713427066802983,0,0,0,0,0,,0.45193901896771294,0.7051728521056418,-0.08828374667796637,-0.3624975297268387,-0.18240420871582705
dinov2_l,wn30bal,25,-1.6968488047364505,-0.018471485884801974,3.734540462493897,0,0,0,0,0,,0.4896970810828063,0.6876938571040218,-0.6036859718418414,-0.3562486432929313,-0.10666691796712167
dinov2_g,wn30bal,25,-0.9268746489798504,-0.010228796967021732,3.8140959739685063,0,0,0,0,0,,0.02092666423668485,0.2321603512988135,-0.5668315985047145,-0.5810784918998322,-0.38055708077132505
clip_b,wn30bal,25,-1.2922613670047192,-0.01397550848621942,1.2012906074523926,0,0,0,0,0,,-0.1976832268151188,0.01400334933137172,-0.11219853695556987,-0.6284825464520946,-0.3987066708803738
clip_l,wn30bal,25,-0.6771819855282402,-0.006307053844482356,1.3579915761947632,0,0,0,0,0,,0.16838438695067173,0.4927919373917105,0.27707953706488075,-0.6706320186373381,-0.4830741382245449
siglip_b,wn30bal,25,-1.121319769154545,-0.013733476969908287,1.4114023447036743,0,0,0,0,0,,0.15668848074835645,0.3727250827717861,-0.20933607537741733,-0.9607728964320282,-0.6667380424060895
