model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_t,imagenet,-1,1000,0.08783908467353604,0.0003035147351940353,0.09315779022377392,0.004220296363339023,-0.005318705550237876,45,0.1176470588235294,50,73.86726808547974
i21k_t,imagenet,0,1000,0.08871234529085162,0.00020467586397463289,0.09285200502298244,0.004190406343826757,-0.004139659732130818,42,0.17647058823529413,50,82.0924379825592
i21k_t,imagenet,1,1000,0.08813615954847576,0.00027444902672241233,0.092864345455786,0.0041885428760428224,-0.004728185907310237,43,0.1568627450980392,50,81.12041425704956
i21k_t,imagenet,2,1000,0.08825121396751084,0.000274274350695764,0.0929162838658665,0.00419131479742748,-0.0046650698983556615,43,0.1568627450980392,50,81.71057152748108
i21k_t,imagenet,3,1000,0.08815991581521271,0.0002667712050790312,0.09292039651351493,0.0042003490295627905,-0.004760480698302204,43,0.1568627450980392,50,79.22060465812683
i21k_t,imagenet,4,1000,0.08773761629263369,0.00018304839422059516,0.09300966881540193,0.0042029195975690275,-0.0052720525227682455,45,0.1176470588235294,50,58.60931348800659
i21k_t,imagenet,5,1000,0.0868633029732125,0.0003835105856900434,0.09295496676669686,0.004188611955728374,-0.00609166379348436,45,0.1176470588235294,50,63.983650922775276
i21k_t,imagenet,6,1000,0.08861024634182388,0.0003196221388450352,0.09289542816355356,0.004193719931425915,-0.0042851818217296824,42,0.17647058823529413,50,63.65011167526245
i21k_t,imagenet,7,1000,0.08825132645881831,0.00021615576974008002,0.0928954114622196,0.004184750361890635,-0.004644085003401299,43,0.1568627450980392,50,78.76034593582153
i21k_t,imagenet,8,1000,0.08791781785418654,0.00012635533437992184,0.0929880376806057,0.00419109342966134,-0.00507021982641917,45,0.1176470588235294,50,81.78970265388489
i21k_t,imagenet,9,1000,0.08827591879467908,0.0002861132419531353,0.09293362705187837,0.004189817726453843,-0.0046577082571993,43,0.1568627450980392,50,79.86571884155273
i21k_t,imagenet,10,1000,0.0884536193837857,0.0002994865074749719,0.09296616253131196,0.004199535572426129,-0.004512543147526264,43,0.1568627450980392,50,74.83475971221924
i21k_t,imagenet,11,1000,0.08866358082913604,0.00024702489323429446,0.09295655031697808,0.004184972183705682,-0.004292969487842024,42,0.17647058823529413,50,86.57975459098816
i21k_t,imagenet,12,1000,0.0879209130568251,0.00022873180470865787,0.09298488105476052,0.0041916192818931145,-0.005063967997935417,45,0.1176470588235294,50,86.63056516647339
i21k_t,imagenet,13,1000,0.0868407665112831,0.00021436873841469768,0.09293542061796296,0.004194524420174546,-0.00609465410667985,45,0.1176470588235294,50,85.53153705596924
i21k_t,imagenet,14,1000,0.08848605330455518,0.00035139571618862084,0.09282199908218153,0.004198101704414356,-0.00433594577762636,42,0.17647058823529413,50,84.61682391166688
i21k_t,imagenet,15,1000,0.0857287932309163,0.00030222334180757563,0.09289294605314599,0.004204866286474308,-0.007164152822229708,47,0.0784313725490196,50,76.94274044036865
i21k_t,imagenet,16,1000,0.0879830079638667,0.00019212811280594909,0.09299466774903546,0.0041898304110658275,-0.005011659785168765,45,0.1176470588235294,50,74.47131824493408
i21k_t,imagenet,17,1000,0.08707660120500685,0.00024925945560561285,0.09297519748707177,0.0041871052103764975,-0.005898596282064904,45,0.1176470588235294,50,71.37434601783751
i21k_t,imagenet,18,1000,0.0869061116225621,0.0002249948072841605,0.09286665221020134,0.004194724520333892,-0.005960540587639243,45,0.1176470588235294,50,59.32753324508667
i21k_t,imagenet,19,1000,0.08850467740484583,0.00027160852550705953,0.093010750986852,0.004194621833429852,-0.004506073582006165,43,0.1568627450980392,50,66.368346452713
i21k_t,imagenet,20,1000,0.0867661327834087,0.0002471891855908519,0.09291291906226418,0.0041898397987444255,-0.006146786278855482,45,0.1176470588235294,50,65.69962048530579
i21k_t,imagenet,21,1000,0.08786221299709153,0.0003566381186689229,0.09304253738806613,0.004185683242163729,-0.0051803243909746,45,0.1176470588235294,50,83.81460118293762
i21k_t,imagenet,22,1000,0.08607554103860318,0.0002386148161546316,0.09293629213693654,0.004195637833602222,-0.006860751098333354,47,0.0784313725490196,50,81.98838448524475
i21k_t,imagenet,23,1000,0.08599012611014853,0.00028198299270886765,0.09300024741364436,0.004182166998076042,-0.007010121303495821,47,0.0784313725490196,50,81.65337610244752
i21k_t,imagenet,24,1000,0.08964068413596467,0.0002791437448977421,0.09280162799926857,0.0041980238593576896,-0.003160943863303914,39,0.2352941176470588,50,81.32912635803224
i21k_t,imagenet,25,1000,0.09017172649358604,0.0002600611226230025,0.0928761612649163,0.004201709218640521,-0.002704434771330269,39,0.2352941176470588,50,84.41274285316467
i21k_t,imagenet,26,1000,0.08891024533179932,0.00028117670775771957,0.09289516678409764,0.004196710509735949,-0.003984921452298326,42,0.17647058823529413,50,85.51829051971436
i21k_t,imagenet,27,1000,0.08858782617844184,0.00031240808253448063,0.09291594361918787,0.004192983406178533,-0.004328117440746043,42,0.17647058823529413,50,85.76954913139345
i21k_t,imagenet,28,1000,0.08918203451871347,0.00030747461867485247,0.0929677815530238,0.004198400903347061,-0.0037857470343103375,41,0.19607843137254904,50,84.90752911567687
i21k_t,imagenet,29,1000,0.08884039206646249,0.0002581851267881017,0.09285563949422787,0.0042053487499836215,-0.004015247427765392,42,0.17647058823529413,50,85.16412949562074
i21k_s,imagenet,-1,1000,0.06289278478250815,0.00026560569479597545,0.07535094430391615,0.0030308737253131953,-0.012458159521407995,50,0.0196078431372549,50,101.19211959838869
i21k_s,imagenet,0,1000,0.06457836210081813,0.0002543415249366631,0.07497020990055256,0.002994269186326377,-0.010391847799734429,50,0.0196078431372549,50,99.07074475288393
i21k_s,imagenet,1,1000,0.06299009295955793,0.0002500471918371427,0.07498626781518643,0.0029943834971504837,-0.011996174855628495,50,0.0196078431372549,50,100.59817290306091
i21k_s,imagenet,2,1000,0.06395472993476037,0.00020486640856395518,0.07499967673999097,0.002999107670224475,-0.01104494680523059,50,0.0196078431372549,50,100.97182941436769
i21k_s,imagenet,3,1000,0.06293568758932819,0.0002194892558435809,0.07514603899075578,0.0029993057067595552,-0.012210351401427594,50,0.0196078431372549,50,100.0281105041504
i21k_s,imagenet,4,1000,0.06351555489680641,0.0001693659246777704,0.07515180116314928,0.002999157644617327,-0.011636246266342869,50,0.0196078431372549,50,99.86862373352051
i21k_s,imagenet,5,1000,0.06194439450246408,0.000387374139070159,0.07500665773148267,0.002986129765272652,-0.0130622632290186,50,0.0196078431372549,50,97.91360259056091
i21k_s,imagenet,6,1000,0.06318545709719843,0.0002956410660599919,0.07500672802597662,0.00299184778678428,-0.011821270928778202,50,0.0196078431372549,50,98.14929676055908
i21k_s,imagenet,7,1000,0.06341493991565597,0.0002397406325978753,0.07499053950323363,0.0029899167250568197,-0.011575599587577643,50,0.0196078431372549,50,88.66187238693237
i21k_s,imagenet,8,1000,0.0633922163124268,0.00023668076817884184,0.07506661244565155,0.002999359169755496,-0.011674396133224754,50,0.0196078431372549,50,101.70007634162904
i21k_s,imagenet,9,1000,0.06240766902682963,0.00021293587907391884,0.07504616590282559,0.0030063317310624984,-0.012638496875995962,50,0.0196078431372549,50,100.93629097938538
i21k_s,imagenet,10,1000,0.06298819677463419,0.00024174952185404214,0.0751143992798431,0.002986403944065119,-0.01212620250520892,50,0.0196078431372549,50,103.23537158966064
i21k_s,imagenet,11,1000,0.06340396181191102,0.0002755014579400432,0.07512322043954223,0.0029780446246582717,-0.011719258627631207,50,0.0196078431372549,50,97.73458194732666
i21k_s,imagenet,12,1000,0.06290437864882213,0.00017455155818864857,0.0750823857902267,0.0029931011232068173,-0.012178007141404571,50,0.0196078431372549,50,75.5914852619171
i21k_s,imagenet,13,1000,0.06312113236245534,0.00025383219273479086,0.07507110245758374,0.0030104762207783567,-0.011949970095128395,50,0.0196078431372549,50,77.99335050582886
i21k_s,imagenet,14,1000,0.06316519137098818,0.00026554032211368217,0.07498000042405381,0.0030040426766320865,-0.011814809053065643,50,0.0196078431372549,50,101.6590850353241
i21k_s,imagenet,15,1000,0.061598983599060325,0.0001100586640882062,0.07509052735863557,0.003004537395339149,-0.013491543759575238,50,0.0196078431372549,50,96.52712869644164
i21k_s,imagenet,16,1000,0.061659660012864874,0.0002720506327801201,0.07510269399307791,0.002996183265020054,-0.013443033980213044,50,0.0196078431372549,50,99.54271531105042
i21k_s,imagenet,17,1000,0.0627252707178906,0.00025879221781034006,0.0750298505379913,0.002989032002075568,-0.012304579820100706,50,0.0196078431372549,50,100.6015202999115
i21k_s,imagenet,18,1000,0.0621614579809016,0.0002784900141987674,0.07501984661858695,0.002990417623351173,-0.012858388637685349,50,0.0196078431372549,50,100.17083287239076
i21k_s,imagenet,19,1000,0.06352353821955939,0.00033929051632438213,0.0750955961031477,0.002993513874196627,-0.011572057883588309,50,0.0196078431372549,50,71.34539437294006
i21k_s,imagenet,20,1000,0.06357914591281913,0.0002725078530904321,0.07500102267880551,0.002993332670501887,-0.011421876765986395,50,0.0196078431372549,50,76.25836515426636
