model,dataset,excess,sd_null,sd_boot,sd_est,z_joint,joint_genuine,genuine_bh_record,n_boot,n_boot_genuine,boot_bh_genuine,boot_excess_mean,boot_frac_negative
clip_b,cifar10,-0.02169067159114052,0.016622245436359,0.0011882493656106001,0.0,-1.3015968039022323,False,False,30,0,False,-0.023595518704814265,1.0
clip_l,cifar10,-0.020314245194506683,0.01574801985655939,0.001150017264613985,0.0,-1.2865296698667978,False,False,30,0,False,-0.021436200560904426,1.0
dinov1_b,cifar10,-0.041955793772935235,0.017457312638708044,0.0012020934601412506,0.0,-2.3976587299347547,True,True,30,30,True,-0.042702476865256744,1.0
dinov2_b,cifar10,-0.06456944316674784,0.013173399725589063,0.0009739886475625746,0.0,-4.888159417765494,True,True,30,30,True,-0.06483889445255492,1.0
dinov2_g,cifar10,-0.07722335184918827,0.0117913679808071,0.0005517778858231319,0.0,-6.541983895626504,True,True,30,30,True,-0.07705210046033843,1.0
dinov2_l,cifar10,-0.08376708355558793,0.01394329129282777,0.0007706405621050762,0.0,-5.998543039761301,True,True,30,30,True,-0.08401747522659275,1.0
dinov2_s,cifar10,-0.032618872163414595,0.01491088163131662,0.001310405929913309,0.0,-2.1791893097932062,True,True,30,30,True,-0.03273489748930374,1.0
i21k_b,cifar10,-0.0376953685231257,0.01807619775254764,0.001323616003335978,0.0,-2.0797911308485055,True,True,30,1,False,-0.03924070483141071,1.0
i21k_l,cifar10,-0.03681558258170898,0.015009375840919076,0.00098781816476229,1.3877787807814454e-17,-2.44754408581922,True,True,30,30,True,-0.038148349602882686,1.0
i21k_s,cifar10,-0.04195985673569763,0.017220716169985432,0.001155492322225861,1.3877787807814454e-17,-2.43112520668944,True,True,30,29,True,-0.043354989980999244,1.0
i21k_t,cifar10,-0.01161292195770286,0.017901766526271814,0.0014219286552693625,0.0,-0.6466658546630807,False,False,30,0,False,-0.014262542328927538,1.0
siglip_b,cifar10,-0.026815790540752005,0.015409506861486597,0.0008181689256114387,1.3877787807814454e-17,-1.7377630892224964,False,True,30,29,True,-0.028278260912283238,1.0
clip_b,cifar100,-0.019309474143042283,0.006201565584993521,0.0007163654266990363,0.00035877607415080425,-3.087982019697292,True,True,30,30,True,-0.01818025878913668,1.0
clip_l,cifar100,-0.017934359868470487,0.004973361477014872,0.0008611501452586367,0.0005306858483585809,-3.533733232992238,True,True,30,30,True,-0.01755130686485395,1.0
dinov1_b,cifar100,-0.03147640298214509,0.0040904450061479535,0.000590072872790302,0.00020743078514805192,-7.606690628155449,True,True,30,30,True,-0.0309242933538411,1.0
dinov2_b,cifar100,-0.030810647431419324,0.0020517103156630703,0.0003683245877831544,0.00022545167916675392,-14.695069772453357,True,True,30,30,True,-0.030624654811872883,1.0
dinov2_g,cifar100,-0.03875941676003528,0.001345851239345967,0.00023265424698680338,0.00014585741071636364,-28.217838507764103,True,True,30,30,True,-0.03881416906860362,1.0
dinov2_l,cifar100,-0.03410297754681444,0.0015375391177254456,0.0003180316856911919,0.00016461804818072786,-21.602040312170537,True,True,30,30,True,-0.03408962592941808,1.0
dinov2_s,cifar100,-0.0303002869148727,0.0030705380478678,0.00040546055899380536,0.00028089798370294533,-9.743156793217755,True,True,30,30,True,-0.030101177114051168,1.0
i21k_b,cifar100,0.005839488835951964,0.0072344450991842545,0.0010729387816603975,0.00041531548991135056,0.7971608017598742,False,False,30,0,False,0.006491991494272259,0.0
i21k_l,cifar100,-0.0203020593064764,0.005046540428975925,0.0005839728697211539,0.00021135002477319732,-3.9928445844225164,True,True,30,30,True,-0.019683918304474288,1.0
i21k_s,cifar100,-0.00023034627557766416,0.00697981769245335,0.0011747742669478848,0.0003118169999520069,-0.032512486814437615,False,False,30,0,False,0.0006453364812584451,0.3
i21k_t,cifar100,-0.0063797966986698365,0.008434610790074466,0.0017929359665266543,0.00018946347045129994,-0.7396738965721982,False,False,30,0,False,-0.004155461589747164,1.0
siglip_b,cifar100,-0.02179722183619129,0.004983521175387949,0.0007734017139101704,0.0005469030512733434,-4.296928805003888,True,True,30,30,True,-0.021015375431820898,1.0
clip_b,dtd,-0.02342918326037846,0.006431983593503349,0.002164119495430822,0.00018551046647280768,-3.4511360970921108,True,True,30,30,True,-0.02329057753768654,1.0
clip_l,dtd,-0.02600006258418526,0.005772767182933138,0.0021696478210208245,0.0002366032967465189,-4.212881123045836,True,True,30,30,True,-0.025984836679499315,1.0
dinov1_b,dtd,-0.0264310975203534,0.005470148554162669,0.00236187584865523,0.0003949681991277883,-4.42632096326908,True,True,30,30,True,-0.025505215208563674,1.0
dinov2_b,dtd,-0.033799253779895705,0.0038686238489627775,0.0015981755817486185,0.00038836079159903727,-8.04032496830635,True,True,30,30,True,-0.03276376625437873,1.0
