predictor,gain,dataset,n,r,ci_lo,ci_hi,r_demeaned,r_ViT,r_DINOv2,r_CLIP
raw,NC_adv,imagenet,10,-0.8414841960396616,-0.9616239199659469,-0.45057862225394063,-0.829625167365198,-0.998313795337525,-0.68417622191888,
raw,NC_adv,cifar100,10,-0.9160505822854785,-0.980281317273009,-0.6767498697002676,-0.5842095375185168,-0.7165129833590053,-0.5080354795696982,
raw,NC_adv,cifar10,10,-0.6272154679502255,-0.9010216577927062,0.003997875573332607,-0.309379712069222,0.008010083526857479,-0.9794067872945862,
raw,NC_adv,dtd,10,-0.6685243603927375,-0.9136006136333032,-0.067158678791128,-0.673212293471,-0.8544632322235886,-0.7040455245769646,
raw,NC_adv,pooled,40,-0.5669954102648105,-0.7466340693197034,-0.3102856661908111,-0.23742862002444298,,,
raw,FS_adv,imagenet,10,-0.859984757032551,-0.9663589895341635,-0.5023734506917705,-0.5640665299570289,-0.1694790409385807,-0.9511597124078391,
raw,FS_adv,cifar100,10,-0.6157655203043284,-0.8974515760705659,0.0226509224662512,-0.511300412788619,-0.3863777585003805,-0.7937812287425899,
raw,FS_adv,cifar10,10,-0.7841061935378572,-0.946468771053391,-0.30509930067975477,-0.6449838562326737,-0.2163660653718881,-0.7915933189845865,
raw,FS_adv,dtd,10,-0.871007085995428,-0.9691461990200095,-0.5345021891234066,-0.9387399693755484,-0.9570882030585889,-0.9854762734571686,
raw,FS_adv,pooled,40,-0.3116700695345914,-0.5680344134258783,-0.0001720815835361761,0.09122703972786395,,,
raw,FS_best_adv,imagenet,10,-0.833068830212119,-0.9594461319705421,-0.4278584113931355,-0.5046052499342409,-0.6857736165743094,-0.8365829974099755,
raw,FS_best_adv,cifar100,10,-0.7679956513008707,-0.942080804672932,-0.2679115019155923,-0.7508127262695359,-0.5934325041589873,-0.9426049205512305,
raw,FS_best_adv,cifar10,10,-0.6339873269399482,-0.9031158026975402,-0.007244786590776488,-0.5534253542526564,-0.25853110362388937,-0.6481938011000714,
raw,FS_best_adv,dtd,10,-0.8067760637199655,-0.9525432972339616,-0.3600248110810476,-0.7800245327366472,-0.9556849127536391,-0.8949792337630358,
raw,FS_best_adv,pooled,40,-0.4780118015969086,-0.687197497598618,-0.19562755581457103,-0.08120698241458361,,,
excess,NC_adv,imagenet,10,-0.7317977457151547,-0.9319994321815698,-0.1894596084155469,-0.612473194703727,-0.9888582546855097,-0.03439134691255067,
excess,NC_adv,cifar100,10,-0.7949161969462569,-0.9493797907505251,-0.3308986773347204,-0.21124081848074364,-0.1941909226949926,-0.43182047946738905,
excess,NC_adv,cifar10,10,-0.6664843227892719,-0.9129902217764309,-0.06349490617363228,-0.34265680884963134,-0.0954999361776403,-0.9713420172024402,
excess,NC_adv,dtd,10,-0.7635576694707713,-0.9408614872194669,-0.25792261179163634,-0.6010671162393556,-0.6977828615748938,-0.7071550305423622,
excess,NC_adv,pooled,40,-0.3729916570931925,-0.6132512308769157,-0.06955921237982625,-0.15601873207270797,,,
excess,FS_adv,imagenet,10,-0.21094765922403522,-0.7420262968057847,0.482814204886969,0.3506806360951277,-0.09745683573038341,0.681625748561483,
excess,FS_adv,cifar100,10,-0.787174814868292,-0.9472978114061681,-0.31235215942440886,-0.7951221442837627,-0.8391403032371719,-0.9691995838931344,
