model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
clip_b,real,aniso,0,-0.015869835461763626,0.0005381052587337439,0.004148051630725975,-0.01640794072049737,-1.9509375149849153,0,0.09090909090909091,"[-0.0004900644428122852, 0.0012495329104836583, -0.006233450061363166, -0.0014137245339809479, 0.00959198590427024, 0.0011325446971892361, -0.001794754296816331, -0.001898041120030336, 0.0034156282592637255, 0.0018213952711336467]",85.93269634246826
clip_b,real,aniso_haarhubs,0,-0.015869835461763626,0.0011961728123088503,0.00889984554172516,-0.017066008274072477,-1.4812936641017054,1,0.18181818181818182,"[-0.0001612693875833876, 0.00272446758393749, 0.007628639431874973, -0.006411795088728578, 0.004646638801531572, 0.0018642576255084864, 0.01333865774074483, -0.019558792002208836, 0.0025759028485648483, 0.005315020569447104]",84.37648892402649
clip_b,implant_s0,aniso_haarhubs,0,-0.007857473761235939,-0.0013427574671923375,0.0029578675689230995,-0.006514716294043601,-0.8215892443150071,0,0.09090909090909091,"[0.00038684939480133906, -0.0054159842579352135, -0.0028153685185488275, -0.0015482633517493183, 0.00217759684173624, -0.0030101734270139846, -0.0013144677421752793, -0.005809016991474, 0.0019846471132188015, 0.0019366062672168671]",84.57922101020813
clip_b,implant_s0,aniso_haarhubs,1,-0.007050146728651813,-5.350221376819731e-05,0.0026851633462508994,-0.0069966445148836156,-0.9902728729428056,0,0.09090909090909091,"[-0.0008750721550894874, 0.005483124393540803, 0.0017796754957584704, 0.001957699408780267, -0.0031581396586658483, -0.0016476932938364608, -0.0027950167324208297, -0.002433598591092573, 0.0005867878665097859, 0.0005672111288338999]",82.58312654495239
clip_b,implant_s0,aniso_haarhubs,2,-0.003910241113912416,0.0013439110815438664,0.002240707380093458,-0.005254152195456283,-0.7588740337952177,0,0.09090909090909091,"[0.0017683224765515926, 0.0003025284872471279, -0.001647674519908715, -0.0014895601929536817, 0.0009393155144422627, -0.0004964032269807739, 0.0028170117193469513, 0.002749232300206378, 0.005338889601977259, 0.0031574486555102643]",84.55813837051392
clip_b,implant_s0,aniso_haarhubs,3,-0.002841843545551337,0.0004281233554574521,0.003891584421851807,-0.003269966901008789,-0.3918612454890039,1,0.18181818181818182,"[0.003356381552688914, 0.0018527336632383207, -0.0002874234565910794, -0.0017748808058752896, -0.002077079625837308, -0.005525398930246228, 0.008154350366480406, -0.0028406647690776554, 0.0001406646094664621, 0.003282550950327978]",84.55101585388184
clip_b,implant_s0,aniso_haarhubs,4,-0.004888122046852739,0.0003516198892041994,0.004459291252506712,-0.005239741936056938,-0.7131360975921314,2,0.2727272727272727,"[0.002953954180217419, 0.0012944540334189625, 0.001204946653193928, 0.0024213277767160257, -0.0012262304346540576, -0.007730108071753616, 0.007040410231124755, -0.006499194008487072, 0.0012555251146560698, 0.0028011134176095798]",85.90675091743469
clip_b,implant_s1,aniso_haarhubs,0,-0.011689032958857981,-0.0028688552785151532,0.0074198856111940435,-0.008820177680342827,-0.6898185483612643,1,0.18181818181818182,"[0.0011346501123548625, 0.005919193245196269, -0.003997549527447852, -0.00303711317943417, -0.0033024023988144913, -0.010627183032635767, 0.0025125946649030007, -0.01948761959358966, 0.0025002989939611753, -0.0003034220696448986]",86.98238253593445
clip_b,implant_s1,aniso_haarhubs,1,-0.012577121299040483,-0.003820199105748817,0.006953825774711174,-0.008756922193291666,-0.7256273674275535,2,0.2727272727272727,"[0.001185735699391427, 0.00580921154688907, -0.0026198746990555855, -0.0019223252629302356, -0.004306819103129189, -0.01416836768095922, -0.0005931671767640256, -0.017183335129462518, 0.0001249377169701693, -0.004527986968438064]",86.54320430755615
clip_b,implant_s1,aniso_haarhubs,2,-0.018990617672121513,-0.0038241375426150497,0.007402591213481335,-0.015166480129506462,-1.1242405475546922,0,0.09090909090909091,"[-0.0007451887768478715, 0.009439612941844422, -0.003354760443836091, -0.003513101924269346, -0.004310300843531123, -0.011582840818617962, -0.007251744980217301, -0.016975891697378398, 0.004067249240722742, -0.0040144081240195695]",87.66188430786133
clip_b,implant_s1,aniso_haarhubs,3,-0.01676918918751405,-0.004789306523489012,0.008083306056211114,-0.011979882664025037,-0.8810946977463093,1,0.18181818181818182,"[-0.003606936096978264, 0.0036994579373333114, -0.0030053019767314337, -0.011122389142675798, -0.0065385099453106055, -0.009334559199450337, 0.00019112957700218036, -0.022638832681705717, 0.003904717536211272, 0.0005581587574152724]",88.55705666542053
clip_b,implant_s1,aniso_haarhubs,4,-0.008979133281326657,-0.00619748816331544,0.006846800234435224,-0.0027816451180112164,-0.17547774174080844,2,0.2727272727272727,"[-0.004011378331730708, -0.0016651641587743515, -0.004601338173673114, -0.012622989587943029, -0.006791846970620047, -0.008349510507571045, -0.0023217256573555556, -0.01973200932276878, 0.005926007324871113, -0.007804926247588884]",90.08529734611511
