model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
dinov1_b,real,aniso,0,-0.00906988886920436,-0.00016967049073578905,0.003692570191851522,-0.00890021837846857,-0.9404819250777351,0,0.09090909090909091,"[-0.0054774525826915554, 0.006121560928408362, 0.003222937380753757, -0.003760700941401393, 0.0017314471873139947, -0.0003730147548161311, -0.0018650090111801132, 0.003015763793885559, -0.0004255798660592891, -0.0038866570415710816]",122.29355835914612
dinov1_b,real,aniso_haarhubs,0,-0.00906988886920436,0.00016426818426152622,0.002313696901984748,-0.009234157053465886,-1.024278282536939,0,0.09090909090909091,"[-0.0014260665698557912, 0.005278536680717288, 0.0020128619086305644, -0.0013600266629013313, 2.8877892005410577e-05, 0.002156645805070745, -0.0021427046999360766, -0.0015930768538992834, -0.0005910082565743907, -0.0007213574006418727]",116.84938359260559
dinov1_b,implant_s0,aniso_haarhubs,0,-0.003148882974442657,0.0010630763295169058,0.0037099673837190173,-0.004211959303959563,-0.34998496428307646,2,0.2727272727272727,"[-0.003621757953644278, 0.006073900146865027, 0.008099866429945743, -0.003499791309839684, 0.0018572300211098791, 0.0007086451060653587, -0.0006192161131655383, 0.0016159264024636494, -0.00041864034116605164, 0.00043460090653495154]",99.60739064216614
dinov1_b,implant_s0,aniso_haarhubs,1,-0.0038509167805936273,0.0006072517447419601,0.0029883996825253024,-0.004458168525335588,-0.38218182937360645,0,0.09090909090909091,"[-0.0022436927043747446, 0.005626937495785134, 0.0033216765810293175, -0.003488622018832821, 0.0014814381945621458, 0.0027235824181433, -0.002224964561401338, 0.0025865263162612867, -4.911481790284555e-06, -0.0017054527919623946]",98.38571548461914
dinov1_b,implant_s0,aniso_haarhubs,2,-0.004648739530322854,0.0010652253400208547,0.002991309359378615,-0.005713964870343709,-0.5830039222775992,0,0.09090909090909091,"[-0.002920144754067891, 0.005285507299934614, 0.0054541596050783625, 0.0018148863228987788, 0.0004351736819767221, -0.0006434315256935025, -0.0008531506301991398, 0.004187269434204985, -0.001856066575571011, -0.00025194945835337046]",96.71018719673157
dinov1_b,implant_s0,aniso_haarhubs,3,-0.00881543345087997,0.0010317326261261987,0.0029626889255637435,-0.009847166077006168,-0.8484319380194576,0,0.09090909090909091,"[-0.003084229970728672, 0.004578242478170874, 0.0040743585464767945, -0.0036708456341696533, 0.0015555072648362894, 0.00013651825242384785, -0.00030535858595592824, 0.004367774259889323, -6.966860520436768e-05, 0.002735028255523478]",92.32665824890137
dinov1_b,implant_s0,aniso_haarhubs,4,-0.0049271548425631195,0.00016878453043392693,0.004390141243387855,-0.005095939372997046,-0.4784372785301402,1,0.18181818181818182,"[-0.002758054849619662, 0.006410900058267666, 0.0072397574889117855, -0.004564322345680147, 0.0021636722584785356, -0.0006563085425971282, -0.0014258918851510205, 0.0031345832298426135, -0.00533503105012538, -0.002521459057987993]",93.7817325592041
dinov1_b,implant_s1,aniso_haarhubs,0,-0.002123495047211321,0.00037803515610111693,0.005923475644692589,-0.002501530203312438,-0.18443660604321407,3,0.36363636363636365,"[-6.537301041989463e-05, 0.007410093493501302, -0.002771103225344018, -0.002036562217252985, -0.0018299673026560548, -0.005399344088201252, 0.003731299168493768, -0.006001163389140862, -0.002056354898604784, 0.01279882703063595]",91.64046311378479
dinov1_b,implant_s1,aniso_haarhubs,1,-0.005029397239050923,-0.0004200760126808603,0.0064932981910901175,-0.004609321226370063,-0.3517408074048198,3,0.36363636363636365,"[-0.0024747247596661748, 0.00601685258396123, -0.00766319972752727, 0.0009979347577936393, -0.004574827573751161, -0.005708850570965193, 0.009852139658897752, -0.00785948650381424, -0.0009105359418556669, 0.008123937950118482]",95.3442964553833
dinov1_b,implant_s1,aniso_haarhubs,2,-0.00480985811540785,0.00015106774007328378,0.005933244134951831,-0.0049609258554811336,-0.3683337086270385,2,0.2727272727272727,"[-0.001017963542531003, 0.009443040437635886, -0.0021633470628688867, 0.0018404007048115623, -0.002169343773831725, -0.006722541331209336, 0.0014768508000062297, -0.007591294587423553, -0.001861818971117174, 0.010276694727260838]",97.80947399139404
dinov1_b,implant_s1,aniso_haarhubs,3,-0.0025004072163451185,-7.352251695020712e-05,0.0056593383349338965,-0.0024268846993949116,-0.1926121320098622,3,0.36363636363636365,"[0.0018530487065955836, 0.009019548726085763, 6.720283542965833e-05, 0.0013457789855275681, -0.0040923739638334955, -0.010689503081415502, 0.0027965673629321286, -0.00548422297023389, -0.001159367572230452, 0.005608095801640567]",102.2058002948761
dinov1_b,implant_s1,aniso_haarhubs,4,-0.004584854251573817,-0.00011711774096785365,0.0068657253132735924,-0.004467736510605963,-0.37733705046753896,2,0.2727272727272727,"[0.0018199545563098718, 0.006817167638300814, 9.121458041921882e-05, -0.003564450578630196, -0.002965006718559371, -0.007876753258241831, 0.007729212784233941, -0.010831998496659084, -0.0027152914702592845, 0.010324773553407385]",100.3905861377716
