model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
dinov2_g,real,aniso,0,-0.02841619491956754,0.0005697875106583609,0.006411038400558249,-0.0289859824302259,-1.7783407590685483,0,0.09090909090909091,"[-0.0032878935140927684, 0.004055366412687597, 0.007986817746280891, -0.002051598315654851, -0.003330334221708295, -0.005680661358862707, -0.001291663699224524, -0.002444179790499462, -0.0030161640090074493, 0.014758185856665176]",147.85779547691345
dinov2_g,real,aniso_haarhubs,0,-0.02841619491956754,-0.002094970539583109,0.009127580504566234,-0.02632122437998443,-1.500074688867918,0,0.09090909090909091,"[-0.014603449971771126, -7.862800852502516e-05, 0.0008291781390116493, -0.004347435276434261, -0.004788856286496654, -0.0069289701561940364, 0.0036866420092415003, -0.012666858760047667, 0.0001769776696432246, 0.017771695245741306]",146.2288007736206
dinov2_g,implant_s0,aniso_haarhubs,0,-0.0024795659598882275,0.0009462534042630991,0.007322557711988276,-0.0034258193641513264,-0.22143884926886437,4,0.45454545454545453,"[-0.006611106656889215, 0.0037751176756741084, 0.009061892226326945, 0.0045906983006507585, -0.001227712032545153, -0.006792935457835492, -0.0013289639380077017, -0.005177051842387412, -0.0025625838027811126, 0.015735179570425264]",143.46235728263855
dinov2_g,implant_s0,aniso_haarhubs,1,-0.005718189230686704,0.000154064177610308,0.006893281384185273,-0.0058722534082970125,-0.35964987913143687,1,0.18181818181818182,"[-0.0033998425093063056, 0.004552380342847828, 0.006558087079964026, -0.0009505270742629496, -0.0029304121599143806, -0.007995579970025465, -0.0010419719600750499, -0.004952064713150267, -0.0037705566789543593, 0.015471129418980004]",142.49452018737793
dinov2_g,implant_s0,aniso_haarhubs,2,-0.0023594407021953617,0.00116699223727144,0.007268462589469798,-0.0035264329394668016,-0.20240295461789634,4,0.45454545454545453,"[-0.0037308404919540322, 0.003107116952510619, 0.007437531218152937, -0.0002181913765330612, -0.0029810025851037952, -0.005832888322147581, 0.0010101966987198646, -0.0038215705299588093, -0.0019503147415759758, 0.018649885550604234]",140.84936571121216
dinov2_g,implant_s0,aniso_haarhubs,3,-0.00435387271039453,0.0008590897102986508,0.006201774411995936,-0.005212962420693181,-0.32107380248254813,1,0.18181818181818182,"[-0.0035230736422615094, 0.00428934757530669, 0.007032371086721348, 0.0022518999015589264, -0.003446306562283577, -0.0072335302787362304, 0.0018918725216860721, -0.003838970117349391, -0.002269080728301967, 0.013436367346646147]",141.97835302352905
dinov2_g,implant_s0,aniso_haarhubs,4,-0.0017547664334247315,0.00035428621286424656,0.006572854041600949,-0.002109052646288978,-0.14051318724498443,7,0.7272727272727273,"[-0.005019293650643422, 0.0037973990802669666, 0.008230534538004833, -0.0018044374678688607, -0.003693068096125615, -0.004889654066345797, -0.0021506444306153144, -0.0029436231561059123, -0.0028363842920228755, 0.014852033670098463]",144.4891722202301
dinov2_g,implant_s1,aniso_haarhubs,0,0.017426546454425665,-0.0018511005633099474,0.010749864305383232,0.019277647017735614,1.2892797008679144,10,1.0,"[-0.01852326239483397, -0.002078840651142125, 0.010142970835358756, -0.0012313703241360469, -0.00631028801943416, -0.00987742494207744, 0.004973394857731003, -0.01332384186706044, 0.0009255864016261689, 0.01679207047086878]",146.00728797912598
dinov2_g,implant_s1,aniso_haarhubs,1,0.015885466719411045,-0.0010610545634106724,0.011115639412764746,0.016946521282821717,1.1303398209348876,10,1.0,"[-0.017209014862341873, 0.003775733062854003, 0.013316941590550857, 0.0010148665581442423, -0.007398820764650357, -0.010428320742064678, 0.004461491441534182, -0.0145254724025662, 0.0009134700874629392, 0.01546858039697016]",144.90158033370972
dinov2_g,implant_s1,aniso_haarhubs,2,0.015238882364499745,-0.0020540379271364413,0.01008497864892941,0.017292920291636187,1.1323457840152666,10,1.0,"[-0.015271455077498858, -0.0005290784374412244, 0.01032355496513003, -0.0032481060213832152, -0.009399569641430891, -0.008112626756000108, 0.008415474043452234, -0.015510639400816512, 0.0009396898296188672, 0.011852377225005262]",159.3574197292328
dinov2_g,implant_s1,aniso_haarhubs,3,0.01864084132276618,-0.00204108022668936,0.010830581120143972,0.02068192154945554,1.4023802611280598,10,1.0,"[-0.019798319529885422, 0.0009365612125973172, 0.014944038902920662, -0.006746271853818986, -0.010262758411977338, -0.006637857077654269, 0.0019687528035233492, -0.008509562143325822, -0.00077637885607032, 0.014470992686797232]",145.83101511001587
dinov2_g,implant_s1,aniso_haarhubs,4,0.015631958251462352,-0.0021103817353676016,0.010002195378903723,0.017742339986829954,1.2137390256605278,9,0.9090909090909091,"[-0.016395641694077825, -0.0016323309364474625, 0.00964731376895897, -0.0008265592058232241, -0.006960809954723479, -0.009039085431631802, 0.003252791292430876, -0.013920156175137463, -0.0008639523748063815, 0.015634613357581775]",124.17670321464539
