model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
dinov2_s,real,aniso,0,0.008942481107964959,0.001209639009569112,0.004286646317407699,0.007732842098395846,0.6622476122330512,9,0.9090909090909091,"[0.0041594469181283344, 0.005278874410844708, 0.009260724318809421, -0.0016304870035401542, -0.00383316878556636, -0.001968731771981383, -0.0036097738443870986, 0.00029665228854877657, 0.0003172740873372548, 0.0038255794774976204]",98.0158360004425
dinov2_s,real,aniso_haarhubs,0,0.008942481107964959,0.000651972770610125,0.004198634037079439,0.008290508337354834,0.7119591636252327,10,1.0,"[0.0007369136400739995, 0.004689066187586355, 0.004718613532144533, -0.0008194107848851911, -0.002688588554789151, 0.00020603066339830445, -0.0030004575709821485, 0.00045112319999610073, -0.005904066292648377, 0.008130503686206825]",96.23268842697144
dinov2_s,implant_s0,aniso_haarhubs,0,0.005458097547240873,-1.3713743867435624e-05,0.003960849374177,0.0054718112911083085,0.6528448578143338,9,0.9090909090909091,"[0.0006986419164291408, 0.00906989139693963, 0.003050464064120406, -0.0031516469785173723, -0.0008399543268636789, -0.0033210708376841536, -0.00405425574105045, 0.0018210589715913217, -0.002680928383727757, -0.0007293375199114438]",78.86158466339111
dinov2_s,implant_s0,aniso_haarhubs,1,0.0015444576344381955,0.0012600718401506437,0.004230720732965976,0.0002843857942875518,0.03564889599340836,5,0.5454545454545454,"[0.0007892736805547446, 0.00735528689670914, 0.005275474564051169, -0.0041253494226617116, -0.0013272151046060943, -0.003510864983159029, -0.0036159015663046884, 0.005083102135717624, 0.0023124124608617513, 0.00436449974034353]",78.29578995704651
dinov2_s,implant_s0,aniso_haarhubs,2,0.0023230972955425033,0.0002254505977932808,0.0033829159913944845,0.0020976466977492224,0.26681994955231153,8,0.8181818181818182,"[0.0007512257809751122, 0.006997799653613412, 0.0013317543986275382, -0.002334408082341727, -0.00024208691171812013, -0.004947323251385888, -0.002395247172697651, 0.0007702719403689801, -0.0014064827887119852, 0.003729002411203136]",80.4429612159729
dinov2_s,implant_s0,aniso_haarhubs,3,0.0017181946384178248,4.5712959789050156e-05,0.004072218746891862,0.0016724816786287747,0.20926790399321324,7,0.7272727272727273,"[0.0007362880263549754, 0.007964770532654347, 0.0047910646252575795, -0.0015433761699396448, -0.0022208622262273464, -0.003929657698099831, -0.004534806839936317, 0.0010214433430312947, -0.0037686018801746934, 0.0019408678849701377]",76.9376769065857
dinov2_s,implant_s0,aniso_haarhubs,4,0.0034642770358947195,0.00029452744416818275,0.0030086323807785678,0.0031697495917265366,0.4338576363089294,9,0.9090909090909091,"[0.0013797776899023562, 0.005161389900131347, 0.0027395458039262965, -0.0016876073243017736, -0.001581424802840306, -0.00553572596021823, -0.0016856286012257443, 0.0023493306881199327, 0.0005145880514946105, 0.0012910289966933386]",72.02737212181091
dinov2_s,implant_s1,aniso_haarhubs,0,-0.009602583438680312,0.0005177213155701119,0.005134248212172233,-0.010120304754250424,-0.9969435519981447,0,0.09090909090909091,"[0.006692667947381423, 0.007537189762344673, 0.004167440821746957, -0.004867156770804182, -0.00571938798170217, -0.002521879628606352, 0.004959691147153764, -0.005772373750815379, 0.0004755263096025697, 0.0002254952993998166]",72.09468746185303
dinov2_s,implant_s1,aniso_haarhubs,1,-0.007127384958710153,0.0014331236437515008,0.0036537074688321614,-0.008560508602461655,-0.9686841484029636,0,0.09090909090909091,"[0.00222827951373801, 0.005516032632965448, 0.002761263312969442, -0.0029883136666032373, -0.002609819612716918, 0.0045063885970342415, 0.004512455024922493, -0.004389284876049587, 0.0001059299416329984, 0.004688305569622117]",72.60221147537231
dinov2_s,implant_s1,aniso_haarhubs,2,-0.0037622448502971084,0.0008738329262066857,0.005855237411747969,-0.004636077776503794,-0.4328737213590557,2,0.2727272727272727,"[0.005754382663856666, 0.004657018424832363, 0.005544507975069557, -0.0065706674171104595, -0.009632506186390041, -0.003133791284131049, 0.0030548118062068558, -0.0015948134301472378, 0.002485250007782755, 0.008174136702097448]",71.59222960472107
dinov2_s,implant_s1,aniso_haarhubs,3,-0.00637931176252067,0.000609962468709481,0.003933863848931543,-0.0069892742312301515,-0.7841312321387762,0,0.09090909090909091,"[0.002435527576567481, 0.004059010579029132, -0.0033057266524174622, -0.0004862312600429769, -0.003918314090725308, -0.0018274227733775794, 0.0016086074608790413, -0.002932068720536099, 0.001713314955413131, 0.00875292761230545]",72.55352425575256
dinov2_s,implant_s1,aniso_haarhubs,4,-0.003300237019922353,0.0024533347596322253,0.003898695487542242,-0.005753571779554578,-0.7530748985238813,1,0.18181818181818182,"[0.006036922438489564, 0.001468143142958872, 0.0040751754221934056, -0.0009150394540572149, -0.005156194300125996, 0.00411097807196531, 0.0074759388412865, -0.0004577716326705089, 0.0016903896488003056, 0.006204805417482015]",72.85272574424744
