model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
i21k_b,real,aniso,0,-0.033470938529142596,-7.948608354908793e-06,0.00246838760286602,-0.03346298992078769,-3.619781224237433,0,0.09090909090909091,"[-0.0008408145181318105, 0.0025306491854657776, 0.0032571167331893747, 0.0007804436160934597, -8.219652480974393e-05, -0.0031041417246202296, 0.00011574043337674034, 0.0003375484523803207, 0.0017807643700594317, -0.0048545961065524085]",122.56137013435364
i21k_b,real,aniso_haarhubs,0,-0.033470938529142596,0.0012121755872875812,0.007306129358207624,-0.03468311411643018,-3.0102722283253827,0,0.09090909090909091,"[0.00794346991809472, -0.00975484762632814, -0.0009848450234828388, -0.004825837708946873, -0.0036427381863867875, 0.0012074039785625879, 0.0061634264586665904, 0.0015785433751697858, 0.01596993174394773, -0.001532751056420964]",122.16821455955505
i21k_b,implant_s0,aniso_haarhubs,0,-0.0006831469397342582,-0.0010215296812438213,0.0029733138337333345,0.0003383827415095631,0.026133410580782623,7,0.7272727272727273,"[-0.0026265942992272084, -0.0007447787263773487, 0.0047866425658417144, 0.0003408740026004803, -0.0028068909791361674, -0.0012905193976887747, -0.0010402391532991356, -0.001076305243844014, 0.0010683968262487492, -0.006825882407556508]",102.95737171173096
i21k_b,implant_s0,aniso_haarhubs,1,-0.0025277113239287052,0.00029281793758639124,0.00229522450515076,-0.0028205292615150965,-0.21949371651537583,1,0.18181818181818182,"[0.0019522176200071906, 0.0018866673310033721, 0.00024622330754547894, 0.0009792341384026876, -0.0012453261194057957, 0.0031934501854934128, 0.00016815395247733733, -5.429379638140219e-05, 0.0010063511159213862, -0.005204498359199755]",102.57605767250061
i21k_b,implant_s0,aniso_haarhubs,2,-0.005802904086645827,-0.001658906714662342,0.0035095530723314667,-0.004143997371983485,-0.393133946573217,1,0.18181818181818182,"[-0.0021148282436345006, 0.0049209591404965475, -0.0005102558384078026, -0.002194165702832998, -0.00285074894127528, -0.002772671078927022, 0.0003154483571262551, -0.0031053181831265236, 0.0005938005164373844, -0.00887128717247948]",100.74693560600281
i21k_b,implant_s0,aniso_haarhubs,3,0.0012289220688846136,-0.00030244934910749616,0.0031003494880041766,0.0015313714179921098,0.12156798293101247,6,0.6363636363636364,"[0.0012318839885938349, 0.001002851969273702, 0.003612376744907747, -0.003666773831158293, -0.0022965549678000685, -0.002211118550535296, 0.0029854606598088695, 0.0014276814134052546, 0.0009258310866884223, -0.006036132004259134]",94.39733362197876
i21k_b,implant_s0,aniso_haarhubs,4,-0.0019324085285277737,-0.000529160448835822,0.0025510119800295538,-0.0014032480796919516,-0.1071041459797095,2,0.2727272727272727,"[-0.0026140796086616402, 0.0008685415706201488, 0.001022170698902758, -4.989550047497515e-05, 0.0020584148883733555, 0.00019672332146226934, -0.00107420863752615, -0.0006456014539512334, 0.001603400057575033, -0.006657069824677786]",93.86967277526855
i21k_b,implant_s1,aniso_haarhubs,0,0.005863447183875908,-0.0011265545785390033,0.008546656008753959,0.006990001762414912,0.4033026011748119,8,0.8181818181818182,"[-0.004409456222625896, 0.013858132618037283, -0.0013523596273272431, -0.0013463790509646023, -0.007991627591152059, -0.0041500395517984345, 0.005472548115859843, -0.017517627979624667, 8.40324905521106e-05, 0.006087231013653632]",92.62675642967224
i21k_b,implant_s1,aniso_haarhubs,1,0.004783144904168146,0.0003764106774261242,0.009097152564018022,0.004406734226742022,0.26850714275330323,6,0.6363636363636364,"[0.00037528470349890153, 0.009253025219860461, -0.002315997783703283, -0.005590811306674992, -0.007023959160318824, 0.004714832783979606, 0.008170738776283104, -0.019058870030604913, 0.00586404006054847, 0.009375823511392711]",96.57944345474243
i21k_b,implant_s1,aniso_haarhubs,2,0.005922382942261439,-0.0006935034107295304,0.007437105892622408,0.006615886352990969,0.4083777462114421,7,0.7272727272727273,"[-0.004178991408638144, 0.00986569985986327, -0.0030278450469399254, -0.002432653056528622, -0.0028303805036684893, -0.003907666831396234, -0.0030305170062231435, -0.014100763492557386, 0.009314826143477756, 0.0073932572353156145]",101.54820251464844
i21k_b,implant_s1,aniso_haarhubs,3,0.005197967466096742,-0.0020722161926792076,0.009639866251786974,0.00727018365877595,0.4125092537772573,8,0.8181818181818182,"[-0.010775092926502347, 0.014644657291512653, -0.0028393446644513487, 0.0037025000596199453, -0.008242343614306855, -0.005314960582818537, 0.0004936523960345496, -0.01984930350586643, 0.0016421750012546033, 0.005815898618731691]",103.47733759880066
i21k_b,implant_s1,aniso_haarhubs,4,0.005580936060613689,-0.0034924020470967015,0.0064975607305481076,0.009073338107710391,0.5521012277323317,10,1.0,"[-0.007183611138735502, -0.0013071178906184089, -0.004314159547274432, 7.407583379581695e-05, -0.006472327296212749, -0.0028278372259187556, 0.00046141289001641606, -0.018941203772156384, 0.0011309309651190425, 0.00445581671101794]",99.88019132614136
