model,cloud,star,seed,excessB_real,excessB_star,excessB_star_sd,depth,z,r_star,p_star,star_excesses,time_s
i21k_l,real,aniso,0,-0.033640434412626555,-0.00047507195556266977,0.003333213798253298,-0.033165362457063884,-4.040148732302261,0,0.09090909090909091,"[0.004647799790330753, 0.002099476254313573, -0.00379333314712825, -0.0027807577025593527, -0.00033074820386966297, 0.0012430856567923892, -0.0036982229520638316, 0.0031084994166309943, 0.00014808252835356306, -0.005394601196426874]",137.7716498374939
i21k_l,real,aniso_haarhubs,0,-0.033640434412626555,2.1690255622493215e-05,0.004998963873316195,-0.03366212466824905,-3.7341070561517333,0,0.09090909090909091,"[0.003192986596969996, -0.004604072208522214, -0.000936313160845581, -0.0070952563121541995, -0.0025432113491885983, 0.005627053668619361, 0.003444604898162895, -0.001070507158245776, 0.00851679404496683, -0.0043151764635377815]",129.62597346305847
i21k_l,implant_s0,aniso_haarhubs,0,-0.008050485237383873,-0.0005612005040736515,0.0025654147718349703,-0.007489284733310221,-0.8482763198312623,0,0.09090909090909091,"[-0.0005029287814361377, 0.003680796779881923, -0.00294996567783945, -0.00015471106612112429, 0.0014549711410301036, -0.0003284331562638104, -0.006089158703961456, -3.658231365211151e-05, -0.0007398004795762386, 5.380721720178727e-05]",110.76938152313232
i21k_l,implant_s0,aniso_haarhubs,1,-0.007134020245909534,0.0009094905194228286,0.003796709980937069,-0.008043510765332362,-0.9179048402803872,0,0.09090909090909091,"[0.0076903331040064915, 0.003723230941866426, -0.003238310052654625, -0.0015889053722561164, 0.0014513068994788797, 0.0032572420706567795, -0.0008167667316775901, 0.0043944725104194116, -0.0017472419485505958, -0.004030456227060775]",114.58272814750671
i21k_l,implant_s0,aniso_haarhubs,2,-0.0024997654255871082,-0.0010903343460502534,0.0020727353631787493,-0.0014094310795368548,-0.15400831763879724,1,0.18181818181818182,"[-0.0017067007814177693, 0.0032331531790192186, -0.0024015940166242505, -0.0009767209162056811, -0.0014139024692059188, -0.002093847108013358, -0.001007405703193881, 0.0016839127549318489, -0.002444084278799691, -0.0037761541209930527]",109.07355737686157
i21k_l,implant_s0,aniso_haarhubs,3,-0.00835237271860391,-0.0010084240231010566,0.0029125759033431353,-0.007343948695502853,-0.8699388984366622,0,0.09090909090909091,"[-0.0034082844936885043, 0.0027355977916403845, -0.0031942192365378708, -0.0006099643835543178, 0.0005922598923154831, 0.0025348574125359097, 0.0008977226493934037, -2.853922659822039e-05, -0.0035480719995854004, -0.0060555986369314335]",106.53176307678223
i21k_l,implant_s0,aniso_haarhubs,4,-0.005255199437678187,-0.0011562009966156375,0.004087787642066847,-0.00409899844106255,-0.4431569162117481,2,0.2727272727272727,"[0.0033107478269335244, 0.0017454603925839002, -0.006474226852277137, -0.0055615797599725125, 0.004857160585603398, 0.0022413153447079365, -0.0035251094081932693, 0.0001697586750220026, -0.0033960830674023973, -0.004929453703161821]",104.11549115180969
i21k_l,implant_s1,aniso_haarhubs,0,-0.01310424880313106,-0.0018554582292786685,0.007597085208307494,-0.011248790573852393,-0.8736797636846527,1,0.18181818181818182,"[-0.002968618853114391, 0.008674891210018576, -0.004025443929183831, -0.0024629798895174915, -0.003831994945514672, -0.005488142116175876, 0.00030233120534139957, -0.018772566626616652, 0.004854775052428373, 0.00516316659954788]",106.26062679290771
i21k_l,implant_s1,aniso_haarhubs,1,-0.013642046208497238,-0.000553475205823252,0.008383391057698574,-0.013088571002673986,-0.9871647340125576,1,0.18181818181818182,"[-0.005057050613978764, 0.010860453054676256, 0.0013773859563738222, -0.0006208018758238065, -0.0007650060664123326, -0.00533669249398247, -0.000312770975748361, -0.01885861301668955, 0.0035772155153107332, 0.009601128458041952]",113.72799277305603
i21k_l,implant_s1,aniso_haarhubs,2,-0.014559685139604137,-0.0036872160551668504,0.00850125361523176,-0.010872469084437286,-0.8848684478682918,1,0.18181818181818182,"[-0.010967143797932677, 0.004735747040563898, -0.00024747873721339686, -0.00522347793591138, -0.002159165969841781, -0.0067777393573312805, -0.0010582853886752508, -0.022946252473182743, 0.0018987918053161856, 0.005872844262539922]",115.37239742279053
i21k_l,implant_s1,aniso_haarhubs,3,-0.015590815735605196,-0.0015318417912092124,0.008528806078254193,-0.014058973944395984,-1.196356808714087,1,0.18181818181818182,"[-0.006259104628065115, 0.010648797498414991, 0.002764928654496762, -0.0011623968173549992, -0.0037804232768169355, -0.0016125307034050573, -0.004745495884344225, -0.020742522185131174, 0.005527289763014337, 0.004043039667099291]",113.49687886238098
i21k_l,implant_s1,aniso_haarhubs,4,-0.013318588869022291,-0.001739720029459707,0.007672107677927255,-0.011578868839562583,-0.9474754069693962,1,0.18181818181818182,"[-0.004361249421663271, 0.005893583837414201, 0.0006952631161400158, -0.001272882644830553, 0.001962954264356276, -0.004793424727663476, 0.0001843703608425673, -0.02143132125687927, 0.001967601703588562, 0.0037579044740978784]",112.68222332000732
