model,real_gauss,star_gauss,depth_gauss,z_gauss,r_star_gauss,p_star_gauss,real_haar,star_haar,depth_haar,z_haar,r_star_haar,p_star_haar,cert_gauss,cert_haar,fa_s0_haar,n_s0,hits_s1_haar,n_s1,z_mean_s1_haar
i21k_t,-0.017306886749485786,0.00030773784278943783,-0.017614624592275224,-1.4813579176116465,0,0.09090909090909093,-0.017306886749485786,0.0011155920702767053,-0.01842247881976249,-1.4464602844314804,0,0.09090909090909093,False,False,0,5,0,5,0.04241528719608474
i21k_s,-0.0247066719693006,0.003392909098758444,-0.028099581068059043,-2.361505082329531,0,0.09090909090909093,-0.0247066719693006,0.0010298325627568774,-0.025736504532057475,-2.039104729875234,0,0.09090909090909093,True,True,0,5,0,5,-0.7016531909842021
i21k_b,-0.0334709385291426,-7.948608354908793e-06,-0.03346298992078769,-3.619781224237433,0,0.09090909090909093,-0.0334709385291426,0.0012121755872875812,-0.03468311411643018,-3.0102722283253827,0,0.09090909090909093,True,True,0,5,0,5,0.4089595943298293
i21k_l,-0.033640434412626555,-0.0004750719555626697,-0.033165362457063884,-4.040148732302261,0,0.09090909090909093,-0.033640434412626555,2.1690255622493212e-05,-0.03366212466824905,-3.734107056151733,0,0.09090909090909093,True,True,0,5,0,5,-0.9779090322497972
dinov1_b,-0.00906988886920436,-0.00016967049073578905,-0.00890021837846857,-0.9404819250777352,0,0.09090909090909093,-0.00906988886920436,0.00016426818426152622,-0.009234157053465886,-1.024278282536939,0,0.09090909090909093,False,False,0,5,0,5,-0.2948920609104947
dinov2_s,0.008942481107964959,0.001209639009569112,0.0077328420983958455,0.6622476122330512,9,0.9090909090909092,0.008942481107964959,0.000651972770610125,0.008290508337354834,0.7119591636252327,10,1.0,False,False,0,5,0,5,-0.7871415104845643
dinov2_b,-0.01372957148430555,0.0019217242683450691,-0.015651295752650618,-1.1904942991902543,0,0.09090909090909093,-0.01372957148430555,0.001773235938993352,-0.015502807423298903,-1.1802604790060798,0,0.09090909090909093,False,False,0,5,0,5,0.5475093185615422
dinov2_l,-0.02741691707740936,0.0003011612908869504,-0.02771807836829631,-2.3878543686819467,0,0.09090909090909093,-0.02741691707740936,-0.0007381105656134423,-0.026678806511795914,-2.2116546475073733,0,0.09090909090909093,True,True,0,5,0,5,0.2140222491793186
dinov2_g,-0.02841619491956754,0.0005697875106583609,-0.0289859824302259,-1.7783407590685485,0,0.09090909090909093,-0.02841619491956754,-0.002094970539583109,-0.02632122437998443,-1.5000746888679182,0,0.09090909090909093,False,False,0,5,0,5,1.233616918521331
clip_b,-0.015869835461763626,0.0005381052587337438,-0.01640794072049737,-1.9509375149849155,0,0.09090909090909093,-0.015869835461763626,0.0011961728123088505,-0.017066008274072474,-1.4812936641017054,1,0.18181818181818185,False,False,0,5,0,5,-0.7192517805661256
clip_l,-0.007219043260148938,0.0006002085297779832,-0.007819251789926922,-0.8272454930859939,0,0.09090909090909093,-0.007219043260148938,0.0017943030888580875,-0.009013346349007028,-0.7418116972177904,2,0.2727272727272727,False,False,0,5,1,5,-1.7183385255094457
siglip_b,-0.009716675422748748,0.0008434304194981617,-0.010560105842246908,-0.9002032195421371,0,0.09090909090909093,-0.009716675422748748,0.0023865474494618147,-0.01210322287221056,-0.782353478038982,1,0.18181818181818185,False,False,0,5,0,5,-1.0693984509729104
