model,dataset,n_quads,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
i21k_l,cifar100,10000,100,0.09290266660500804,0.0024699040715508176,0.11374582421990505,0.005271205537823301,-0.02084315761489698,200,0.0049751243781094535,7.159425735473633
i21k_l,cifar100,50000,100,0.09357719045145904,0.0008251944832446652,0.11436027097861436,0.005256976756449975,-0.020783080527155332,200,0.0049751243781094535,19.24976801872253
i21k_l,cifar100,100000,100,0.0937278187101044,0.0006421159086221621,0.11436825031625525,0.005101043174089491,-0.020640431606150846,200,0.0049751243781094535,33.127951622009284
i21k_l,cifar100,500000,100,0.09395713512929824,0.0002113500247731973,0.11443380939662295,0.00510465479628416,-0.020476674267324704,200,0.0049751243781094535,132.69065737724304
i21k_l,cifar100,1000000,100,0.09392513625632108,0.00014008924189950472,0.11444142249458558,0.00508263069955201,-0.0205162862382645,200,0.0049751243781094535,231.7223052978516
i21k_l,cifar100,2000000,100,0.09395561505304573,0.0001875954422032432,0.1144535145376721,0.005092631636462296,-0.02049789948462638,200,0.0049751243781094535,346.85580801963806
dinov2_l,cifar100,10000,100,0.03614482043410687,0.00120176836376056,0.07089629960687853,0.001652457698022505,-0.03475147917277165,200,0.0049751243781094535,5.3923046588897705
dinov2_l,cifar100,50000,100,0.036391831950997926,0.0003150276225169032,0.07122241158422703,0.0016315775056018975,-0.0348305796332291,200,0.0049751243781094535,11.025454759597778
dinov2_l,cifar100,100000,100,0.03644939494022511,0.0005337435574440557,0.0712452551892194,0.001527311506784843,-0.03479586024899429,200,0.0049751243781094535,18.720776796340946
dinov2_l,cifar100,500000,100,0.036464683107390115,0.00016461804818072786,0.07129818006414429,0.0015687160243546545,-0.03483349695675417,200,0.0049751243781094535,88.24396371841429
dinov2_l,cifar100,1000000,100,0.03654440854878405,8.787706627048153e-05,0.07129315075275651,0.00153495827814334,-0.034748742203972456,200,0.0049751243781094535,167.7600145339966
dinov2_l,cifar100,2000000,100,0.036559730484728825,6.338585529896553e-05,0.07129067535213103,0.0015345051426937306,-0.034730944867402185,200,0.0049751243781094535,349.33865451812744
clip_b,cifar100,10000,100,0.10116375728823243,0.003130123736802803,0.11976519247014895,0.006333397401957676,-0.018601435181916537,200,0.0049751243781094535,3.9049015045166016
clip_b,cifar100,50000,100,0.10088821723051966,0.0009501028165582047,0.12034585249750172,0.006341656339423354,-0.019457635266982062,200,0.0049751243781094535,9.409547805786133
clip_b,cifar100,100000,100,0.10157364752882156,0.0006079092513711255,0.12042061409291036,0.0062192503405359215,-0.018846966564088824,200,0.0049751243781094535,16.294581890106198
clip_b,cifar100,500000,100,0.1009863390958035,0.00035877607415080425,0.12043992342193036,0.006245658290681192,-0.019453584326126844,200,0.0049751243781094535,83.24769830703734
clip_b,cifar100,1000000,100,0.10110894225371507,0.00034401551131828625,0.12046117177258082,0.0062200547274853385,-0.019352229518865758,200,0.0049751243781094535,175.65668749809262
clip_b,cifar100,2000000,100,0.10107840831681393,0.0001534465771728815,0.12046480483784347,0.006230384940401508,-0.019386396521029525,200,0.0049751243781094535,379.9044122695923
i21k_l,dtd,10000,47,0.0772490683611544,0.0015352731422017035,0.10779007781387023,0.004621246876071293,-0.03054100945271583,200,0.0049751243781094535,4.46430778503418
i21k_l,dtd,50000,47,0.07747995617399198,0.0008607568770152758,0.10828692065941453,0.004651506334194132,-0.030806964485422538,200,0.0049751243781094535,14.147298336029053
i21k_l,dtd,100000,47,0.07723645547486256,0.0006496488739244142,0.10841465274208867,0.004511590187637653,-0.031178197267226107,200,0.0049751243781094535,24.6663498878479
i21k_l,dtd,500000,47,0.07733017339604878,0.0003670979005732898,0.108431184297985,0.0045526190960846254,-0.031101010901936232,200,0.0049751243781094535,129.36123657226562
i21k_l,dtd,1000000,47,0.0771178619220478,0.00019490340714668365,0.1084103127047284,0.004530548765959753,-0.0312924507826806,200,0.0049751243781094535,212.134348154068
i21k_l,dtd,2000000,47,0.07706561726540452,0.00011027089505064124,0.10840685952664428,0.004553570878483435,-0.031341242261239736,200,0.0049751243781094535,341.7357904911041
dinov2_l,dtd,10000,47,0.0686930465739913,0.0028890464158272907,0.1104597290435348,0.0037480434364186243,-0.04176668246954349,200,0.0049751243781094535,3.54241681098938
dinov2_l,dtd,50000,47,0.06914427549710334,0.001481869396120895,0.1110421717480044,0.0037098736935486116,-0.041897896250901054,200,0.0049751243781094535,8.99590039253235
dinov2_l,dtd,100000,47,0.06912236647907077,0.0006487726663913424,0.11120820656467836,0.0036484830740804368,-0.042085840085607576,200,0.0049751243781094535,16.698266506195072
dinov2_l,dtd,500000,47,0.06926402629604357,0.0003943455218830268,0.11122027160835957,0.0036145014258347156,-0.04195624531231597,200,0.0049751243781094535,86.12730956077576
dinov2_l,dtd,1000000,47,0.06903940143395115,0.00012174407029874646,0.11122088065681443,0.003604817334923589,-0.04218147922286326,200,0.0049751243781094535,165.81418943405149
dinov2_l,dtd,2000000,47,0.0691697395254702,0.00016921896400624135,0.11121446506870164,0.0036049901476689493,-0.042044725543231416,200,0.0049751243781094535,352.5810935497284
clip_b,dtd,10000,47,0.09772949828045233,0.002433897412798156,0.12207408781257315,0.00655630909005601,-0.02434458953212082,200,0.0049751243781094535,2.4861326217651367
clip_b,dtd,50000,47,0.0991535063376435,0.0006325495740783902,0.12268561063761226,0.006574665580513946,-0.023532104299968742,200,0.0049751243781094535,8.447375774383545
clip_b,dtd,100000,47,0.09852383346728444,0.0005290045835701076,0.12276842730347337,0.006527731729954278,-0.02424459383618893,200,0.0049751243781094535,17.059115886688232
clip_b,dtd,500000,47,0.09882658147110926,0.00018551046647280768,0.12279249196725385,0.0065203900653839145,-0.02396591049614459,200,0.0049751243781094535,99.01440000534058
clip_b,dtd,1000000,47,0.0984745492678045,0.00022956796693576412,0.12275725424722407,0.0064911246929464815,-0.02428270497941959,200,0.0049751243781094535,170.1412627696991
clip_b,dtd,2000000,47,0.09860773430673947,0.00015819280689328567,0.1227725936946624,0.006500954258288604,-0.024164859387922927,200,0.0049751243781094535,385.73757815361023
i21k_l,imagenet,10000,1000,0.05468595075897322,0.0018498654706424675,0.07075161352214555,0.003217959852777215,-0.016065662763172332,200,0.0049751243781094535,506.3041503429413
i21k_l,imagenet,50000,1000,0.0550572764006538,0.0007964019037175973,0.07113505095062084,0.003130338400953453,-0.01607777454996704,200,0.0049751243781094535,334.48418641090393
i21k_l,imagenet,100000,1000,0.05522870104685256,0.0004167122667010916,0.0711891499832219,0.003115579088186315,-0.015960448936369345,200,0.0049751243781094535,310.16616916656494
i21k_l,imagenet,500000,1000,0.05545452090601352,0.00017080526901697715,0.07119662953357829,0.003115564280340811,-0.015742108627564776,200,0.0049751243781094535,432.5046472549439
i21k_l,imagenet,1000000,1000,0.05533226905168663,0.0002523733314831541,0.07120518869511779,0.003120393227567366,-0.015872919643431155,200,0.0049751243781094535,620.7080638408661
i21k_l,imagenet,2000000,1000,0.055297093545385666,0.00012864602070944694,0.07120476732437403,0.003117542762516025,-0.015907673778988368,200,0.0049751243781094535,712.8385181427002
dinov2_l,imagenet,10000,1000,0.029918859752872996,0.0008957792356671092,0.04303653604719182,0.0006725754338777293,-0.013117676294318821,200,0.0049751243781094535,231.60200190544128
dinov2_l,imagenet,50000,1000,0.029638419777610708,0.00034435469047931424,0.043231497958826935,0.00049743274413446,-0.013593078181216234,200,0.0049751243781094535,243.33131623268127
dinov2_l,imagenet,100000,1000,0.029553461985325293,0.00024398611143914482,0.04325032478419294,0.00044412310800851786,-0.013696862798867645,200,0.0049751243781094535,255.8548047542572
dinov2_l,imagenet,500000,1000,0.029723104229456367,0.00011737536245415696,0.04325991523214073,0.00040368130181218297,-0.013536811002684362,200,0.0049751243781094535,322.2901997566223
dinov2_l,imagenet,1000000,1000,0.029668386498517295,6.115851262752632e-05,0.043251944682227865,0.00040517379906421745,-0.013583558183710565,200,0.0049751243781094535,402.76677942276
dinov2_l,imagenet,2000000,1000,0.02967288549801348,5.965994120653107e-05,0.0432600731372685,0.00040235101409539484,-0.01358718763925502,200,0.0049751243781094535,579.6644403934479
clip_b,imagenet,10000,1000,0.08409725646050996,0.002288961458793649,0.09043915573455713,0.005186962210717066,-0.006341899274047172,169,0.15920398009950248,79.88051319122314
clip_b,imagenet,50000,1000,0.08477604315107998,0.001006002490002637,0.09074395860300184,0.005084137639363895,-0.0059679154519218505,169,0.15920398009950248,87.64383316040039
