model,dataset,n_quads,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
i21k_l,cifar100,10000,100,0.09290266660500805,0.0024699040715508176,0.11374582421990503,0.005271205537823301,-0.02084315761489698,200,0.004975124378109453,7.159425735473633
i21k_l,cifar100,50000,100,0.09357719045145904,0.0008251944832446653,0.11436027097861437,0.005256976756449975,-0.02078308052715533,200,0.004975124378109453,19.249768018722534
i21k_l,cifar100,100000,100,0.09372781871010441,0.0006421159086221621,0.11436825031625526,0.005101043174089491,-0.020640431606150852,200,0.004975124378109453,33.12795162200928
i21k_l,cifar100,500000,100,0.09395713512929824,0.00021135002477319726,0.11443380939662294,0.00510465479628416,-0.020476674267324704,200,0.004975124378109453,132.69065737724304
i21k_l,cifar100,1000000,100,0.09392513625632108,0.0001400892418995047,0.11444142249458558,0.00508263069955201,-0.0205162862382645,200,0.004975124378109453,231.72230529785156
i21k_l,cifar100,2000000,100,0.09395561505304571,0.00018759544220324316,0.1144535145376721,0.005092631636462296,-0.02049789948462638,200,0.004975124378109453,346.85580801963806
dinov2_l,cifar100,10000,100,0.03614482043410687,0.00120176836376056,0.07089629960687852,0.001652457698022505,-0.034751479172771646,200,0.004975124378109453,5.3923046588897705
dinov2_l,cifar100,50000,100,0.036391831950997926,0.00031502762251690316,0.07122241158422703,0.0016315775056018975,-0.0348305796332291,200,0.004975124378109453,11.025454759597778
dinov2_l,cifar100,100000,100,0.03644939494022511,0.0005337435574440556,0.0712452551892194,0.001527311506784843,-0.03479586024899429,200,0.004975124378109453,18.720776796340942
dinov2_l,cifar100,500000,100,0.03646468310739012,0.00016461804818072786,0.07129818006414429,0.0015687160243546543,-0.03483349695675417,200,0.004975124378109453,88.2439637184143
dinov2_l,cifar100,1000000,100,0.03654440854878405,8.787706627048153e-05,0.07129315075275651,0.0015349582781433399,-0.034748742203972456,200,0.004975124378109453,167.76001453399658
dinov2_l,cifar100,2000000,100,0.036559730484728825,6.338585529896553e-05,0.07129067535213102,0.0015345051426937308,-0.03473094486740219,200,0.004975124378109453,349.33865451812744
clip_b,cifar100,10000,100,0.10116375728823242,0.003130123736802803,0.11976519247014895,0.006333397401957676,-0.018601435181916537,200,0.004975124378109453,3.9049015045166016
clip_b,cifar100,50000,100,0.10088821723051966,0.0009501028165582049,0.12034585249750172,0.006341656339423354,-0.019457635266982062,200,0.004975124378109453,9.409547805786133
clip_b,cifar100,100000,100,0.10157364752882155,0.0006079092513711255,0.12042061409291037,0.006219250340535921,-0.018846966564088824,200,0.004975124378109453,16.2945818901062
clip_b,cifar100,500000,100,0.1009863390958035,0.00035877607415080425,0.12043992342193034,0.006245658290681192,-0.019453584326126844,200,0.004975124378109453,83.24769830703735
clip_b,cifar100,1000000,100,0.10110894225371507,0.00034401551131828625,0.12046117177258082,0.0062200547274853385,-0.019352229518865754,200,0.004975124378109453,175.65668749809265
clip_b,cifar100,2000000,100,0.10107840831681394,0.0001534465771728815,0.12046480483784347,0.006230384940401508,-0.019386396521029525,200,0.004975124378109453,379.9044122695923
