model,dataset,n_quads,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
i21k_l,dtd,10000,47,0.0772490683611544,0.0015352731422017037,0.10779007781387023,0.004621246876071293,-0.03054100945271583,200,0.004975124378109453,4.46430778503418
i21k_l,dtd,50000,47,0.07747995617399198,0.0008607568770152757,0.10828692065941452,0.004651506334194132,-0.03080696448542254,200,0.004975124378109453,14.147298336029053
i21k_l,dtd,100000,47,0.07723645547486256,0.0006496488739244143,0.10841465274208867,0.004511590187637653,-0.031178197267226107,200,0.004975124378109453,24.6663498878479
i21k_l,dtd,500000,47,0.07733017339604878,0.0003670979005732898,0.10843118429798501,0.004552619096084626,-0.031101010901936232,200,0.004975124378109453,129.36123657226562
i21k_l,dtd,1000000,47,0.0771178619220478,0.00019490340714668365,0.1084103127047284,0.004530548765959753,-0.0312924507826806,200,0.004975124378109453,212.134348154068
i21k_l,dtd,2000000,47,0.07706561726540453,0.00011027089505064124,0.10840685952664428,0.004553570878483435,-0.03134124226123974,200,0.004975124378109453,341.7357904911041
dinov2_l,dtd,10000,47,0.0686930465739913,0.0028890464158272903,0.1104597290435348,0.0037480434364186243,-0.04176668246954349,200,0.004975124378109453,3.54241681098938
dinov2_l,dtd,50000,47,0.06914427549710334,0.001481869396120895,0.11104217174800439,0.0037098736935486116,-0.041897896250901054,200,0.004975124378109453,8.995900392532349
dinov2_l,dtd,100000,47,0.06912236647907077,0.0006487726663913425,0.11120820656467835,0.003648483074080437,-0.042085840085607576,200,0.004975124378109453,16.69826650619507
dinov2_l,dtd,500000,47,0.06926402629604358,0.00039434552188302675,0.11122027160835955,0.0036145014258347156,-0.04195624531231597,200,0.004975124378109453,86.12730956077576
dinov2_l,dtd,1000000,47,0.06903940143395115,0.00012174407029874646,0.11122088065681442,0.0036048173349235886,-0.04218147922286326,200,0.004975124378109453,165.8141894340515
dinov2_l,dtd,2000000,47,0.0691697395254702,0.00016921896400624137,0.11121446506870163,0.0036049901476689484,-0.04204472554323142,200,0.004975124378109453,352.5810935497284
clip_b,dtd,10000,47,0.09772949828045233,0.002433897412798156,0.12207408781257315,0.00655630909005601,-0.02434458953212082,200,0.004975124378109453,2.4861326217651367
clip_b,dtd,50000,47,0.0991535063376435,0.0006325495740783903,0.12268561063761224,0.0065746655805139454,-0.023532104299968742,200,0.004975124378109453,8.447375774383545
clip_b,dtd,100000,47,0.09852383346728445,0.0005290045835701076,0.12276842730347338,0.006527731729954277,-0.024244593836188932,200,0.004975124378109453,17.059115886688232
clip_b,dtd,500000,47,0.09882658147110926,0.00018551046647280768,0.12279249196725385,0.006520390065383914,-0.02396591049614459,200,0.004975124378109453,99.01440000534058
clip_b,dtd,1000000,47,0.0984745492678045,0.0002295679669357641,0.12275725424722408,0.006491124692946481,-0.02428270497941959,200,0.004975124378109453,170.1412627696991
clip_b,dtd,2000000,47,0.09860773430673947,0.00015819280689328567,0.1227725936946624,0.006500954258288604,-0.024164859387922927,200,0.004975124378109453,385.73757815361023
