model,dataset,n_quads,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
i21k_l,imagenet,10000,1000,0.05468595075897322,0.0018498654706424673,0.07075161352214555,0.003217959852777215,-0.016065662763172332,200,0.004975124378109453,506.3041503429413
i21k_l,imagenet,50000,1000,0.0550572764006538,0.0007964019037175973,0.07113505095062084,0.0031303384009534526,-0.01607777454996704,200,0.004975124378109453,334.48418641090393
i21k_l,imagenet,100000,1000,0.055228701046852555,0.00041671226670109157,0.0711891499832219,0.003115579088186315,-0.015960448936369345,200,0.004975124378109453,310.16616916656494
i21k_l,imagenet,500000,1000,0.055454520906013514,0.00017080526901697715,0.07119662953357829,0.003115564280340811,-0.015742108627564776,200,0.004975124378109453,432.50464725494385
i21k_l,imagenet,1000000,1000,0.05533226905168663,0.0002523733314831541,0.07120518869511779,0.003120393227567366,-0.015872919643431155,200,0.004975124378109453,620.7080638408661
i21k_l,imagenet,2000000,1000,0.05529709354538566,0.00012864602070944694,0.07120476732437403,0.003117542762516025,-0.01590767377898837,200,0.004975124378109453,712.8385181427002
dinov2_l,imagenet,10000,1000,0.029918859752873,0.0008957792356671091,0.04303653604719182,0.0006725754338777293,-0.013117676294318821,200,0.004975124378109453,231.60200190544128
dinov2_l,imagenet,50000,1000,0.029638419777610708,0.00034435469047931424,0.04323149795882694,0.00049743274413446,-0.013593078181216234,200,0.004975124378109453,243.33131623268127
dinov2_l,imagenet,100000,1000,0.029553461985325297,0.00024398611143914482,0.04325032478419294,0.00044412310800851786,-0.013696862798867643,200,0.004975124378109453,255.8548047542572
dinov2_l,imagenet,500000,1000,0.02972310422945637,0.00011737536245415697,0.04325991523214073,0.00040368130181218297,-0.013536811002684362,200,0.004975124378109453,322.2901997566223
dinov2_l,imagenet,1000000,1000,0.029668386498517295,6.115851262752632e-05,0.04325194468222786,0.0004051737990642175,-0.013583558183710563,200,0.004975124378109453,402.76677942276
dinov2_l,imagenet,2000000,1000,0.02967288549801348,5.965994120653107e-05,0.0432600731372685,0.0004023510140953948,-0.013587187639255018,200,0.004975124378109453,579.6644403934479
clip_b,imagenet,10000,1000,0.08409725646050996,0.0022889614587936493,0.09043915573455713,0.005186962210717066,-0.006341899274047172,169,0.15920398009950248,79.88051319122314
clip_b,imagenet,50000,1000,0.08477604315107998,0.001006002490002637,0.09074395860300183,0.005084137639363895,-0.005967915451921851,169,0.15920398009950248,87.64383316040039
clip_b,imagenet,100000,1000,0.08492703438175006,0.0004485992317781989,0.09080992652976788,0.005101879054219604,-0.005882892148017821,170,0.15422885572139303,96.60072922706604
clip_b,imagenet,500000,1000,0.08431129786955478,0.00026180391642323636,0.0908513079827971,0.005097624167832604,-0.006540010113242317,172,0.14427860696517414,175.10459899902344
clip_b,imagenet,1000000,1000,0.08444825139407336,0.00027063637664485847,0.09085343258935782,0.005085595038720959,-0.006405181195284465,171,0.14925373134328357,285.29116344451904
clip_b,imagenet,2000000,1000,0.08443714001881379,0.0001564399043704096,0.09085060219334354,0.005093833530258673,-0.0064134621745297465,171,0.14925373134328357,475.68032598495483
