model,dataset,n_boot,n_per_class,excess_ref,excess_boot_mean,excess_boot_sd,delta_boot_sd,frac_boot_negative,frac_boot_below_all
i21k_t,cifar100,30,500,-0.006446282005206167,-0.00587015140655708,0.0017923625905837618,0.0017578388211126241,1.0,0.0
i21k_s,cifar100,30,500,-0.0003497380347863982,-0.0003828913474309544,0.0011740799358632792,0.0011611626592110524,0.6666666666666666,0.0
i21k_b,cifar100,30,500,0.00572755330353926,0.005502150921946146,0.0010727038209954098,0.0010875690452865356,0.0,0.0
i21k_l,cifar100,30,500,-0.020476674267324704,-0.020484701065781628,0.0005801722841334364,0.0005697341902899767,1.0,1.0
dinov1_b,cifar100,30,500,-0.031635693489725385,-0.03152111616593154,0.0005846238594395799,0.0005800962829705307,1.0,1.0
dinov2_s,cifar100,30,500,-0.03058468175699114,-0.030584964002279384,0.0004048959427984967,0.0004331433029022738,1.0,1.0
dinov2_b,cifar100,30,500,-0.03132137704238215,-0.031254700471645455,0.0003686226637440316,0.00036360406787231916,1.0,1.0
dinov2_l,cifar100,30,500,-0.03483349695675417,-0.0348397696517647,0.0003158681145971082,0.0002300138187678213,1.0,1.0
dinov2_g,cifar100,30,500,-0.039549440949580975,-0.039538645693309275,0.0002323897617211759,0.00014875334988451774,1.0,1.0
clip_b,cifar100,30,500,-0.019453584326126844,-0.0191601652099024,0.0007169772733590365,0.0007270802841013243,1.0,1.0
clip_l,cifar100,30,500,-0.018095289744159197,-0.018285328031699875,0.0008619043310861027,0.0009042126491238087,1.0,1.0
siglip_b,cifar100,30,500,-0.02196548191386928,-0.021751615382242243,0.0007722294955792788,0.0007934305149967588,1.0,1.0
i21k_t,dtd,30,80,-0.014207274847269332,-0.014060951326114743,0.0015541572027789406,0.001511818864517552,1.0,0.0
i21k_s,dtd,30,80,-0.01859695631436166,-0.018949484003930293,0.002035099069214042,0.0018393220443956816,1.0,0.5
i21k_b,dtd,30,80,-0.02077319833729968,-0.02124156901212753,0.0016910868165687782,0.0016982209799144524,1.0,1.0
i21k_l,dtd,30,80,-0.031101010901936232,-0.030241563711583996,0.0017313799770502889,0.0015755020266775648,1.0,1.0
dinov1_b,dtd,30,80,-0.02715425349143953,-0.026654890057852574,0.002374764002306981,0.002109975975465702,1.0,1.0
dinov2_s,dtd,30,80,-0.01786566245563284,-0.0170959593519379,0.0025037516622953906,0.002384803961998198,1.0,0.43333333333333335
dinov2_b,dtd,30,80,-0.035036328011150475,-0.03446033834417658,0.001607677795309212,0.0015208628624742509,1.0,1.0
dinov2_l,dtd,30,80,-0.04195624531231597,-0.041678707086388926,0.0016196190676195977,0.0012402892959154246,1.0,1.0
dinov2_g,dtd,30,80,-0.038635562101190964,-0.038650231868727944,0.002622044009593617,0.0021147491553505943,1.0,1.0
clip_b,dtd,30,80,-0.02396591049614459,-0.024194600845288503,0.002144700326126975,0.0019727073073302764,1.0,0.9333333333333333
clip_l,dtd,30,80,-0.026618316393753144,-0.02698991421521212,0.002177181766283446,0.0018144150371106902,1.0,1.0
siglip_b,dtd,30,80,-0.023298665622887,-0.023424993762147295,0.0013598762433886292,0.0013074077002795642,1.0,1.0
