model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
clip_b,0,30,aniso_decoupled,-0.016880251859270903,0.0005875559160612414,0.0021954307154895864,-0.017467807775332144,-1.265491463104479,0.0940382664200836,0.008252642434802324,70.22853231430054
clip_b,1,30,aniso_decoupled,-0.012127982591476516,0.0013552742563159776,0.002103962657010923,-0.013483256847792491,-1.1609620565922525,0.09606440293252808,0.008972081204700071,49.121729612350464
clip_b,2,30,aniso_decoupled,-0.014485707577477332,0.00032904306450031866,0.004018071907592446,-0.01481475064197765,-1.0686811560426377,0.09567054552977522,0.008628759343177505,72.11986780166627
clip_b,3,30,aniso_decoupled,-0.015321940177997803,0.0008471583002596818,0.003267116273791925,-0.01616909847825749,-1.2936397482272002,0.09285727730550768,0.008787191838480821,61.49881720542908
clip_b,4,30,aniso_decoupled,-0.016994157220439038,0.0002887437351570835,0.002373229682490087,-0.01728290095559612,-1.277020832643906,0.09224789540586037,0.008210443020113117,47.42905592918396
clip_b,5,30,aniso_decoupled,-0.013829483252838934,0.0009443411687623457,0.0022142492159337177,-0.014773824421601281,-1.2475767439250205,0.09688861612892696,0.0072528408117771125,45.002365350723274
clip_b,6,30,aniso_decoupled,-0.0159045211014468,0.0017863714374894066,0.002811337082911276,-0.017690892538936208,-1.2912761092756948,0.09352473366106924,0.009504431953114926,41.53914260864258
clip_b,7,30,aniso_decoupled,-0.016467497162856296,0.0009316084036775961,0.003434872977428182,-0.01739910556653389,-1.2577722905723951,0.09468937103996199,0.007989663730919788,35.96532249450684
clip_b,8,30,aniso_decoupled,-0.015188301682510482,0.001212889035365801,0.003187455624918513,-0.016401190717876282,-1.2053236421941802,0.09429672512302384,0.007992180319887082,36.414196491241455
clip_b,9,30,aniso_decoupled,-0.016896839533407856,0.0011024734846984004,0.002831945451812089,-0.017999313018106256,-1.4117402490132729,0.09412637244212052,0.009128160216113693,35.23024320602417
clip_l,0,30,aniso_decoupled,-0.009595278655399941,0.0011414492336471085,0.002845989320415148,-0.01073672788904705,-1.2823939398192177,0.08503728294655333,0.005731030895821114,162.08219218254092
clip_l,1,30,aniso_decoupled,-0.0091730459789265,0.00032661010894188683,0.003464341094494184,-0.009499656087868388,-0.8125815584545252,0.08691239365935104,0.006595538071396077,164.7288348674774
clip_l,2,30,aniso_decoupled,-0.011892345284745046,0.0008090488592492534,0.0031155241180673412,-0.0127013941439943,-1.110342320107688,0.08716216672643617,0.007573008284744365,163.85126423835752
clip_l,3,30,aniso_decoupled,-0.009446958582210507,8.324271959501416e-05,0.002132671903006938,-0.009530201301805522,-0.9035422187306718,0.08791169351206249,0.0075655015886695355,160.55323600769043
clip_l,4,30,aniso_decoupled,-0.008158768829911664,0.0014084901004302595,0.0028792408322656925,-0.009567258930341924,-0.912515395216105,0.08997856701385185,0.006761531089927597,164.8253839015961
clip_l,5,30,aniso_decoupled,-0.005079695472744811,0.0011062881195829251,0.0029279398839253084,-0.006185983592327736,-0.5700446705790999,0.09207210197452248,0.006964659946271994,164.00054550170896
clip_l,6,30,aniso_decoupled,-0.009853255112477892,0.0006998167014426876,0.001786512579956386,-0.01055307181392058,-1.0064422013792644,0.08618916125587338,0.007294073899591167,158.80083703994748
clip_l,7,30,aniso_decoupled,-0.00614796786018304,0.0004903722512324862,0.004037178485296553,-0.006638340111415527,-0.6213775186710996,0.0912970884949737,0.00698055235404509,171.41947698593142
clip_l,8,30,aniso_decoupled,-0.008444235023600545,0.0006571875472422688,0.004177443224757231,-0.009101422570842815,-0.8166735950149778,0.09055143699414277,0.0066877741247156,170.4433298110962
clip_l,9,30,aniso_decoupled,-0.0075384570920393875,0.00010803938170424467,0.0026527423817255336,-0.007646496473743633,-0.7645234802561492,0.08943597554856611,0.005698141359985292,168.5823128223419
dinov1_b,0,30,aniso_decoupled,0.014745478195736713,0.0008765338918935132,0.0029980730553213764,0.013868944303843198,2.0255109857874363,0.10569143907747404,0.005863653704933969,166.49922847747803
dinov1_b,1,30,aniso_decoupled,0.013064965878402224,0.0005575598916816707,0.0033423568179978807,0.012507405986720552,1.82835886551682,0.10580805012451924,0.0054980706567377795,167.97925925254822
dinov1_b,2,30,aniso_decoupled,0.014209132509673802,-0.00014820741186137993,0.004043730692748885,0.014357339921535182,1.8427980762997,0.10679255075054092,0.006381202810347469,154.14720702171326
dinov1_b,3,30,aniso_decoupled,0.01344166802400544,0.00013250798677570813,0.003619007505717389,0.013309160037229732,1.7367374849974984,0.10618147377800556,0.005704664243346723,169.96587681770325
dinov1_b,4,30,aniso_decoupled,0.0166331147947561,0.002247473527908095,0.0035450983699398665,0.014385641266848003,1.6557587142934047,0.10902680831068087,0.007729640441625156,167.15744519233704
dinov1_b,5,30,aniso_decoupled,0.013194862873077516,-0.0003680519930522346,0.003677998199567807,0.01356291486612975,1.681222477622902,0.10547054851221813,0.006949557996934937,167.6315875053406
dinov1_b,6,30,aniso_decoupled,0.01478034511679685,0.00024802980833519417,0.003871077185798349,0.014532315308461656,1.9032576095831808,0.10728736752892228,0.0062782811359078025,172.61220359802246
dinov1_b,7,30,aniso_decoupled,0.010871415328013391,0.0006220668607328188,0.0025757331551112413,0.01024934846728057,1.5086720553282862,0.10279050010023652,0.005365595179885596,167.81411838531494
dinov1_b,8,30,aniso_decoupled,0.015753917501124315,0.0007907501964039707,0.003074834184409569,0.014963167304720344,1.769057552289644,0.10642028782137417,0.007352695173029269,171.82941889762878
dinov1_b,9,30,aniso_decoupled,0.0116204410847026,0.000259080661056213,0.003430627383980962,0.011361360423646388,1.5688450467029167,0.10519194368761617,0.0055658153063117295,171.57944798469543
dinov2_b,0,30,aniso_decoupled,0.007387827121458231,0.0005066215829762603,0.005295738555766222,0.006881205538481971,0.5418810094461466,0.09291731145979414,0.01081136142800326,167.4576699733734
dinov2_b,1,30,aniso_decoupled,0.003838518782998193,0.000671308004788368,0.004942894495616112,0.003167210778209825,0.25829913509680125,0.08808224629243126,0.010564708184360186,157.01866459846497
dinov2_b,2,30,aniso_decoupled,0.006559622409634328,0.001800731016378092,0.005123530123730939,0.004758891393256236,0.3939957852602217,0.09099704009375173,0.010083321426476987,171.5140023231506
dinov2_b,3,30,aniso_decoupled,0.0048236892247045535,0.0006834279974561957,0.00547603107334348,0.004140261227248357,0.3432064009627399,0.08913882352194327,0.010344030836612436,163.32289671897888
dinov2_b,4,30,aniso_decoupled,0.006413805456284853,0.00013965745307155248,0.0065254674142979285,0.0062741480032133,0.4877408513308893,0.09204923714666537,0.01056874736180128,163.01872658729553
dinov2_b,5,30,aniso_decoupled,0.006225098095700446,0.0002817551747617012,0.004912357640065806,0.0059433429209387436,0.5220496692062395,0.09050121455437256,0.010043799122353404,165.45393824577332
dinov2_b,6,30,aniso_decoupled,0.006057466576546072,0.0008748462472680435,0.004284001208157261,0.005182620329278029,0.4236562614270031,0.0911516063833214,0.010860356973426908,160.32282638549802
dinov2_b,7,30,aniso_decoupled,0.006159243857052021,0.0006321839694210906,0.0037282897989021633,0.00552705988763093,0.5123021469137271,0.08997480830391849,0.00995214345677742,166.1841185092926
dinov2_b,8,30,aniso_decoupled,0.005607355200754227,0.0013277232914357742,0.004315468953573807,0.004279631909318453,0.3648923237055505,0.09041311195235543,0.010196536012976579,168.29572224617002
dinov2_b,9,30,aniso_decoupled,0.0033556503540329435,0.0005958437831953933,0.004756309030969957,0.00275980657083755,0.2321332180848011,0.08836414327461165,0.009807699879748312,167.6238212585449
dinov2_g,0,30,aniso_decoupled,-0.0012728915872350782,-0.0007320913880116937,0.007056639064032439,-0.0005408001992233847,-0.040069552339878335,0.07744877592233708,0.010976022551306195,269.17353963851934
dinov2_g,1,30,aniso_decoupled,0.00032189595568181406,0.000834372485424384,0.0064300164208641,-0.0005124765297425699,-0.03715116255070848,0.07888542292992981,0.011660292488089159,277.1687088012696
dinov2_g,2,30,aniso_decoupled,0.00010211490089014064,-0.0008370582479458336,0.007018396947151601,0.0009391731488359742,0.07481062434585294,0.07959490802033369,0.00980482574511598,283.9390156269073
dinov2_g,3,30,aniso_decoupled,4.919428425698147e-05,0.00034628384059388483,0.006039632195889997,-0.0002970895563369033,-0.024000641083305768,0.07909711915807857,0.010290876272502476,277.21411967277527
