model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s,genuine,p_bh,genuine_bh,record_excess,record_genuine_bh,verdict_changed
i21k_t,imagenet,haar_centered,p999,1000,192,0.08783908467353604,0.0003035147351940353,0.09281273492788218,0.004587452328049639,-0.004973650254346138,-1.0818205127910852,169,0.15920398009950248,542.6669454574585,False,0.19763252702007203,False,-0.004977223881738825,False,False
i21k_s,imagenet,haar_centered,p999,1000,384,0.06289278478250815,0.00026560569479597545,0.07517950623631753,0.003316291027539963,-0.01228672145380938,-3.693132700505807,200,0.0049751243781094535,607.7937922477722,True,0.01085481682496608,True,-0.01229009036623202,True,False
i21k_b,imagenet,haar_centered,p999,1000,768,0.05393620095877087,0.00019941582908156085,0.07010070468111029,0.00303026000902415,-0.016164503722339418,-5.322848545875869,200,0.0049751243781094535,900.6495730876923,True,0.01085481682496608,True,-0.01617013303992254,True,False
i21k_l,imagenet,haar_centered,p999,1000,1024,0.05545452090601352,0.00017080526901697715,0.07119087367560907,0.003118945696711309,-0.01573635276959557,-5.0378589480586955,200,0.0049751243781094535,674.5707869529724,True,0.01085481682496608,True,-0.015742108627564776,True,False
dinov1_b,imagenet,haar_centered,p999,1000,768,0.0552455916591852,0.0003731814462132311,0.07551690933583723,0.0022356270649542547,-0.020271317676652027,-8.943650542424999,200,0.0049751243781094535,286.08287239074707,True,0.01085481682496608,True,-0.020274922147878814,True,False
dinov2_s,imagenet,haar_centered,p999,1000,384,0.05293377280502317,0.00023910565046815884,0.06909215613680741,0.0009185174251243883,-0.016158383331784244,-17.024434092461846,200,0.0049751243781094535,149.80658555030826,True,0.01085481682496608,True,-0.016158652205060874,True,False
dinov2_b,imagenet,haar_centered,p999,1000,768,0.033561652366344834,0.00016182450755775234,0.050258022770376026,0.0004649428282511209,-0.0166963704040312,-33.91505226140957,200,0.0049751243781094535,213.49662828445437,True,0.01085481682496608,True,-0.016706598152992566,True,False
dinov2_l,imagenet,haar_centered,p999,1000,1024,0.029723104229456367,0.00011737536245415696,0.043248208571318066,0.00040253340051200144,-0.013525104341861702,-32.256607978578025,200,0.0049751243781094535,284.15465283393866,True,0.01085481682496608,True,-0.013536811002684362,True,False
dinov2_g,imagenet,haar_centered,p999,1000,1536,0.03264781036605507,0.0004987619777615,0.040656527036369065,0.0003309457268645882,-0.008008716670314005,-13.379702099664021,200,0.0049751243781094535,364.21013593673706,True,0.01085481682496608,True,-0.008022129613251487,True,False
clip_b,imagenet,haar_centered,p999,1000,512,0.08431129786955477,0.00026180391642323636,0.0908470775360804,0.005095204775934671,-0.006535779666525632,-1.2810415425588952,172,0.14427860696517414,163.1559822559357,False,0.18224666142969365,False,-0.006540010113242317,False,False
clip_l,imagenet,haar_centered,p999,1000,768,0.07603490956647023,0.00028942422421858796,0.08511727354349463,0.004354742480465061,-0.009082363977024402,-2.081034877094904,197,0.01990049751243781,204.94775295257568,True,0.034947215143793224,True,-0.009086321812250622,True,False
siglip_b,imagenet,haar_centered,p999,1000,768,0.07474222652776473,0.00034010496388139314,0.08232846707807352,0.004516231970899704,-0.0075862405503088065,-1.6750291384785478,189,0.059701492537313425,212.53714442253116,False,0.0934458144062297,False,-0.007590153917773262,False,False
i21k_t,cifar100,haar_centered,p999,100,192,0.13091116037629616,0.00018946347045129994,0.137290957074966,0.008434610790074466,-0.0063797966986698365,-0.7561923058750544,151,0.24875621890547264,189.19250392913816,False,0.2936138977244923,False,-0.006446282005206167,False,False
i21k_s,cifar100,haar_centered,p999,100,384,0.122018838875406,0.00031181699995200686,0.12224918515098365,0.00697981769245335,-0.00023034627557766416,-0.032968878217452535,112,0.4427860696517413,195.92163372039798,False,0.48303934871099047,False,-0.0003497380347863982,False,False
i21k_b,cifar100,haar_centered,p999,100,768,0.12592955120900734,0.00041531548991135056,0.12009006237305538,0.0072344450991842545,0.005839488835951964,0.805851715676193,42,0.7910447761194029,197.6686360836029,False,0.8021862518393945,False,0.00572755330353926,False,False
i21k_l,cifar100,haar_centered,p999,100,1024,0.09395713512929824,0.0002113500247731973,0.11425919443577465,0.005046540428975925,-0.0203020593064764,-4.019442345718895,200,0.0049751243781094535,203.93257021903992,True,0.01085481682496608,True,-0.020476674267324704,True,False
dinov1_b,cifar100,haar_centered,p999,100,768,0.08217579478434547,0.00020743078514805192,0.11365219776649055,0.0040904450061479535,-0.03147640298214509,-7.685229429247505,200,0.0049751243781094535,196.8611011505127,True,0.01085481682496608,True,-0.031635693489725385,True,False
dinov2_s,cifar100,haar_centered,p999,100,384,0.0672418727517851,0.00028089798370294533,0.0975421596666578,0.0030705380478678,-0.0303002869148727,-9.827035766423355,200,0.0049751243781094535,201.81620836257932,True,0.01085481682496608,True,-0.03058468175699114,True,False
dinov2_b,cifar100,haar_centered,p999,100,768,0.049220013861640696,0.00022545167916675392,0.08003066129306002,0.0020517103156630703,-0.030810647431419324,-14.927205337014296,200,0.0049751243781094535,194.45378971099854,True,0.01085481682496608,True,-0.03132137704238215,True,False
