model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,cifar100,haar_centered,p999,100,192,0.13091116037629616,0.00018946347045129994,0.137290957074966,0.008434610790074465,-0.006379796698669837,-0.7561923058750544,151,0.24875621890547264,189.19250392913818
i21k_s,cifar100,haar_centered,p999,100,384,0.12201883887540599,0.0003118169999520068,0.12224918515098365,0.00697981769245335,-0.00023034627557766418,-0.03296887821745254,112,0.4427860696517413,195.92163372039795
i21k_b,cifar100,haar_centered,p999,100,768,0.12592955120900734,0.00041531548991135056,0.12009006237305538,0.0072344450991842545,0.005839488835951964,0.805851715676193,42,0.7910447761194029,197.6686360836029
i21k_l,cifar100,haar_centered,p999,100,1024,0.09395713512929824,0.00021135002477319726,0.11425919443577463,0.005046540428975925,-0.020302059306476397,-4.019442345718895,200,0.004975124378109453,203.93257021903992
dinov1_b,cifar100,haar_centered,p999,100,768,0.08217579478434547,0.00020743078514805192,0.11365219776649056,0.004090445006147954,-0.03147640298214509,-7.685229429247505,200,0.004975124378109453,196.8611011505127
dinov2_s,cifar100,haar_centered,p999,100,384,0.0672418727517851,0.00028089798370294533,0.0975421596666578,0.0030705380478678,-0.0303002869148727,-9.827035766423357,200,0.004975124378109453,201.81620836257935
dinov2_b,cifar100,haar_centered,p999,100,768,0.049220013861640696,0.0002254516791667539,0.08003066129306002,0.0020517103156630703,-0.030810647431419327,-14.927205337014298,200,0.004975124378109453,194.45378971099854
dinov2_l,cifar100,haar_centered,p999,100,1024,0.03646468310739012,0.00016461804818072786,0.07056766065420456,0.0015375391177254454,-0.034102977546814434,-22.054189446622072,200,0.004975124378109453,202.30145955085754
dinov2_g,cifar100,haar_centered,p999,100,1536,0.030008624669895567,0.00014585741071636364,0.06876804142993084,0.001345851239345967,-0.038759416760035276,-28.63153181917153,200,0.004975124378109453,203.66706609725952
clip_b,cifar100,haar_centered,p999,100,512,0.1009863390958035,0.00035877607415080425,0.12029581323884578,0.00620156558499352,-0.01930947414304228,-3.1084475707009425,200,0.004975124378109453,187.72509741783142
clip_l,cifar100,haar_centered,p999,100,768,0.09706439934187909,0.0005306858483585808,0.11499875921034958,0.004973361477014872,-0.017934359868470487,-3.5857281761113025,200,0.004975124378109453,156.25957584381104
siglip_b,cifar100,haar_centered,p999,100,768,0.09781604158699787,0.0005469030512733433,0.11961326342318916,0.004983521175387949,-0.02179722183619129,-4.347757108801242,200,0.004975124378109453,141.08201122283936
