model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,dtd,haar_centered,p999,47,192,0.1105465467483246,0.0002472334637240465,0.12429625958378296,0.006896399654083598,-0.013749712835458353,-1.9924723751654883,195,0.029850746268656716,172.42131996154785
i21k_s,dtd,haar_centered,p999,47,384,0.09584507552385388,0.0003461725965027012,0.11366791423275444,0.00547260391567091,-0.017822838708900557,-3.2502422393341037,199,0.009950248756218905,182.2581171989441
i21k_b,dtd,haar_centered,p999,47,768,0.08885700661181575,0.00044942660245905384,0.10864929421708229,0.004751585314290254,-0.019792287605266537,-4.146898912989556,200,0.004975124378109453,185.54163789749146
i21k_l,dtd,haar_centered,p999,47,1024,0.07733017339604878,0.0003670979005732898,0.10728676517873448,0.00436352212115682,-0.0299565917826857,-6.841065351754431,200,0.004975124378109453,183.43405604362488
dinov1_b,dtd,haar_centered,p999,47,768,0.095200424225416,0.0003949681991277883,0.1216315217457694,0.005470148554162669,-0.0264310975203534,-4.819332923836852,200,0.004975124378109453,187.2764904499054
dinov2_s,dtd,haar_centered,p999,47,384,0.10531931977064338,0.00042696525002554325,0.12238081755358894,0.004855484033963303,-0.017061497782945564,-3.500354184926862,200,0.004975124378109453,191.1357080936432
dinov2_b,dtd,haar_centered,p999,47,768,0.07665548771119285,0.00038836079159903727,0.11045474149108855,0.0038686238489627784,-0.033799253779895705,-8.693071147186368,200,0.004975124378109453,189.296284198761
dinov2_l,dtd,haar_centered,p999,47,1024,0.06926402629604358,0.00039434552188302675,0.10989918935449755,0.0034623171679707375,-0.040635163058453966,-11.661014963661152,200,0.004975124378109453,193.3964502811432
dinov2_g,dtd,haar_centered,p999,47,1536,0.07308887946938485,0.0002303184640741918,0.11040923349507885,0.0037006273732505296,-0.037320354025694,-10.065396713839604,200,0.004975124378109453,194.4266972541809
clip_b,dtd,haar_centered,p999,47,512,0.09882658147110926,0.00018551046647280768,0.12225576473148772,0.006431983593503349,-0.02342918326037846,-3.641092078117485,200,0.004975124378109453,190.47751569747925
clip_l,dtd,haar_centered,p999,47,768,0.09791602685789025,0.00023660329674651888,0.12391608944207551,0.005772767182933138,-0.02600006258418526,-4.500138492217345,200,0.004975124378109453,164.47854900360107
siglip_b,dtd,haar_centered,p999,47,768,0.0961696797036115,0.00023303961698772178,0.11873888648784828,0.005422228985542925,-0.02256920678423678,-4.1585095803179835,200,0.004975124378109453,145.3020100593567
