model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,fashionmnist,haar_centered,p999,10,192,0.1533356490177405,0.0,0.12960683309974227,0.018245915182954764,0.02372881591799822,1.3005001766184658,19,0.9054726368159204,188.96511554718018
i21k_s,fashionmnist,haar_centered,p999,10,384,0.10164670080883054,0.0,0.12823290043047042,0.018194082078278922,-0.026586199621639883,-1.4612553415585567,192,0.04477611940298507,162.99071264266968
i21k_b,fashionmnist,haar_centered,p999,10,768,0.09840654422505626,0.0,0.13310009458938057,0.018160018544924997,-0.03469355036432431,-1.9104358444622722,198,0.014925373134328358,163.57610893249512
i21k_l,fashionmnist,haar_centered,p999,10,1024,0.09336748126687247,1.3877787807814457e-17,0.13480637396431855,0.01856996272248952,-0.04143889269744608,-2.231501124515489,200,0.004975124378109453,161.28334021568298
dinov1_b,fashionmnist,haar_centered,p999,10,768,0.13503588484727033,0.0,0.13665331580448442,0.019399000223677403,-0.0016174309572140888,-0.08337702657686129,104,0.48258706467661694,153.77651834487915
dinov2_s,fashionmnist,haar_centered,p999,10,384,0.10671717081770522,1.3877787807814457e-17,0.13191537148916466,0.018833888352152935,-0.025198200671459434,-1.3379181292947924,184,0.0845771144278607,149.97658801078796
dinov2_b,fashionmnist,haar_centered,p999,10,768,0.08306454514354546,0.0,0.13930814330389757,0.02159511418736107,-0.05624359816035211,-2.60445940097273,199,0.009950248756218905,158.62930035591125
dinov2_l,fashionmnist,haar_centered,p999,10,1024,0.10601734515806413,0.0,0.13016248368978076,0.017977460522765595,-0.024145138531716626,-1.3430783786809404,186,0.07462686567164178,155.98742508888245
dinov2_g,fashionmnist,haar_centered,p999,10,1536,0.10173915569675245,1.3877787807814457e-17,0.13668844713226588,0.019766379227593292,-0.03494929143551344,-1.7681180267312306,197,0.01990049751243781,157.4603066444397
clip_b,fashionmnist,haar_centered,p999,10,512,0.13816459551684931,0.0,0.17061869660288992,0.023967831751377983,-0.032454101086040604,-1.354069129935991,185,0.07960199004975124,155.41748523712158
clip_l,fashionmnist,haar_centered,p999,10,768,0.11607822501778646,1.3877787807814457e-17,0.14900981855558584,0.02225323866010987,-0.032931593537799383,-1.4798562151239154,186,0.07462686567164178,159.74100303649902
siglip_b,fashionmnist,haar_centered,p999,10,768,0.11203997664263372,0.0,0.14544518371192447,0.019056030856694054,-0.033405207069290746,-1.7529992116672122,195,0.029850746268656716,158.76452231407166
