model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,imagenet,haar_centered,p999,1000,192,0.08783908467353604,0.0003035147351940353,0.09281273492788218,0.004587452328049639,-0.0049736502543461375,-1.0818205127910852,169,0.15920398009950248,542.6669454574585
i21k_s,imagenet,haar_centered,p999,1000,384,0.06289278478250815,0.00026560569479597545,0.07517950623631753,0.003316291027539963,-0.01228672145380938,-3.693132700505807,200,0.004975124378109453,607.7937922477722
i21k_b,imagenet,haar_centered,p999,1000,768,0.05393620095877087,0.00019941582908156085,0.07010070468111029,0.00303026000902415,-0.01616450372233942,-5.322848545875869,200,0.004975124378109453,900.6495730876923
i21k_l,imagenet,haar_centered,p999,1000,1024,0.055454520906013514,0.00017080526901697715,0.07119087367560908,0.003118945696711309,-0.01573635276959557,-5.037858948058695,200,0.004975124378109453,674.5707869529724
dinov1_b,imagenet,haar_centered,p999,1000,768,0.0552455916591852,0.00037318144621323107,0.07551690933583723,0.0022356270649542547,-0.020271317676652023,-8.943650542424997,200,0.004975124378109453,286.08287239074707
dinov2_s,imagenet,haar_centered,p999,1000,384,0.05293377280502317,0.00023910565046815884,0.06909215613680741,0.0009185174251243883,-0.016158383331784244,-17.024434092461846,200,0.004975124378109453,149.80658555030823
dinov2_b,imagenet,haar_centered,p999,1000,768,0.03356165236634483,0.00016182450755775234,0.050258022770376026,0.0004649428282511209,-0.0166963704040312,-33.91505226140957,200,0.004975124378109453,213.49662828445435
dinov2_l,imagenet,haar_centered,p999,1000,1024,0.02972310422945637,0.00011737536245415697,0.04324820857131807,0.00040253340051200144,-0.013525104341861702,-32.256607978578025,200,0.004975124378109453,284.1546528339386
dinov2_g,imagenet,haar_centered,p999,1000,1536,0.03264781036605507,0.0004987619777615,0.04065652703636907,0.0003309457268645882,-0.008008716670314005,-13.37970209966402,200,0.004975124378109453,364.21013593673706
clip_b,imagenet,haar_centered,p999,1000,512,0.08431129786955478,0.00026180391642323636,0.09084707753608041,0.005095204775934671,-0.006535779666525632,-1.2810415425588952,172,0.14427860696517414,163.15598225593567
clip_l,imagenet,haar_centered,p999,1000,768,0.07603490956647022,0.00028942422421858796,0.08511727354349462,0.004354742480465061,-0.009082363977024402,-2.0810348770949036,197,0.01990049751243781,204.94775295257568
siglip_b,imagenet,haar_centered,p999,1000,768,0.07474222652776472,0.0003401049638813931,0.08232846707807352,0.004516231970899705,-0.0075862405503088065,-1.6750291384785478,189,0.05970149253731343,212.53714442253113
