model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s
i21k_t,mnist,haar_centered,p999,10,192,0.13427752465995457,0.0,0.15622109304041387,0.023161724333085415,-0.0219435683804593,-0.9474065084659505,168,0.16417910447761194,189.15592741966248
i21k_s,mnist,haar_centered,p999,10,384,0.12767443878048385,0.0,0.16121446136891074,0.02502248269682283,-0.03354002258842689,-1.3403954753332912,183,0.08955223880597014,160.34413957595825
i21k_b,mnist,haar_centered,p999,10,768,0.13347234307490144,0.0,0.14021207848236655,0.020304240799151867,-0.006739735407465114,-0.33193732649913416,122,0.39303482587064675,154.41068816184998
i21k_l,mnist,haar_centered,p999,10,1024,0.12442113794682512,0.0,0.1556775654227383,0.02161527024303591,-0.03125642747591319,-1.4460345452300556,187,0.06965174129353234,152.53306603431702
dinov1_b,mnist,haar_centered,p999,10,768,0.10843945881596892,0.0,0.13804956989073403,0.021559381038228125,-0.029610111074765105,-1.3734212045448702,182,0.0945273631840796,155.04227018356323
dinov2_s,mnist,haar_centered,p999,10,384,0.14935831439413907,0.0,0.1462296263227053,0.020338101253054124,0.003128688071433766,0.15383383298693817,79,0.6069651741293532,154.50591588020325
dinov2_b,mnist,haar_centered,p999,10,768,0.14131261088643957,0.0,0.1537257718654658,0.02429187353010868,-0.012413160979026228,-0.5110005600696329,142,0.2935323383084577,158.66777968406677
dinov2_l,mnist,haar_centered,p999,10,1024,0.15036074346998407,0.0,0.1593573447831141,0.02394893568220748,-0.008996601313130043,-0.3756576673181322,135,0.3283582089552239,162.8615620136261
dinov2_g,mnist,haar_centered,p999,10,1536,0.1472739529811991,2.7755575615628914e-17,0.16520090534767853,0.023902632294385343,-0.017926952366479426,-0.7499990856944411,163,0.1890547263681592,160.70092868804932
clip_b,mnist,haar_centered,p999,10,512,0.13803716575248368,0.0,0.13275573963520662,0.020437896437696813,0.005281426117277055,0.25841339070177954,81,0.5970149253731343,159.43249917030334
clip_l,mnist,haar_centered,p999,10,768,0.16480574915157226,0.0,0.16549341972064668,0.019179406283030425,-0.0006876705690744278,-0.03585463277259347,97,0.5174129353233831,159.4707429409027
siglip_b,mnist,haar_centered,p999,10,768,0.11328859388614661,0.0,0.13560817353765786,0.01743140234703353,-0.022319579651511254,-1.2804236404599767,176,0.12437810945273632,159.25091099739075
