epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,loss_k30,loss_k6,loss_k2,lr_enc,t
0,0,1,40.8,0.00390625,8.5049,4.8991,2.3176,1.6601,2e-08,1790060092.415008
0,50,51,60.6,0.16015625,5.4653,2.914,0.8172,0.4977,1.02e-06,1790060301.5643888
0,100,101,65.4,0.7265625,1.5405,0.7376,0.155,0.0722,2.02e-06,1790060481.32298
0,150,151,68.3,0.91015625,0.5185,0.1892,0.042,0.0253,3.0200000000000003e-06,1790060652.3019648
0,200,201,70.0,0.90625,0.5953,0.3024,0.0328,0.0096,4.0200000000000005e-06,1790060821.0794191
0,250,251,70.6,0.91015625,0.7003,0.0883,0.02,0.0037,5.02e-06,1790060996.0346997
0,300,301,71.1,0.875,0.6347,0.0628,0.0573,0.0579,6.02e-06,1790061170.2227678
0,350,351,71.4,0.95703125,0.0993,0.0454,0.0341,0.0227,7.0200000000000006e-06,1790061345.0031958
0,400,401,71.9,0.8671875,0.9585,0.0753,0.0166,0.0076,8.020000000000001e-06,1790061514.0720947
0,450,451,72.2,0.87890625,0.534,0.1119,0.0256,0.0257,9.020000000000002e-06,1790061685.8685527
0,500,501,72.2,0.9296875,0.3414,0.0807,0.0287,0.0324,1e-05,1790061861.8345788
0,550,551,72.3,0.984375,0.1157,0.1775,0.0677,0.0703,1e-05,1790062037.8880615
0,600,601,72.4,0.8828125,0.9902,0.1609,0.0024,0.0031,1e-05,1790062212.1324697
0,650,651,72.3,0.88671875,0.58,0.096,0.0414,0.0253,1e-05,1790062392.52032
0,700,701,72.4,0.9375,0.3214,0.0801,0.0174,0.0201,1e-05,1790062564.1530075
0,750,751,72.5,0.9296875,0.27,0.0745,0.0011,0.0007,1e-05,1790062737.3531702
0,800,801,72.5,0.86328125,0.9704,0.7588,0.7532,0.0007,1e-05,1790062913.0741308
0,850,851,72.5,0.90234375,0.525,0.2292,0.123,0.0034,1e-05,1790063090.9806702
0,900,901,72.5,0.9453125,0.1855,0.0358,0.0094,0.0022,1e-05,1790063268.2273412
0,950,951,72.6,0.95703125,0.2042,0.0972,0.1189,0.0902,1e-05,1790063441.2602167
0,1000,1001,72.6,0.95703125,0.3256,0.0364,0.0016,0.0005,1e-05,1790063617.500214
0,1050,1051,72.6,0.9296875,0.5475,0.0595,0.0044,0.002,1e-05,1790063793.3157425
0,1100,1101,72.5,0.9296875,0.3308,0.0913,0.0053,0.0072,1e-05,1790063974.7856917
0,1150,1151,72.4,0.95703125,0.1687,0.0832,0.0428,0.0373,1e-05,1790064153.416231
0,1200,1201,72.5,0.89453125,0.5593,0.0707,0.016,0.0114,1e-05,1790064328.6155097
