dataset,trial,n,classes,theirs_table1,delta_rel_ours_sup,delta_norm_p999,null_mean,null_sd,excess,r_above,p_left,time_s
cifar10,0,1500,10,0.26,0.29668507446197034,0.08038864122389776,0.08253465630414211,0.003043673415175038,-0.002146015080244354,155,0.22885572139303484,917.4235830307007
cifar10,1,1500,10,0.26,0.2746507271765686,0.07708555976694725,0.08146163327654321,0.003087135468258624,-0.004376073509595957,184,0.0845771144278607,900.7491509914398
cifar10,2,1500,10,0.26,0.2559882722638088,0.07959090006399515,0.08209142773618656,0.003090229432189472,-0.002500527672191416,165,0.1791044776119403,808.1210992336273
cifar10,3,1500,10,0.26,0.26958716512277076,0.08014503933355385,0.08217072669978549,0.0030683121179349766,-0.0020256873662316405,152,0.24378109452736318,815.4715192317963
cifar10,4,1500,10,0.26,0.2612677761729893,0.07645494679041487,0.08202210061123527,0.003078951932186405,-0.005567153820820403,193,0.03980099502487562,817.9635541439056
cifar10,5,1500,10,0.26,0.30636998602060517,0.08083488727637064,0.0820044592012504,0.003095811866457483,-0.0011695719248797504,134,0.3333333333333333,766.5680520534515
cifar10,6,1500,10,0.26,0.25452161482058183,0.07748402257508855,0.08184103557770911,0.003010570643284419,-0.004357013002620563,185,0.07960199004975124,722.8283658027649
cifar10,7,1500,10,0.26,0.2810624454395471,0.07592522485733895,0.08215369263249186,0.0030651295873411017,-0.0062284677751529155,194,0.03482587064676617,660.9381511211395
cifar10,8,1500,10,0.26,0.27205682165377454,0.07848229585696227,0.08234357141492105,0.003015360562615879,-0.0038612755579587738,178,0.11442786069651742,723.0303511619568
cifar10,9,1500,10,0.26,0.27938498873582435,0.07801391571699347,0.0829753863065287,0.0030297571626268782,-0.004961470589535236,188,0.06467661691542288,708.3718214035034
cifar100,0,1500,100,0.25,0.2614316652541861,0.07484204677692868,0.08258264611758338,0.0026246084227170364,-0.0077405993406547,196,0.024875621890547265,708.857194185257
cifar100,1,1500,100,0.25,0.2603687545508024,0.07600505227628071,0.08252717269284852,0.002619628353100726,-0.006522120416567814,196,0.024875621890547265,703.8548448085785
cifar100,2,1500,100,0.25,0.28175412394053295,0.075392237740354,0.08214371302555755,0.0026217678814733246,-0.006751475285203548,196,0.024875621890547265,729.5888175964355
cifar100,3,1500,100,0.25,0.24073234606095928,0.06778463744837757,0.08159448621941284,0.0026512139598312613,-0.013809848771035277,200,0.004975124378109453,739.8415324687958
cifar100,4,1500,100,0.25,0.24562201489921015,0.07219852405332292,0.08260892088370202,0.002616270705031549,-0.010410396830379101,200,0.004975124378109453,746.4017210006714
cifar100,5,1500,100,0.25,0.2575686364630733,0.07080931417480475,0.08189255280245217,0.0026649548907677367,-0.011083238627647415,200,0.004975124378109453,743.6514763832092
cifar100,6,1500,100,0.25,0.2602056797881897,0.07529724116127234,0.08203007960894033,0.0026449804483837528,-0.006732838447667991,196,0.024875621890547265,693.2507860660553
cifar100,7,1500,100,0.25,0.26588563995466497,0.07412843343936902,0.08304401624422933,0.0025402916715129968,-0.008915582804860309,200,0.004975124378109453,716.9772341251373
cifar100,8,1500,100,0.25,0.2780959687481455,0.07635675582678968,0.08204781296134483,0.002657562743063532,-0.005691057134555158,195,0.029850746268656716,690.8852300643921
cifar100,9,1500,100,0.25,0.25597928859791413,0.07323111724539674,0.08268530776381057,0.0026255710214002554,-0.009454190518413827,200,0.004975124378109453,703.3215088844299
cub,0,1500,200,0.25,0.25776243165071205,0.07804110740808504,0.08143338060056808,0.0032844678433023152,-0.0033922731924830446,174,0.13432835820895522,706.6351609230042
cub,1,1500,200,0.25,0.2685880229901561,0.07899397521042542,0.08097961684185837,0.0033109462762341987,-0.001985641631432944,151,0.24875621890547264,733.2405314445496
cub,2,1500,200,0.25,0.27686495892337454,0.076444239436121,0.08101308396788952,0.0033093589701842247,-0.004568844531768521,182,0.0945273631840796,713.362706899643
cub,3,1500,200,0.25,0.26760028128156943,0.07248815975976072,0.08118635673642828,0.0032939577350719973,-0.008698196976667558,198,0.014925373134328358,728.7282662391663
cub,4,1500,200,0.25,0.24489561891531217,0.07787987790332221,0.08140220381776235,0.0032778859144765387,-0.0035223259144401414,174,0.13432835820895522,718.8915679454803
cub,5,1500,200,0.25,0.2889840302043546,0.07908000301997933,0.08120253792091375,0.0032921519622730816,-0.0021225349009344197,154,0.23383084577114427,694.1961190700531
cub,6,1500,200,0.25,0.2800644141471902,0.07715913229296113,0.08111217023407408,0.003296199827645594,-0.003953037941112944,176,0.12437810945273632,698.4008855819702
cub,7,1500,200,0.25,0.2780085519813659,0.07563389963813258,0.08095195911447921,0.003287508005614755,-0.005318059476346629,188,0.06467661691542288,729.8425621986389
cub,8,1500,200,0.25,0.2653861307590093,0.07800348698227447,0.08139635532359638,0.0033087583062721975,-0.0033928683413219085,173,0.13930348258706468,688.648535490036
cub,9,1500,200,0.25,0.2681695900807024,0.0747926884456136,0.08116725272975782,0.0032895468502851534,-0.006374564284144221,196,0.024875621890547265,686.4525134563446
miniimagenet,0,1500,100,0.21,0.1927376360331538,0.05466500593058238,0.07725045660617645,0.0015306649559447907,-0.022585450675594074,200,0.004975124378109453,684.008951663971
miniimagenet,1,1500,100,0.21,0.2148715488853782,0.05549808575541393,0.07670663962540962,0.001546153907390821,-0.02120855386999569,200,0.004975124378109453,676.8802099227905
