model,seed,s,K,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
clip_b,0,0.0,30,-0.016880252026686124,0.0005875560353197237,0.002195430841771357,-0.017467808062005846,-1.2654914639169057,0.09403826622006536,0.00825264250820973,195.35582876205444
clip_b,0,0.25,30,-0.021513310719171008,0.0006654264074166486,0.0025301819456748646,-0.022178737126587657,-1.7241574177909615,0.09422504661589808,0.00667236764719812,215.9680225849152
clip_b,0,0.5,30,-0.028046288587849938,0.0007265535733431639,0.004201607062163686,-0.0287728421611931,-2.8334263517494818,0.09389213407887326,0.00470353587168162,174.35259437561038
clip_b,0,0.75,30,-0.0337472254125373,2.9907724722208484e-05,0.0019210888248717539,-0.03377713313725951,-4.207077576051814,0.09661001853292987,0.0037212833938945,226.7836632728577
clip_b,0,1.0,30,-0.03615802536989275,0.00044205193899932713,0.001913972307345737,-0.03660007730889208,-4.1835153511337415,0.0985599831834136,0.00422324791401595,211.18055963516238
clip_b,1,0.0,30,-0.01212798230131841,0.001355274006019512,0.002103962924523636,-0.01348325630733792,-1.1609619942995424,0.09606440296548856,0.008972081063127137,211.5003840923309
clip_b,1,0.25,30,-0.01986534800805051,0.0005525826087720856,0.0038793782949291655,-0.020417930616822597,-1.6907450140370357,0.09438179552425494,0.00632696923590404,232.30566358566284
clip_b,1,0.5,30,-0.028764478811584088,4.1607317630058814e-05,0.004953377183372353,-0.02880608612921415,-2.06225592030068,0.09269110213884788,0.004165319420148432,234.62329077720642
clip_b,1,0.75,30,-0.032452339108134186,0.0012801563386083167,0.005092072768536067,-0.03373249544674251,-2.3273740759463077,0.09804458343476266,0.003490485403393179,185.9924032688141
clip_b,1,1.0,30,-0.03398618585955175,0.0011520786620162064,0.004334891121045653,-0.035138264521567965,-2.572262664701995,0.10037652085671417,0.003956863909641404,198.1468276977539
clip_b,2,0.0,30,-0.014485707693034353,0.00032904322785559664,0.004018071868998089,-0.01481475092088995,-1.068681195276031,0.09567054556918868,0.008628759300854967,188.59081435203552
clip_b,2,0.25,30,-0.02314546897601269,0.0007367708156927361,0.002925044391271185,-0.023882239791705426,-1.8254613287341628,0.09463480647311297,0.005940097593225818,178.1202461719513
clip_b,2,0.5,30,-0.025288558570494668,-0.00010739227292406034,0.0026289224172422127,-0.02518116629757061,-2.1922228291291983,0.09871845965824742,0.0058971008972954035,188.8732023239136
clip_b,2,0.75,30,-0.027442803170501292,0.00031319883031376565,0.002184323961191144,-0.027756002000815058,-2.6191015989496993,0.10481811411135666,0.005867264398157668,188.53192257881162
clip_b,2,1.0,30,-0.02727808092725409,0.0006632635016627086,0.00439644480971109,-0.0279413444289168,-2.408142782764503,0.1076843945664514,0.005395884283873807,175.3962025642395
clip_b,3,0.0,30,-0.01532194027569804,0.0008471582441264197,0.003267116416338667,-0.01616909851982446,-1.2936397579513572,0.09285727719163184,0.008787191943259724,178.50451374053955
clip_b,3,0.25,30,-0.0210142359262791,0.0010401315108701972,0.003670151397784753,-0.022054367437149298,-1.6850666215949222,0.09542039720706423,0.006538344710472277,186.17057180404663
clip_b,3,0.5,30,-0.030576174486895813,8.631050384374504e-05,0.003671085877571892,-0.030662484990739564,-2.0931897661288645,0.09498544198288716,0.0035106901693934666,201.22069311141968
clip_b,3,0.75,30,-0.03526828224958474,-0.0005770664417445213,0.0029157532514456,-0.034691215807840216,-2.4529673810497554,0.09847950810652747,0.003316256991290384,186.51668787002563
clip_b,3,1.0,30,-0.038902092836536326,0.0008145277347198665,0.003392934208976856,-0.03971662057125619,-2.9286742986461514,0.09938188091524264,0.003470452944867871,178.71583437919617
clip_b,4,0.0,30,-0.01699415679034944,0.00028874419243251633,0.002373229413823088,-0.01728290098278195,-1.2770208321006216,0.09224789546759718,0.00821044300327963,184.5342206954956
clip_b,4,0.25,30,-0.022149760268964636,0.0012133362143964752,0.0021563107895195828,-0.023363096483361108,-1.9588488321570825,0.09284162679388834,0.006694291836124938,192.31825041770932
clip_b,4,0.5,30,-0.02754659358322399,0.00248675067796838,0.003176979122745545,-0.03003334426119237,-2.5876635284070733,0.09506042100525376,0.005540534198850511,181.62282466888428
clip_b,4,0.75,30,-0.03063501579936581,0.0017062573598966805,0.003441506692820104,-0.03234127315926249,-2.4694123935069365,0.0978630691666766,0.006510351070748382,164.0822055339813
clip_b,4,1.0,30,-0.031893561016048566,0.001565880512532769,0.0042274485561933275,-0.03345944152858134,-2.503570286118934,0.10010696897851808,0.006469111136727158,188.01076221466062
clip_l,0,0.0,30,-0.0095952785738144,0.0011414488072603144,0.002845989355033777,-0.010736727381074713,-1.2823939212692341,0.08503728293224475,0.005731030661324941,142.15782713890076
clip_l,0,0.25,30,-0.023185859602959144,0.0015634634892084955,0.002264732645767077,-0.02474932309216764,-2.201706602933521,0.07782035177750414,0.005190690771650531,191.56097435951236
clip_l,0,0.5,30,-0.021519759460199076,0.001370011782593085,0.0014389124778964855,-0.02288977124279216,-1.947363294680699,0.0886499023015142,0.00562241688574344,202.24156975746155
clip_l,0,0.75,30,-0.013975494678757805,0.0016961665265520427,0.0016997106770032268,-0.01567166120530985,-1.4450594422176704,0.10645924663712722,0.005677874428689288,154.8605401515961
clip_l,0,1.0,30,-0.011775775875173866,0.0016323632592928085,0.0032746794449646645,-0.013408139134466677,-1.1677086572167044,0.1134910802388638,0.005917633755349277,203.67506527900696
clip_l,1,0.0,30,-0.009173046245647451,0.00032661032301640883,0.003464341031636191,-0.00949965656866386,-0.8125815898539538,0.08691239351905071,0.006595538123984684,158.64210414886475
clip_l,1,0.25,30,-0.01890734259401941,0.00027867509017988346,0.002385250450743824,-0.01918601768419929,-1.581071525572605,0.08101175117303971,0.005092180495351737,182.2390332221985
clip_l,1,0.5,30,-0.018020299915853646,0.0011494352817699007,0.002859033361844301,-0.019169735197623543,-1.4927357328984967,0.08921921852687023,0.004067598886565309,167.2963488101959
clip_l,1,0.75,30,-0.011852263870331642,0.0008914074424977797,0.003331967111482792,-0.012743671312829422,-0.9556033004096174,0.10421957476421108,0.006012872373532779,155.93982315063474
clip_l,1,1.0,30,-0.011137179583189159,-1.695657579430937e-05,0.0038482681868177134,-0.01112022300739485,-0.7860470705335717,0.10918561537805856,0.007138443961484354,199.9252269268036
clip_l,2,0.0,30,-0.011892345121517224,0.0008090488426495291,0.003115524459218197,-0.012701393964166757,-1.1103422884341752,0.0871621666781713,0.007573008323686891,188.94378900527957
clip_l,2,0.25,30,-0.013425354667129671,0.00033808281740420467,0.0033081471276502307,-0.013763437484533876,-1.1468464300052046,0.09205800892091402,0.005313296718345785,201.71749711036682
clip_l,2,0.5,30,-0.01849011873472564,0.0003129198517184101,0.003346645471869698,-0.01880303858644405,-1.4546079228455275,0.09413309748615116,0.0052755966737978955,173.17850494384766
clip_l,2,0.75,30,-0.023768844055092428,0.0002604444955869631,0.0019000089721872898,-0.02402928855067939,-2.131409719825176,0.0983311633825082,0.0037780476440587188,201.05206751823425
clip_l,2,1.0,30,-0.025473446025646426,0.0008171791493801802,0.0026520974854731816,-0.02629062517502661,-2.2550945733176357,0.10111118781980304,0.0035381311034379907,193.96133613586426
clip_l,3,0.0,30,-0.009446958950793545,8.324302934400729e-05,0.0021326716724909514,-0.009530201980137551,-0.903542299518331,0.08791169327747098,0.0075655015441700064,201.4167115688324
clip_l,3,0.25,30,-0.014935045991252088,0.00013337321848305025,0.002535700736049984,-0.01506841920973514,-1.222215831587027,0.08619117580715067,0.004852908781532618,184.01731491088867
clip_l,3,0.5,30,-0.015702324044459898,0.0009832097339924004,0.003368436117822855,-0.016685533778452298,-1.2580681812357166,0.09408912797766047,0.006531130065974877,186.33434510231015
clip_l,3,0.75,30,-0.010005554814061152,0.0009161797008618649,0.0032893751961302967,-0.010921734514923016,-0.9610191442371844,0.10835139321482608,0.006367391338954604,197.7253751754761
clip_l,3,1.0,30,-0.009158966364303522,0.0005392050335530932,0.00272365044290151,-0.009698171397856616,-0.965309939070414,0.11354557984486845,0.005044684191702418,190.7680509090424
clip_l,4,0.0,30,-0.008158768677655706,0.0014084901928520064,0.002879240705995669,-0.009567258870507713,-0.9125153886381678,0.08997856716421722,0.00676153112208175,196.07255125045776
clip_l,4,0.25,30,-0.018980945245130568,0.0013225016997777395,0.002902396269298277,-0.02030344694490831,-1.8236328556644807,0.08625863299688585,0.0038451170011756038,180.22832202911374
clip_l,4,0.5,30,-0.025563338961264972,0.0014755270292353586,0.003140157224837249,-0.02703886599050033,-2.2704934106516887,0.08747801714520265,0.0038186817924684455,175.8803200721741
clip_l,4,0.75,30,-0.03060422803320753,0.0019880782344490738,0.003145743412041629,-0.032592306267656614,-2.5644477830444865,0.09165775051842362,0.0025180163578583034,194.76826596260068
clip_l,4,1.0,30,-0.03211369169548689,0.0016056571664810268,0.0030056755047456287,-0.03371934886196792,-2.7861359024976764,0.09369899487454557,0.003095633092009371,180.81652593612668
dinov1_b,0,0.0,30,0.014745477883415096,0.000876533889374255,0.00299807352286083,0.013868943994040844,2.0255108672789697,0.1056914390429589,0.005863653696033755,170.75041985511783
dinov1_b,0,0.25,30,0.009828271431598187,0.0008433175298053902,0.0036667733541576467,0.008984953901792797,1.299923537870783,0.10117465676631676,0.00543888212434482,190.41960549354556
dinov1_b,0,0.5,30,0.0007589957189594737,0.0008779973715033737,0.0038372317383121024,-0.00011900165254389995,-0.016155854434692942,0.09654131174738813,0.004971306429998185,174.70201349258426
dinov1_b,0,0.75,30,-0.01243581116897212,0.001136878402358131,0.003392781677909529,-0.01357268957133025,-1.765457474095683,0.09306749366543064,0.005337447558817011,161.1329174041748
dinov1_b,0,1.0,30,-0.019148989980788542,0.0014331303429237314,0.0030028821248246247,-0.020582120323712268,-2.4035994315117337,0.09220750560836072,0.006169015782970453,172.07549905776978
dinov1_b,1,0.0,30,0.013064966245934216,0.0005575599874629661,0.003342357178243804,0.012507406258471248,1.8283588849040808,0.10580805033485104,0.005498070568133381,199.52786707878116
dinov1_b,1,0.25,30,0.00520152618624127,0.0005250092374739392,0.0031515020234091236,0.004676516948767332,0.706702098843555,0.09900898380963967,0.005346523598840204,177.53148984909058
dinov1_b,1,0.5,30,-0.0030134737507076376,0.0005007508998649325,0.0030000023612076405,-0.00351422465057257,-0.4888289850949754,0.09312218344452504,0.005145348848954645,172.32540702819824
dinov1_b,1,0.75,30,-0.014530872820942398,0.0006044699054260055,0.002928961049012743,-0.015135342726368402,-1.8480646481210288,0.09105112144685504,0.004359910204565144,203.7066693305969
dinov1_b,1,1.0,30,-0.018762168540511145,0.0004552167259816623,0.002908265124631695,-0.01921738526649281,-2.246133127357989,0.09203481898011852,0.004084983788985875,191.1448142528534
dinov1_b,2,0.0,30,0.01420913215375687,-0.00014820681812162257,0.004043730823504466,0.01435733897187849,1.8427979347694532,0.10679255062570103,0.0063812027723887405,179.91432285308838
dinov1_b,2,0.25,30,0.007460733942562346,9.26899612390647e-05,0.004094365585290703,0.00736804398132328,0.8382100650448882,0.10051664406072694,0.00735865300361433,180.58275938034058
dinov1_b,2,0.5,30,0.0019486380662807892,0.0004272472361877139,0.003898268980909095,0.001521390830093075,0.19146871967272533,0.09816814629480057,0.005682298278499331,189.2123658657074
dinov1_b,2,0.75,30,-0.008402861692620181,0.0005633325011072984,0.003697504444374519,-0.00896619419372748,-0.9938962019715818,0.09745441782329514,0.005389627810895919,172.12342500686646
dinov1_b,2,1.0,30,-0.01442008218815791,0.0006722244673861303,0.0038267529254648,-0.015092306655544037,-1.5985453618789869,0.09686057010427927,0.0057973932738926825,165.51505804061892
dinov1_b,3,0.0,30,0.013441667917972244,0.00013250778257500458,0.0036190070624377174,0.01330916013539724,1.7367375433921008,0.10618147357666977,0.005704664290605236,155.86556339263916
dinov1_b,3,0.25,30,0.010083002659781308,1.2778353846569501e-05,0.0038171271718313647,0.010070224305934737,1.4240969279105722,0.10247315220061108,0.0049088472426670965,200.15479803085327
dinov1_b,3,0.5,30,0.0011186018083098326,2.4994047984067127e-05,0.003800286899526989,0.0010936077603257654,0.1553836859057493,0.09523011322295824,0.005005126784409272,179.7236180305481
dinov1_b,3,0.75,30,-0.011479100272845641,0.00012125097536182933,0.003482985239793564,-0.01160035124820747,-1.769914403245329,0.09180977065034142,0.003502262938645514,183.68123865127563
dinov1_b,3,1.0,30,-0.016816694217802117,0.0003124920062234235,0.003323172954732457,-0.017129186224025542,-2.5753362159818094,0.09155792867888543,0.0027950390997522412,186.8474018573761
dinov1_b,4,0.0,30,0.016633114709896285,0.00224747346473865,0.003545098730456897,0.014385641245157638,1.6557587098847897,0.10902680817811994,0.007729640236228412,178.67758560180664
dinov1_b,4,0.25,30,0.00997930933901084,0.0024760829726167945,0.0037266281311947726,0.007503226366394045,1.070662576973467,0.10345260291386188,0.005352578404764018,207.15847373008728
dinov1_b,4,0.5,30,-0.004563719418516146,0.002253135436670986,0.0036662925970627866,-0.006816854855187132,-0.8288251676022049,0.0941826702961152,0.0053734918663200315,173.92868947982788
dinov1_b,4,0.75,30,-0.015335308785038082,0.0023225862354576887,0.003334902505586961,-0.017657895020495768,-1.9748176180932893,0.09234483346137994,0.004018851190843187,185.98590874671936
dinov1_b,4,1.0,30,-0.02044839895105395,0.0022387054960042825,0.0032343974032148144,-0.022687104447058237,-2.5661380950573007,0.09241521846445767,0.0042884657469922545,194.3124053478241
dinov2_b,0,0.0,30,0.0073878270461883175,0.0005066215303895059,0.005295738872441793,0.00688120551579881,0.5418810000848091,0.09291731149750304,0.01081136147584928,216.7988383769989
dinov2_b,0,0.25,30,0.00397930467093785,0.0003925045866177895,0.005319450642889357,0.0035868000843200603,0.3015916996315475,0.08912914982149824,0.010005152435626205,239.8564937114716
dinov2_b,0,0.5,30,-0.0018230706326415047,9.14969938040716e-05,0.005375084272046989,-0.0019145676264455762,-0.16718835592394604,0.08466428649967989,0.0093201248743005,247.98224472999573
dinov2_b,0,0.75,30,-0.010433073917790608,-7.0770273075349e-05,0.005437085033046873,-0.01036230364471526,-0.9830239362834504,0.08165140529816327,0.007981526682889052,244.64152884483337
dinov2_b,0,1.0,30,-0.01425730014438363,-0.00014803237232196564,0.005451715686144085,-0.014109267772061663,-1.3225196067141978,0.0803266264542952,0.007767579319627208,251.60957670211792
dinov2_b,1,0.0,30,0.003838518686585107,0.0006713076452602066,0.004942894744004235,0.003167211041324901,0.2582991535758004,0.08808224615789836,0.0105647082597769,248.68506002426147
dinov2_b,1,0.25,30,0.0008712815407872082,0.0004911163067777849,0.004769694010646553,0.0003801652340094233,0.03314474258033883,0.08512623702096697,0.00979122507347209,256.78747749328613
dinov2_b,1,0.5,30,-0.003689775975261864,0.0003707316839380192,0.004572616129823777,-0.004060507659199883,-0.3716923161516035,0.08199467093006198,0.009183134640144487,202.6730000972748
dinov2_b,1,0.75,30,-0.008013137644731619,0.00023795808715245396,0.004576738866853045,-0.008251095731884072,-0.8049108015421498,0.08190657613217278,0.008532749504403534,214.0650200843811
dinov2_b,1,1.0,30,-0.009423707388088731,0.0001893435322765924,0.004805206953415525,-0.009613050920365324,-1.0391094423697258,0.08345694895832091,0.007312272226534454,207.2435986995697
dinov2_b,2,0.0,30,0.006559622586287103,0.0018007305145088554,0.005123529997665639,0.004758892071778248,0.3939958411162319,0.09099704008719607,0.010083321554952042,216.0036818981171
dinov2_b,2,0.25,30,0.0052565241645951685,0.001866718950827162,0.004968282150215221,0.0033898052137680073,0.2958520994292732,0.08959462132242317,0.009629081769620457,209.84758400917053
dinov2_b,2,0.5,30,-8.17353348677996e-05,0.0016968816515233144,0.0045594754115696546,-0.001778616986391114,-0.15923082919716985,0.0851183690701256,0.009497964388803806,214.02500796318054
dinov2_b,2,0.75,30,-0.009206137685074405,0.0015280436515805753,0.00415263017712974,-0.010734181336654979,-0.9930781278673092,0.0809682554900535,0.009100676820248234,216.23989987373352
dinov2_b,2,1.0,30,-0.012152387671566137,0.001530426541366496,0.003987210389686282,-0.013682814212932631,-1.3315834755997888,0.08068005400357432,0.008341941902357207,189.29036688804626
dinov2_b,3,0.0,30,0.0048236892937654355,0.0006834283624945426,0.00547603116507841,0.004140260931270892,0.34320637470723897,0.08913882347410525,0.010344030858097902,223.65687894821167
