model,seed,s,K,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
i21k_l,0,0.0,30,-0.016012800994361268,-0.0010429054617549463,0.0033695352475368785,-0.01496989553260632,-1.4385737610811105,0.07217400942163274,0.005898474209900541,276.6884591579437
i21k_l,0,0.25,30,-0.0215035649084922,-0.0016494885236487734,0.0035724103004907935,-0.019854076384843426,-1.8547644744989407,0.0718655253621028,0.0044684759861607255,255.99929308891296
i21k_l,0,0.5,30,-0.031161011825963897,-0.001959379792368596,0.0039006969465759135,-0.029201632033595302,-2.9137016269476406,0.07366684826879039,0.00705180935492152,282.6051712036133
i21k_l,0,0.75,30,-0.03239110809658975,-0.0013318221141063401,0.004424435827142776,-0.031059285982483413,-2.810938810209704,0.08122709701697164,0.00797783345897023,269.901896238327
i21k_l,0,1.0,30,-0.033721636791485377,-0.0012483862737089888,0.00404089457794288,-0.032473250517776386,-3.0917326976966804,0.08462926144672843,0.0071868607667255145,285.8990054130554
i21k_l,1,0.0,30,-0.017127902986422472,0.00011234540620649186,0.003535290632161235,-0.017240248392628964,-1.8153114029852748,0.07231625856919197,0.0050593419507068485,262.0606949329376
i21k_l,1,0.25,30,-0.022905854522766333,8.990265110726536e-05,0.003913802320055625,-0.022995757173873598,-2.2772814218506503,0.07054564555113815,0.00448774587958334,240.0727105140686
i21k_l,1,0.5,30,-0.027791326365083274,-0.0008467048444458711,0.0029823538831594263,-0.026944621520637403,-2.1742830363702073,0.0769957417963184,0.0051408555035305425,244.20251941680908
i21k_l,1,0.75,30,-0.028784486039437826,-0.00030943561525018093,0.0023199399324154344,-0.028475050424187645,-2.835454613627162,0.08476597794041883,0.005702043531026259,218.7851972579956
i21k_l,1,1.0,30,-0.0304397858095371,0.0003079428402822049,0.0036247128226123237,-0.030747728649819304,-3.450008337131436,0.08697242580835027,0.005122644337537572,214.51094889640808
i21k_l,2,0.0,30,-0.015467262579079072,0.000308301572398402,0.003121532335452967,-0.015775564151477475,-1.7078297028276839,0.07133093739681189,0.005783729597614862,241.15392422676086
i21k_l,2,0.25,30,-0.024918634405920584,0.00022009324331877939,0.003149307677259645,-0.025138727649239363,-2.5827109565852946,0.0669723920264513,0.0049294842119083785,246.77248215675354
i21k_l,2,0.5,30,-0.03037629197394258,-8.807394446949112e-05,0.002404974251240376,-0.03028821802947309,-2.659240472427625,0.07312769831026218,0.0047445321299654135,232.5434753894806
i21k_l,2,0.75,30,-0.03239373853647867,0.00014685247903530458,0.002415118507863376,-0.03254059101551398,-3.1446670414667994,0.08117985866554545,0.00550436882357844,247.67537665367126
i21k_l,2,1.0,30,-0.03266066678290966,0.0009328512229052441,0.002803432969954138,-0.0335935180058149,-3.486255531361884,0.08519036710179742,0.005495587875259811,245.18471384048462
i21k_l,3,0.0,30,-0.015442854716486168,0.0011073174562851369,0.0022657564664313725,-0.016550172172771306,-1.766571070326014,0.07152432957887879,0.00651551497488031,249.57939434051514
i21k_l,3,0.25,30,-0.022782380881174236,0.000902458845415495,0.0019940040279075176,-0.023684839726589732,-3.1034020975397905,0.06954483279438227,0.004655634624282195,256.44317626953125
i21k_l,3,0.5,30,-0.03314069621644024,0.0006356600632352021,0.002206139728008573,-0.03377635627967544,-3.4236269975289098,0.07088195308620562,0.002769006048517915,257.1040060520172
i21k_l,3,0.75,30,-0.03507360509651862,0.0014856309993627457,0.0020436646496779717,-0.03655923609588137,-3.5449885604997062,0.07823911187780111,0.005350243549059646,233.70878291130066
i21k_l,3,1.0,30,-0.035194534489744425,0.0005631965094603564,0.002280172794657695,-0.03575773099920478,-3.561560786902291,0.08145238695546778,0.00567247295021473,205.4449269771576
i21k_l,4,0.0,30,-0.013478897470503057,0.00030671014704699575,0.002454927930196354,-0.013785607617550053,-1.442750124219297,0.07358467193079547,0.005434479090753312,226.05809235572815
i21k_l,4,0.25,30,-0.01973456182941434,0.0007962793117885433,0.002506489815176947,-0.020530841141202884,-1.9345112727003897,0.07255737308935967,0.005281582102588016,241.94783473014832
i21k_l,4,0.5,30,-0.027924612523269915,0.0010570397544211198,0.0019441691019112834,-0.028981652277691033,-2.7167224273116117,0.0740006300436049,0.0050089713578780285,225.03402137756348
i21k_l,4,0.75,30,-0.03340027260026249,7.849339270200872e-05,0.002741057920127466,-0.033478765992964496,-3.3880992077367296,0.08064875012530416,0.004160313931845002,218.83873796463013
i21k_l,4,1.0,30,-0.034673971480790294,0.00040534913557805643,0.0037684676261370044,-0.03507932061636835,-3.7194810202524753,0.08377926203279942,0.004009361739242881,221.88890647888184
dinov1_b,0,0.0,30,0.014745477883415098,0.000876533889374255,0.00299807352286083,0.013868943994040843,2.02551086727897,0.1056914390429589,0.005863653696033755,170.7504198551178
dinov1_b,0,0.25,30,0.009828271431598187,0.0008433175298053902,0.003666773354157647,0.008984953901792797,1.299923537870783,0.10117465676631676,0.00543888212434482,190.41960549354553
dinov1_b,0,0.5,30,0.0007589957189594737,0.0008779973715033737,0.003837231738312102,-0.00011900165254389997,-0.01615585443469294,0.09654131174738811,0.004971306429998184,174.70201349258423
dinov1_b,0,0.75,30,-0.012435811168972119,0.001136878402358131,0.003392781677909529,-0.01357268957133025,-1.765457474095683,0.09306749366543064,0.005337447558817011,161.1329174041748
dinov1_b,0,1.0,30,-0.01914898998078854,0.0014331303429237316,0.0030028821248246243,-0.02058212032371227,-2.403599431511734,0.09220750560836072,0.006169015782970453,172.07549905776978
dinov1_b,1,0.0,30,0.013064966245934215,0.0005575599874629661,0.003342357178243804,0.012507406258471248,1.8283588849040806,0.10580805033485105,0.005498070568133381,199.52786707878113
dinov1_b,1,0.25,30,0.00520152618624127,0.0005250092374739391,0.0031515020234091236,0.0046765169487673315,0.706702098843555,0.09900898380963967,0.005346523598840204,177.53148984909058
dinov1_b,1,0.5,30,-0.0030134737507076376,0.0005007508998649324,0.0030000023612076405,-0.00351422465057257,-0.48882898509497535,0.09312218344452504,0.005145348848954645,172.32540702819824
dinov1_b,1,0.75,30,-0.014530872820942398,0.0006044699054260055,0.002928961049012743,-0.015135342726368402,-1.8480646481210286,0.09105112144685504,0.004359910204565144,203.70666933059692
dinov1_b,1,1.0,30,-0.018762168540511145,0.00045521672598166225,0.002908265124631695,-0.019217385266492807,-2.2461331273579894,0.09203481898011853,0.004084983788985875,191.1448142528534
dinov1_b,2,0.0,30,0.014209132153756868,-0.00014820681812162257,0.004043730823504466,0.01435733897187849,1.842797934769453,0.10679255062570103,0.006381202772388741,179.91432285308838
dinov1_b,2,0.25,30,0.007460733942562345,9.26899612390647e-05,0.004094365585290703,0.00736804398132328,0.8382100650448882,0.10051664406072694,0.007358653003614329,180.58275938034058
dinov1_b,2,0.5,30,0.001948638066280789,0.0004272472361877139,0.003898268980909095,0.001521390830093075,0.19146871967272533,0.09816814629480058,0.005682298278499331,189.2123658657074
dinov1_b,2,0.75,30,-0.008402861692620181,0.0005633325011072984,0.0036975044443745184,-0.008966194193727479,-0.9938962019715818,0.09745441782329514,0.005389627810895919,172.12342500686646
