model,seed,s,K,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
i21k_t,0,0.0,30,-0.022139813539965303,9.969679292077815e-05,0.0029773576484199626,-0.02223951033288608,-1.9332082068556031,0.09962649565093033,0.004786203773482628,144.73711919784546
i21k_t,0,0.25,30,-0.029437849684522663,8.065126307038733e-05,0.0034126812727546104,-0.02951850094759305,-2.5614843633696824,0.09522060154446314,0.005220065653452339,166.68230986595154
i21k_t,0,0.5,30,-0.03084068585632864,-0.0009018667640521103,0.004632063217816401,-0.02993881909227653,-2.5503245174042832,0.0995052858255049,0.005476440782980961,159.22938346862793
i21k_t,0,0.75,30,-0.031608833212764975,4.1671357208220015e-05,0.004498056172338694,-0.0316505045699732,-3.1122779307351025,0.10389653615903124,0.0049449143815492045,171.92276167869568
i21k_t,0,1.0,30,-0.031137234464228475,6.643397027499137e-05,0.004211939556170784,-0.031203668434503465,-3.240694507332718,0.10562908360859169,0.004051427514198115,176.04084420204163
i21k_t,1,0.0,30,-0.020952821642966288,-0.0025468178201560805,0.004442109819536487,-0.018406003822810206,-1.6670060496976682,0.10010217407305919,0.004134964633026537,159.98100876808167
i21k_t,1,0.25,30,-0.029590498311397095,-0.002827528382792548,0.003474889953169956,-0.02676296992860455,-2.3651081728116674,0.09633522361926955,0.005882908586212545,162.49597597122192
i21k_t,1,0.5,30,-0.03329097011458565,-0.004599514323936546,0.004218742395921403,-0.028691455790649103,-2.8141470568643476,0.09731435402838906,0.004181304684426735,177.49393367767334
i21k_t,1,0.75,30,-0.035238993381609185,-0.003549064727180619,0.004125173579751435,-0.031689928654428566,-3.321206898301281,0.10181727170974406,0.004975156643214879,167.2446482181549
i21k_t,1,1.0,30,-0.034187767300485866,-0.0017620598080451092,0.004111636804253516,-0.03242570749244076,-3.7186774879458793,0.10596624786577516,0.0043358957114760085,169.01325607299805
i21k_t,2,0.0,30,-0.01835346206867665,0.0009408081674806765,0.004502551360279148,-0.019294270236157325,-2.0194498901597298,0.10057644350507804,0.0036812281852264804,162.35274696350098
i21k_t,2,0.25,30,-0.023410499832721948,0.0018509854053545133,0.005057267195531178,-0.02526148523807646,-2.373091753748788,0.09550158686502208,0.0030185103335608797,146.4453616142273
i21k_t,2,0.5,30,-0.02581459538803145,0.0013328395995767905,0.004731684409665659,-0.02714743498760824,-1.991705711413933,0.09954392317914258,0.007375432459605886,150.33214116096497
i21k_t,2,0.75,30,-0.025933447580784544,0.00024472459933158467,0.0042588360597632215,-0.02617817218011613,-2.2856854503470214,0.10561782076779495,0.006424196963006982,143.92385983467102
i21k_t,2,1.0,30,-0.026925062230237634,-0.0001199072232003509,0.003424569611320743,-0.026805155007037285,-2.4837955499210045,0.10803239842233717,0.007160872092360048,143.3153030872345
i21k_t,3,0.0,30,-0.018563243223051765,0.0005252797688190827,0.004934724949999118,-0.019088522991870846,-1.5587006857464716,0.1021126904778201,0.005381268852468243,145.62193417549133
i21k_t,3,0.25,30,-0.024832160072239443,0.0010412584270734423,0.0035793879686780374,-0.025873418499312885,-2.1923788387078464,0.09839698494494467,0.0059859972367111314,148.68274998664856
i21k_t,3,0.5,30,-0.02740859716285049,0.001453961741156967,0.002231431161135526,-0.028862558904007456,-3.051665870197471,0.1007590906006871,0.0052289631036247465,145.18812012672424
i21k_t,3,0.75,30,-0.029271681834897603,-0.0005826557907547422,0.004035017904390986,-0.028689026044142862,-2.8143656888259803,0.10609446351766168,0.005125267881784301,152.03073930740356
i21k_t,3,1.0,30,-0.030678388509806698,-0.00024083321950421066,0.004393289674420625,-0.03043755529030249,-2.5996958627080313,0.10996419587275352,0.006912488861221259,147.1860933303833
i21k_t,4,0.0,30,-0.016591814563616275,0.0012657212917678447,0.00595507882749496,-0.01785753585538412,-1.510201602356582,0.10133612034995007,0.006229394678260333,143.50900673866272
i21k_t,4,0.25,30,-0.019586777584827395,-2.558978918583282e-05,0.004723550290603179,-0.01956118779564156,-1.8147624017747785,0.1007628854546762,0.0048313377187182574,138.5595109462738
i21k_t,4,0.5,30,-0.024756224077296718,-0.0013493510897243724,0.004972682916500505,-0.023406872987572346,-2.094088498238309,0.10052955941270555,0.003601689847734043,130.56017351150513
i21k_t,4,0.75,30,-0.028709916809616043,-0.0017539051038055712,0.003397757543684697,-0.02695601170581047,-2.446504989253931,0.10295568281363301,0.0023664968686643605,139.8559820652008
i21k_t,4,1.0,30,-0.03053535711897261,-0.00045264936941769306,0.003333474286504327,-0.030082707749554915,-2.3656318020982785,0.10409972667964311,0.003947430583705274,150.49373960494995
i21k_s,0,0.0,30,-0.012626148005411161,0.002864954081503336,0.004683357117556557,-0.015491102086914498,-1.4277603927740747,0.08460687520554153,0.007465911139285872,171.84121966362
i21k_s,0,0.25,30,-0.023017754173061566,0.001878917460331983,0.0038310125745719716,-0.024896671633393548,-2.4934251779716363,0.07633222348393748,0.005945843839144294,165.78205609321594
i21k_s,0,0.5,30,-0.030186847632324765,0.0005216842795736267,0.0024465154463883558,-0.03070853191189839,-3.2310083963023017,0.07463879842738627,0.005658279358358531,161.10342741012573
i21k_s,0,0.75,30,-0.03524829347877147,0.0010939486946162965,0.0028372221390017167,-0.036342242173387766,-3.5244540099154342,0.07561769017645972,0.004544137739131141,165.30456948280334
i21k_s,0,1.0,30,-0.035994937866771534,0.0011766224890282714,0.003407896454407437,-0.037171560355799806,-3.4478702163138166,0.0773184872189738,0.00398674700050452,161.78229665756226
i21k_s,1,0.0,30,-0.012869401611571796,0.0030040002848642456,0.003256212383319429,-0.015873401896436042,-1.2475742734315052,0.08396395189346523,0.01077031944763774,161.94777178764343
i21k_s,1,0.25,30,-0.0203494885784255,0.0025324817044050318,0.0032896068875608643,-0.02288197028283053,-1.934860948917563,0.07830519383367629,0.009815651520982495,92.7882297039032
