model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,0,-0.05045777400984658,-0.005162206028520938,0.0015971627003145345,-0.04529556798132564,-5.562088497804642,244.11975741386414
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,1,-0.048106679182432936,-0.005670106253396373,0.0022163780591507093,-0.04243657292903657,-5.0275717799816535,255.53767204284668
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,2,-0.048079006651476165,-0.00577617184300293,0.0028854779823103533,-0.04230283480847323,-4.690953575946235,233.48312830924988
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,3,-0.04839096342186069,-0.006066356391139527,0.0022393390749808283,-0.04232460703072117,-5.478982775674026,250.506089925766
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,4,-0.04812478915678417,-0.0052736420436102285,0.002418771030857565,-0.042851147113173935,-6.275727899303246,235.2828071117401
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,5,-0.04974051810552296,-0.005011090570826192,0.0027800621631324266,-0.04472942753469677,-4.702481055743564,237.1256256103516
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,6,-0.054630451392665584,-0.006185566091534161,0.001826222957039935,-0.04844488530113143,-4.878698896104383,212.66006350517276
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,7,-0.05070927322920718,-0.005413869891592163,0.001773508343626204,-0.04529540333761502,-4.446724947313185,221.73256850242612
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,8,-0.05144725587710778,-0.006622651123806981,0.002226889938745028,-0.044824604753300815,-5.18275918245048,245.36267614364624
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,9,-0.04986570189788553,-0.005664000166939333,0.0023596113658165218,-0.0442017017309462,-5.627571412527656,223.10662126541138
clip_b,contrastive,0,1.3295857906341553,512,30,intact,-1,-0.02102819611574896,-0.005966047920391205,0.0029940450227008623,-0.015062148195357759,-1.414746253070143,204.02038669586184
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,0,-0.01940189177583516,-0.001656270862201284,0.003243119751690506,-0.01774562091363388,-2.3724482450145192,341.559641122818
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,1,-0.01854465231782693,-0.002453520592669902,0.0031035230065957924,-0.016091131725157026,-2.510534568541233,367.1851396560669
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,2,-0.018818130340390087,-0.001748737292211091,0.0036508043141496365,-0.017069393048178994,-2.6893719234673843,320.38244318962103
