model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
clip_b,contrastive,0,1.3295857906341553,512,30,intact,-1,-0.021028196115748965,-0.005966047920391205,0.002994045022700862,-0.01506214819535776,-1.4147462530701427,204.02038669586182
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,0,-0.05045777400984658,-0.005162206028520938,0.0015971627003145345,-0.04529556798132564,-5.562088497804641,244.11975741386414
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,1,-0.04810667918243294,-0.005670106253396373,0.0022163780591507097,-0.04243657292903657,-5.027571779981653,255.53767204284668
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,2,-0.04807900665147616,-0.00577617184300293,0.002885477982310353,-0.04230283480847323,-4.690953575946235,233.48312830924988
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,3,-0.048390963421860694,-0.006066356391139527,0.0022393390749808283,-0.04232460703072117,-5.478982775674026,250.506089925766
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,4,-0.04812478915678417,-0.0052736420436102285,0.0024187710308575653,-0.04285114711317394,-6.275727899303245,235.2828071117401
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,5,-0.04974051810552296,-0.005011090570826192,0.0027800621631324266,-0.04472942753469677,-4.702481055743564,237.12562561035156
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,6,-0.05463045139266559,-0.006185566091534161,0.001826222957039935,-0.04844488530113143,-4.878698896104383,212.66006350517273
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,7,-0.05070927322920718,-0.005413869891592163,0.0017735083436262041,-0.04529540333761502,-4.446724947313185,221.73256850242615
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,8,-0.051447255877107786,-0.0066226511238069805,0.0022268899387450276,-0.04482460475330081,-5.18275918245048,245.36267614364624
clip_b,contrastive,0,1.3295857906341553,512,30,decoupled,9,-0.04986570189788553,-0.005664000166939333,0.002359611365816522,-0.044201701730946195,-5.627571412527656,223.10662126541138
clip_b,contrastive,1,1.3295857906341553,512,30,intact,-1,-0.026593517521293797,-0.004565916240188228,0.0024935797328937137,-0.02202760128110557,-1.751844427463654,217.6803684234619
clip_b,contrastive,1,1.3295857906341553,512,30,decoupled,0,-0.05223924343181653,-0.004737582173639725,0.002518985198801239,-0.04750166125817681,-4.997475615054933,233.45178270339966
