model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_b,DINO,12,3.70822024345398,768,30,intact,-1,-0.012149924690370073,-0.0012776025888225685,0.0014281767056109043,-0.010872322101547505,-2.01326539701932,359.7204701900482
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,0,-0.01707169545247328,-0.001375555725474413,0.0026448109450672086,-0.015696139726998865,-2.5290372831757453,495.89488554000854
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,1,-0.01636002427773181,-0.002033667543185162,0.002522955722028385,-0.014326356734546648,-1.9668430117773055,453.04484272003174
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,2,-0.015342635269309388,-0.0021750002806885994,0.0035275642336922465,-0.013167634988620789,-2.158910941421037,498.300208568573
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,3,-0.016363863290537017,-0.0023467336671226095,0.0025481886702157317,-0.014017129623414408,-2.2303507994675797,483.5486550331116
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,4,-0.015380794674227885,-0.0016855773354482336,0.003340854124384144,-0.013695217338779651,-2.074183745844818,520.6071848869324
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,5,-0.015027167972917976,-0.001750656710008279,0.0026709121650736636,-0.013276511262909697,-1.7732103267186836,1631.4278893470764
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,6,-0.01545614279362445,-0.001056266186156736,0.0022135184212589785,-0.014399876607467714,-2.3766370269776047,2333.68128490448
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,7,-0.01580247392434707,-0.0015719047179314882,0.0023765365588369067,-0.014230569206415581,-2.5194735590229573,2105.139981985092
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,8,-0.01730948359547642,-0.0009306495890298624,0.002769580901128766,-0.016378834006446557,-2.7368302270801808,2087.1855931282043
dinov2_b,DINO,12,3.70822024345398,768,30,decoupled,9,-0.01578582890716504,-0.0002753023154116907,0.0029013439484926137,-0.015510526591753348,-2.6302749382934514,1889.169928073883
dinov2_b,DINO,13,3.70822024345398,768,30,intact,-1,-0.011440571537180172,-0.0011634230688563354,0.003107802067105991,-0.010277148468323836,-1.9428512436384315,1612.4209847450256
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,0,-0.015664160265916716,-0.001570868095965186,0.0030248431642356296,-0.014093292169951529,-2.148918323393764,1504.453827381134
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,1,-0.017667585787484244,-0.0018254159958363005,0.002135411144466387,-0.015842169791647945,-2.765313558973102,1385.9253549575806
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,2,-0.013848846019754502,-0.0021920389371910655,0.0032992900597202373,-0.011656807082563437,-1.7641644412707245,1038.7346625328064
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,3,-0.020083358145289693,-0.0027364920140684314,0.002809289846567448,-0.017346866131221262,-3.185831696550202,782.3977925777435
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,4,-0.015442968713205468,-0.0031761032951823655,0.001447902290811077,-0.012266865418023102,-2.273313753907462,561.0975036621094
dinov2_b,DINO,13,3.70822024345398,768,30,decoupled,5,-0.01643889452429588,-0.0027530064086158518,0.0030054911351582894,-0.013685888115680028,-2.0820804141506786,486.35085010528564
