model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_g,DINO,5,3.9236681461334233,1536,30,intact,-1,-0.0199102140938213,-0.0020314929840971408,0.0035538453389426495,-0.01787872110972416,-3.234394903381854,592.6630401611328
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,0,-0.024985320050358382,-0.0033955926560478014,0.002735254775251306,-0.02158972739431058,-3.4118198856308237,751.4888653755188
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,1,-0.023395348558220078,-0.002899075497422432,0.0019406490963893993,-0.020496273060797647,-2.881913901628191,762.3046803474426
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,2,-0.022174327421170086,-0.0038165713234584705,0.003863484970770291,-0.018357756097711616,-2.8693367145105984,807.6486709117889
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,3,-0.022947176530723257,-0.003862781831719409,0.0028030883235692504,-0.01908439469900385,-3.2136953947041684,3344.48414850235
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,4,-0.024340086901074094,-0.0022412893559376986,0.0027767542477602,-0.022098797545136394,-3.8981973244273695,3437.2804520130157
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,5,-0.024609892598366094,-0.0028794171640153824,0.002489326460212628,-0.02173047543435071,-3.6580774735021273,3163.068127155304
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,6,-0.02402527657789945,-0.0036337745885435765,0.0022453612355875425,-0.02039150198935587,-3.363648977229755,2556.638501882553
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,7,-0.0244819967990247,-0.002330388946898249,0.00295444608960013,-0.02215160785212645,-2.7957964630195895,2285.111516237259
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,8,-0.024769020778749477,-0.0028761068600921024,0.0038905972183733727,-0.021892913918657376,-3.0488387188179473,1299.5333786010742
dinov2_g,DINO,5,3.9236681461334233,1536,30,decoupled,9,-0.023179448791366214,-0.0021509445617098853,0.0017695482671607938,-0.02102850422965633,-3.6568961225040257,946.4553828239441
dinov2_g,DINO,6,3.9236681461334233,1536,30,intact,-1,-0.017445572796493176,-0.0016753441722180782,0.0021521728325167673,-0.015770228624275098,-3.3938386520579025,774.7585308551788
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,0,-0.02316027906985902,-0.002560600492176203,0.004643853548709012,-0.020599678577682818,-3.2032673117300376,919.7213923931122
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,1,-0.025848245419908454,-0.0024561579846551613,0.0020681300870624138,-0.023392087435253294,-4.382948040974472,818.7396626472473
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,2,-0.023508214574117156,-0.001398790991862342,0.0034154565676004153,-0.022109423582254813,-4.49586372107377,1102.442066192627
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,3,-0.02542786885945994,-0.0034472423319541054,0.0023900136488089565,-0.021980626527505834,-5.186371790922411,862.5982341766357
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,4,-0.022521577947339888,-0.0020909835217435826,0.0034649663902485955,-0.020430594425596305,-3.1050511317466234,796.9413878917694
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,5,-0.02265133407460347,-0.0006424158967676168,0.0028292645677735094,-0.022008918177835856,-3.710197061584518,971.450168132782
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,6,-0.025179530528880556,-0.0028703687004999062,0.00338034016409012,-0.02230916182838065,-3.84223729005671,692.0492420196533
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,7,-0.024772168652635394,-0.002483253111368203,0.0030418965441273127,-0.02228891554126719,-4.056762955080688,631.7227053642273
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,8,-0.023625957040831494,-0.002708486019444476,0.004096698797649189,-0.020917471021387017,-3.6930116472852204,664.7875413894653
dinov2_g,DINO,6,3.9236681461334233,1536,30,decoupled,9,-0.024429588563095586,-0.002636243512161836,0.002387865177572553,-0.02179334505093375,-4.142027520648559,610.4758803844452
dinov2_g,DINO,7,3.9236681461334233,1536,30,intact,-1,-0.017166405552108875,-0.0019172899913781406,0.0028605953099098604,-0.015249115560730735,-3.0176879456663097,441.1241273880005
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,0,-0.020891596166899187,-0.003343528288661351,0.002405426930187696,-0.017548067878237837,-3.0905462935151675,635.01194190979
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,1,-0.021271014782795833,-0.003547167662073647,0.002324187058369017,-0.017723847120722187,-3.894209391717934,632.4914820194244
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,2,-0.023223815251926648,-0.0030640489851515747,0.003358191201740936,-0.020159766266775073,-3.30077239645671,644.2361347675323
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,3,-0.020811800547907933,-0.003152340959470136,0.00268587906644452,-0.017659459588437797,-2.86830786092502,577.0651636123657
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,4,-0.02145070328830327,-0.0022016200374084236,0.003377457759750766,-0.019249083250894847,-3.3571227365443375,582.3903772830963
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,5,-0.02234852347912289,-0.002490614521772463,0.0026543430087875588,-0.019857908957350425,-3.2321669091485186,488.86821818351746
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,6,-0.021898881904891122,-0.0028819752302584488,0.0024438997103899615,-0.019016906674632673,-3.550403574569553,512.2052707672119
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,7,-0.021789943641596615,-0.0021475987737368763,0.003409805053712398,-0.019642344867859738,-3.438856750228879,466.1499035358429
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,8,-0.022096568542296934,-0.0018160152557381785,0.002641156235778695,-0.020280553286558756,-4.070801801389894,481.3173670768738
dinov2_g,DINO,7,3.9236681461334233,1536,30,decoupled,9,-0.02289515778221883,-0.0021945434989795744,0.002711081356456792,-0.020700614283239258,-3.40024786022692,442.80955624580383
dinov2_g,DINO,8,3.9236681461334233,1536,30,intact,-1,-0.01865370831806385,-0.0022682667665760033,0.0036672735371157234,-0.01638544155148785,-2.2376855034975325,374.6945173740387
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,0,-0.023695520729861044,-0.0034253510919422586,0.0024809803671913284,-0.020270169637918785,-3.9107272305129883,439.8739368915558
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,1,-0.024227388436730765,-0.0033813170248145987,0.0029613454068887924,-0.020846071411916165,-3.78615264143918,523.113410949707
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,2,-0.025114191281909698,-0.002578723072832723,0.0023693784694116364,-0.022535468209076974,-3.9362984532416276,485.44736409187317
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,3,-0.024444232057267735,-0.0030573979224622566,0.0031688851807123992,-0.02138683413480548,-3.6726347462483617,459.1280291080475
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,4,-0.023512138129390903,-0.002835972585335131,0.0040529413057526255,-0.020676165544055772,-3.01169385000415,503.6656835079193
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,5,-0.023365895360606043,-0.0029809230358520873,0.0028833623900771,-0.020384972324753954,-2.781426446678372,458.4544897079468
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,6,-0.02277475474305507,-0.003116747742346678,0.002155987584900208,-0.019658007000708393,-3.4157833550023176,426.32001519203186
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,7,-0.02145995967302884,-0.0026075003519169574,0.004212599055866015,-0.018852459321111886,-2.835709245916349,445.51274037361145
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,8,-0.02281388250645939,-0.003075778596011066,0.003114336802354233,-0.019738103910448324,-3.674775525326804,439.8574306964874
dinov2_g,DINO,8,3.9236681461334233,1536,30,decoupled,9,-0.023035010736170078,-0.001291985060111424,0.0025407748699446224,-0.021743025676058653,-3.8295919670206326,409.95404291152954
dinov2_g,DINO,9,3.9236681461334233,1536,30,intact,-1,-0.01677973516173325,-0.003022344961924074,0.003069864563319377,-0.013757390199809174,-2.8164339637482647,371.18197083473206
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,0,-0.020473549467466275,-0.0019373802158356337,0.002339854669516763,-0.01853616925163064,-3.8013171762907643,452.44883036613464
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,1,-0.022331521225358204,-0.0025542204430849384,0.0027682732559344446,-0.019777300782273265,-3.158072703494777,422.067764043808
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,2,-0.022092561897435664,-0.0023073436504598053,0.003299786299786067,-0.01978521824697586,-3.379151294489167,369.3748345375061
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,3,-0.023813645788207688,-0.0032224636247278823,0.002016568606404847,-0.020591182163479806,-4.194168811045526,374.32438802719116
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,4,-0.022436754876402773,-0.0025785532205286933,0.0027756785324271577,-0.01985820165587408,-4.14162988251857,347.94563913345337
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,5,-0.02403072720762861,-0.0025502593589247385,0.003726335957252651,-0.02148046784870387,-3.3873233510075242,320.8696925640106
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,6,-0.022609068541305857,-0.0019867368310086423,0.0038787712535734535,-0.020622331710297214,-3.308619396964854,298.1293878555298
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,7,-0.022571807729783844,-0.004033747710746215,0.002340793665916319,-0.018538060019037628,-3.414635210912225,323.4670741558075
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,8,-0.023218355969797377,-0.0025427188564559377,0.002846225371433007,-0.02067563711334144,-4.220873424626337,316.48429012298584
dinov2_g,DINO,9,3.9236681461334233,1536,30,decoupled,9,-0.02249251333611016,-0.002922078518364478,0.0037513068617737425,-0.01957043481774568,-3.2705120259669838,269.0530366897583
dinov2_g,DINO,10,3.9236681461334233,1536,30,intact,-1,-0.019199202366881288,-0.0013847785887893844,0.0021351337462018165,-0.017814423778091903,-3.7597623398553357,237.5881586074829
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,0,-0.023482791745909018,-0.0022649509967229966,0.0028379133644121763,-0.02121784074918602,-3.2794765939009167,317.71735191345215
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,1,-0.022828027263424214,-0.0037410611078000458,0.0020994828214836187,-0.019086966155624167,-3.4150013175585308,254.7807116508484
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,2,-0.02395032963352252,-0.002040329946763216,0.002569094218495298,-0.0219099996867593,-3.509601642272087,212.9442629814148
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,3,-0.022490419439664566,-0.002949080846389081,0.0019975520505337214,-0.019541338593275486,-3.2491663234619104,203.3195562362671
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,4,-0.023133384562698263,-0.0028536644973252085,0.0032280363702344625,-0.020279720065373055,-3.677742645111736,205.04361009597778
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,5,-0.020488932994478057,-0.001697686877307629,0.0026037928097628234,-0.018791246117170427,-3.119294010394478,220.5322780609131
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,6,-0.022462065538398197,-0.003085986006291344,0.004754302364122209,-0.019376079532106853,-2.7668853358808545,169.3232753276825
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,7,-0.023361714199364766,-0.0018682942214035402,0.0030849786924106244,-0.021493419977961226,-4.168391851293721,209.27841114997864
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,8,-0.02045047524020327,-0.0021697295364753893,0.0027184300448731377,-0.01828074570372788,-3.092238877325779,236.59198212623596
dinov2_g,DINO,10,3.9236681461334233,1536,30,decoupled,9,-0.02240025221225013,-0.0026170821380114063,0.004277437202574058,-0.019783170074238722,-2.762222417498133,169.81128668785095
dinov2_g,DINO,11,3.9236681461334233,1536,30,intact,-1,-0.01841246946962785,-0.0022703248214205767,0.0017996299673363563,-0.016142144648207273,-3.2046988216823253,114.27212953567505
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,0,-0.026059484398499047,-0.003163654913160719,0.003638982585679426,-0.022895829485338328,-3.7496948488243786,151.8400685787201
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,1,-0.026317513022697345,-0.002404309611859693,0.0024723654476832948,-0.023913203410837653,-3.711124999630447,144.84384989738464
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,2,-0.02442779672527392,-0.0021370638523052253,0.003225279816269313,-0.022290732872968694,-3.9695784422624762,135.09212970733643
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,3,-0.02548722584988397,-0.003539863743132398,0.0035208963773532766,-0.021947362106751574,-3.5991589185890778,133.8935387134552
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,4,-0.02407968789215062,-0.0019296267259315172,0.00355293464387644,-0.022150061166219103,-3.604202492006511,139.09805059432983
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,5,-0.023042268059024117,-0.0037232511721451977,0.0040962370290305705,-0.01931901688687892,-2.920011726846766,139.324547290802
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,6,-0.02548040358250943,-0.0019934370622124243,0.0028861245977306223,-0.023486966520297005,-4.146851330994935,126.54894542694092
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,7,-0.024250947273876347,-0.003041723203830864,0.0030861678286076733,-0.021209224070045482,-3.867592748651899,141.68966460227966
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,8,-0.02602252870084626,-0.0021629914275489446,0.0021853039344293156,-0.023859537273297315,-4.849743272246337,131.2993597984314
dinov2_g,DINO,11,3.9236681461334233,1536,30,decoupled,9,-0.024970549341089485,-0.0034386650046363274,0.0032043722509540796,-0.021531884336453158,-3.285914643717221,128.5249421596527
