model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_l,DINO,0,3.877066850662232,1024,30,intact,-1,-0.01495572830302068,-0.0017159748976191991,0.0024346142636627547,-0.01323975340540148,-2.099641562700918,296.6268062591553
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,0,-0.019401891775835164,-0.001656270862201284,0.003243119751690506,-0.01774562091363388,-2.3724482450145192,341.559641122818
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,1,-0.018544652317826926,-0.002453520592669902,0.0031035230065957924,-0.016091131725157023,-2.510534568541233,367.1851396560669
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,2,-0.018818130340390087,-0.001748737292211091,0.0036508043141496365,-0.017069393048178994,-2.6893719234673843,320.382443189621
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,3,-0.020653274643673843,-0.0026458373177603426,0.002685837490181652,-0.0180074373259135,-4.065319254429918,315.3218514919281
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,4,-0.01930118411850209,-0.002076168135770684,0.0029073095801176,-0.017225015982731406,-3.375048533344972,290.52085876464844
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,5,-0.01923253790967877,-0.003833405333013396,0.004138955661190829,-0.015399132576665375,-2.395114731814332,303.95087146759033
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,6,-0.017877511353206137,-0.0023952856028373673,0.002604651154369514,-0.01548222575036877,-2.7193478545763967,300.11166191101074
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,7,-0.0182316765892251,-0.0029103961457388272,0.0024914256931238077,-0.015321280443486275,-2.7259474166798507,321.0866549015045
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,8,-0.018151558944770496,-0.001720412617773969,0.0026587280033505034,-0.016431146326996528,-3.384977317526396,313.85012912750244
dinov2_l,DINO,0,3.877066850662232,1024,30,decoupled,9,-0.016902182094234344,-0.00282179443869583,0.003167182039990534,-0.014080387655538514,-2.6348772289141023,344.5233778953552
dinov2_l,DINO,1,3.877066850662232,1024,30,intact,-1,-0.0174295038944422,-0.001552110733604993,0.0028888432206443638,-0.015877393160837208,-2.927307089690178,149.5709433555603
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,0,-0.020051781659643803,-0.003007021152282567,0.002480229745209839,-0.017044760507361235,-3.4559128056126807,164.4482922554016
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,1,-0.02015848485124852,-0.0030550816338642843,0.0035765097758806174,-0.017103403217384235,-2.6688244385145077,151.53724241256714
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,2,-0.01981863092489558,-0.0020126801326509334,0.0030105145492613753,-0.017805950792244646,-2.7645829624321,141.16919875144958
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,3,-0.017351825622667252,-0.0008161710127375536,0.0038065287507904103,-0.016535654609929697,-2.2827464904930204,147.3361485004425
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,4,-0.017258212175932784,-0.002647456553639098,0.002154644072571676,-0.014610755622293687,-2.599702193485401,149.83114171028137
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,5,-0.021871856284386718,-0.0029044627924972146,0.002056476932733331,-0.018967393491889504,-4.041122789159338,147.45033383369446
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,6,-0.017260614734273524,-0.001891535364077796,0.002798159025903267,-0.015369079370195729,-2.543717345437437,148.52976393699646
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,7,-0.018316324457979788,-0.0022618767904676595,0.002809774414773077,-0.01605444766751213,-2.9642562150041214,148.4760594367981
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,8,-0.020858436043886923,-0.0022267948217755797,0.0038638170129046898,-0.018631641222111344,-3.339089867722059,146.0279884338379
dinov2_l,DINO,1,3.877066850662232,1024,30,decoupled,9,-0.02219443041547823,-0.0022157819647932514,0.0024575905862769575,-0.019978648450684977,-4.376949228447943,147.39679288864136
dinov2_l,DINO,2,3.877066850662232,1024,30,intact,-1,-0.01965966727982324,-0.0019063813451637337,0.0020457296422921292,-0.017753285934659507,-3.269217342801199,128.59562015533447
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,0,-0.020341647942649782,-0.0024348590641184685,0.002034993947817407,-0.017906788878531314,-3.5423778131884225,148.95873522758484
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,1,-0.020680354883248327,-0.002490606942408679,0.0032266301058837305,-0.01818974794083965,-2.758364168315925,147.91290497779846
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,2,-0.019573678149072515,-0.003518312565774689,0.0024854514897939134,-0.016055365583297825,-3.0510558545634496,145.34698796272278
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,3,-0.02020716593366239,-0.0029214179797810735,0.0035545114701304374,-0.017285747953881315,-3.0817008554093146,143.87667059898376
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,4,-0.022138071840987594,-0.0015570014861290115,0.0032369235348883286,-0.020581070354858583,-3.8373326919671267,141.22247767448425
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,5,-0.023070130989987066,-0.0028374442630507415,0.0028303912977530377,-0.020232686726936323,-4.388381732598655,146.05104064941406
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,6,-0.02021799313047916,-0.002118166723772099,0.002188027480887251,-0.01809982640670706,-3.341431313026208,145.8422327041626
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,7,-0.019680583512960273,-0.0015445522332712472,0.002748917302787016,-0.018136031279689026,-3.9037353897846723,146.27523112297058
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,8,-0.021414273869295376,-0.001429465162377501,0.0024605742746611065,-0.019984808706917875,-4.6374928462821545,143.2388768196106
dinov2_l,DINO,2,3.877066850662232,1024,30,decoupled,9,-0.02294240637112746,-0.002781277437430564,0.0030837671476006447,-0.020161128933696898,-3.794452193432201,147.1041615009308
dinov2_l,DINO,3,3.877066850662232,1024,30,intact,-1,-0.014984816826515715,-0.0015392863444048666,0.0041671080745452485,-0.013445530482110848,-2.1002376041808217,128.53645825386047
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,0,-0.01869466756026661,-0.0022856196867305696,0.002382840344282184,-0.016409047873536038,-3.2611604011088704,146.62861824035645
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,1,-0.019359206778391112,-0.0016548854450502345,0.003288576731219806,-0.017704321333340878,-3.1164496165925137,152.1814742088318
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,2,-0.019621744515367807,-0.002616383570965388,0.0017255580363727248,-0.017005360944402418,-3.543379851614857,143.1748185157776
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,3,-0.0175832078857332,-0.0025517443537688483,0.0025846046732270886,-0.01503146353196435,-2.8196209102037026,152.91752123832703
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,4,-0.019471256805440665,-0.0018956814457262417,0.0021730298932914715,-0.017575575359714424,-3.9691315892204737,156.05983209609985
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,5,-0.017818984939825186,-0.0015143900799028374,0.0031650427635672674,-0.016304594859922347,-2.2129712665288404,152.4609673023224
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,6,-0.019089973419270614,-0.00245344307946285,0.003130435590427904,-0.016636530339807765,-2.736922269040991,150.86931538581848
dinov2_l,DINO,3,3.877066850662232,1024,30,decoupled,7,-0.020639300542955555,-0.0017327679347552104,0.003052714513659144,-0.018906532608200344,-2.9015180673860446,147.86053085327148
