model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_l,DINO,12,3.877066850662232,1024,30,intact,-1,-0.01845195820141965,-0.001095960474709752,0.0034714296632205096,-0.0173559977267099,-3.3200029629558885,465.5092725753784
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,0,-0.01865756923234757,-0.0018483796923853713,0.0027409187269459862,-0.0168091895399622,-3.370646098848115,558.3069925308228
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,1,-0.018686761300191354,-0.003445192710198019,0.001805839920115715,-0.015241568589993336,-3.0281387915043627,550.79687666893
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,2,-0.01949996294006868,-0.0023632046633924103,0.0022234185214942952,-0.017136758276676267,-3.552344529632852,564.3647661209106
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,3,-0.01732144121667282,-0.0017480080743625137,0.002397629981878683,-0.015573433142310305,-2.693036169968789,619.549397945404
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,4,-0.018318864261041172,-0.001420680041029352,0.0025644628440509164,-0.01689818422001182,-3.2652896898428154,1904.7322452068329
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,5,-0.01768355228579923,-0.0031311599666672884,0.002709928873785777,-0.01455239231913194,-2.854963981421688,2576.8710560798645
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,6,-0.018200686610870917,-0.001589974500288173,0.0020919324671959815,-0.016610712110582744,-3.5632636808595355,2455.8450813293457
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,7,-0.020076777275752147,-0.003060983714277159,0.002909936141766841,-0.01701579356147499,-3.648717781920111,2293.5977306365967
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,8,-0.015621001314853826,-0.0016682886618623043,0.0026815002879538134,-0.013952712652991521,-2.9381327368311374,2179.085709095001
dinov2_l,DINO,12,3.877066850662232,1024,30,decoupled,9,-0.01941956094849924,-0.00290542428316818,0.001904629064271687,-0.01651413666533106,-3.526544413055473,1918.6050820350647
dinov2_l,DINO,13,3.877066850662232,1024,30,intact,-1,-0.014766875442912109,-0.0015790389744299472,0.004300354943326614,-0.01318783646848216,-1.8727726677313892,1428.6289403438568
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,0,-0.01895634929903467,-0.0029184217506710367,0.0028218975150304825,-0.016037927548363633,-2.6479065014612964,1176.489203453064
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,1,-0.021326865577142314,-0.002064934580441565,0.0032472788591254792,-0.01926193099670075,-3.025443882624896,781.5355589389801
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,2,-0.01699039548841242,-0.0020709201409554135,0.0032416292921458993,-0.014919475347457006,-2.7011190176824447,599.5778872966766
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,3,-0.01959250940206199,-0.0031040877527721026,0.0030621948300868108,-0.016488421649289885,-3.162937270801426,632.7933325767517
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,4,-0.020203139994386256,-0.00226090453438001,0.003742184396917774,-0.017942235460006246,-2.452783068066946,686.3861954212189
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,5,-0.020643350106453892,-0.002937305152282272,0.004854794895938364,-0.01770604495417162,-2.765421078880393,658.2801022529602
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,6,-0.019958676063914584,-0.003180718144998683,0.0033999084809767056,-0.0167779579189159,-2.5379816942117555,636.4761703014374
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,7,-0.019026758392013815,-0.002057588383384505,0.0023331131052622377,-0.01696917000862931,-2.763042029102599,815.4131050109863
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,8,-0.01862125447880618,-0.0032090883972655123,0.00324090880900928,-0.015412166081540666,-2.6928314799360535,660.0316860675812
dinov2_l,DINO,13,3.877066850662232,1024,30,decoupled,9,-0.018900769454331084,-0.0017960706299946934,0.0017323794530263008,-0.017104698824336392,-3.18528902917047,741.5083463191986
dinov2_l,DINO,14,3.877066850662232,1024,30,intact,-1,-0.017430218830773378,-0.0015537641079922406,0.0026630629360752138,-0.01587645472278114,-2.8814940645170406,646.8973507881165
dinov2_l,DINO,14,3.877066850662232,1024,30,decoupled,0,-0.02116240115525541,-0.0024789395937652933,0.0022657122601154197,-0.018683461561490117,-2.9868637400365796,673.9139444828033
dinov2_l,DINO,14,3.877066850662232,1024,30,decoupled,1,-0.02082925473981727,-0.0017881106618244005,0.002563494324789888,-0.01904114407799287,-2.806830316875726,565.2940397262573
dinov2_l,DINO,14,3.877066850662232,1024,30,decoupled,2,-0.019545475563598223,-0.002522019470195798,0.0036401535381285948,-0.017023456093402424,-2.3649438120806314,492.68509101867676
dinov2_l,DINO,14,3.877066850662232,1024,30,decoupled,3,-0.019598592181123684,-0.0034361149493918677,0.002329322498157223,-0.016162477231731816,-2.619686893917699,489.050377368927
