model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_s,DINO,0,3.0024430751800537,384,30,intact,-1,-0.0037664061267042998,-0.0011115024154024974,0.002167508004804799,-0.0026549037113018023,-0.48621941193782686,177.74900078773499
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,0,-0.011228349514810929,0.0001289532646511854,0.0034382781960525257,-0.011357302779462114,-1.8061873344184924,232.10096859931946
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,1,-0.007155713536909136,3.1786302153864744e-05,0.0022587857023890394,-0.007187499839063001,-1.06809462487121,206.22146248817444
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,2,-0.00884141890341264,-0.0013340457118897642,0.002805490231689001,-0.007507373191522876,-1.0514803333399467,239.92439913749695
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,3,-0.011025669894962578,-0.0014149938586009963,0.0027237952218727574,-0.009610676036361582,-1.781465673419372,222.98641061782837
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,4,-0.008323745048866724,-0.0005333498596463676,0.001799521118651322,-0.007790395189220356,-1.0306448934988193,192.68774390220642
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,5,-0.009266054425126916,0.00040209838089079464,0.001634200125990742,-0.00966815280601771,-1.5401283889265973,216.71979355812073
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,6,-0.011402436815153252,-0.0006446175868104045,0.00248095492962409,-0.010757819228342848,-2.1479242561111556,216.15366435050964
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,7,-0.004014286318978932,-0.0008574422871930554,0.0028338590245693823,-0.003156844031785877,-0.4129188898704269,198.92028903961182
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,8,-0.007301915380306542,-0.0005132787406590983,0.0024841402187751873,-0.006788636639647444,-1.1639522432344198,209.62009716033936
dinov2_s,DINO,0,3.0024430751800537,384,30,decoupled,9,-0.008824493194278304,0.00047298902633465255,0.002231592100765589,-0.009297482220612958,-1.3414659590440274,219.9537742137909
dinov2_s,DINO,1,3.0024430751800537,384,30,intact,-1,-0.00646620922767982,-0.000890746688253001,0.0026069218454734897,-0.005575462539426819,-0.7131136940922561,185.9896457195282
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,0,-0.005845647403635024,-0.000442069203983099,0.0022865396745631924,-0.005403578199651924,-0.8191645047088091,219.74819707870483
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,1,-0.00814713534587383,-0.0008292643561242403,0.0022276335140464665,-0.007317870989749589,-1.0081710391641832,220.23947143554688
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,2,-0.005796094952731715,-0.001168771471061736,0.0031547977771062,-0.004627323481669979,-0.7867471837534789,203.4155557155609
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,3,-0.007068127156776391,-0.00047430261688399117,0.002722659789067636,-0.0065938245398924,-1.0358835061332639,243.91272449493408
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,4,-0.009393391953912159,-0.001661551705838303,0.0041100801626621115,-0.007731840248073855,-0.9964377834979102,177.50136995315552
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,5,-0.00706063007034298,-0.0016425512824024533,0.0020681474597724963,-0.005418078787940527,-0.980445240225623,98.68181800842285
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,6,-0.006991218012677533,-0.0015843499130880415,0.0030332442557603092,-0.005406868099589492,-0.7908237037043825,122.88514995574951
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,7,-0.0053288381217992675,-0.0009202245806686534,0.003754425728206927,-0.004408613541130614,-0.6093905261913879,114.39627456665039
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,8,-0.005594972719428867,-0.0014006191781599966,0.00280043154858851,-0.0041943535412688705,-0.5954471153160961,98.27723574638367
dinov2_s,DINO,1,3.0024430751800537,384,30,decoupled,9,-0.006134155674597838,-0.0014108420772351998,0.003182166857217049,-0.004723313597362638,-0.7306937603729574,87.35562229156494
dinov2_s,DINO,2,3.0024430751800537,384,30,intact,-1,-0.011520015636467137,-0.0001925822394230489,0.004095433019508809,-0.011327433397044088,-1.9494312821438318,91.529465675354
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,0,-0.0016216877630928633,5.701509173653141e-05,0.0030056173099836814,-0.0016787028548293948,-0.30368092391261603,91.82502436637878
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,1,-0.0021863697374512325,-0.0019982566969661943,0.002958201098494802,-0.00018811304048503823,-0.021365706306000935,100.44644212722778
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,2,-0.002136862412818477,-0.0016899688091793984,0.002879451176382266,-0.0004468936036390787,-0.06515919473547684,93.65900111198425
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,3,-0.004436336140919553,-0.0013055861746722852,0.002061918639169029,-0.0031307499662472675,-0.5686211202231579,93.30984592437744
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,4,-0.005809693274826722,-0.00041480057690399945,0.002995042873474907,-0.005394892697922722,-0.8360333370611538,100.68525266647339
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,5,-0.0017468569676052093,2.8788870165011304e-05,0.0026893872051073405,-0.0017756458377702206,-0.3069869203190185,94.89161658287048
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,6,-0.004287822480128142,-0.00034798781019417663,0.0032834899676084596,-0.003939834669933966,-0.5513887296565098,87.90484881401062
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,7,-0.003171950485427663,-0.0003225633278504947,0.0028056041119507704,-0.0028493871575771684,-0.429485981872587,94.84435653686523
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,8,-0.0056987194151740805,-0.0023121608874658015,0.002595326951194064,-0.003386558527708279,-0.4682965437431512,98.51643085479736
dinov2_s,DINO,2,3.0024430751800537,384,30,decoupled,9,-0.004777344610399942,-0.00013131981086614286,0.0025454966374059036,-0.004646024799533799,-0.7395067037659595,90.90475153923035
dinov2_s,DINO,3,3.0024430751800537,384,30,intact,-1,-0.0041667297616578974,-0.0005070902687582202,0.002280569738388053,-0.0036596394928996774,-0.5638241704715957,85.55077266693115
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,0,-0.007125510260403686,-0.0003070654588633856,0.001967836729571636,-0.006818444801540301,-1.517153826670443,94.28134727478027
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,1,-0.006420701643798876,-0.001056743193830849,0.002362992312162325,-0.0053639584499680275,-0.5827936327819754,94.51546096801758
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,2,-0.007412536302256481,0.00076163041126521,0.00212115444028793,-0.008174166713521691,-1.2655569942108067,95.75290012359619
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,3,-0.006432134079331672,-0.0017744233950877334,0.001385926198952428,-0.004657710684243939,-0.7460045348757207,87.94239687919617
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,4,-0.0070392167333599015,-0.0011138112395440575,0.0030379412268112657,-0.005925405493815844,-0.7880008458519803,96.59897756576538
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,5,-0.009129339451386442,-0.0016799198588547033,0.001985815421239424,-0.0074494195925317395,-1.187921682863067,98.08886051177979
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,6,-0.009091259018175021,0.0005230957694480745,0.0021860434161540604,-0.009614354787623096,-1.1100550940792773,90.230299949646
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,7,-0.005959571989036391,-0.0011638617072353725,0.0018404466769557704,-0.004795710281801019,-0.6916291236692693,99.9734525680542
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,8,-0.006508689434984366,0.0007013749740314767,0.002224585460355822,-0.007210064409015842,-1.2480151876659704,96.50097584724426
dinov2_s,DINO,3,3.0024430751800537,384,30,decoupled,9,-0.008267726956153493,4.716263700765139e-05,0.003068448133147301,-0.008314889593161144,-1.2919947712495463,87.83997678756714
dinov2_s,DINO,4,3.0024430751800537,384,30,intact,-1,-0.006146070852544427,-0.002447012309193883,0.003069944381098715,-0.0036990585433505445,-0.5367795609148398,95.47685718536377
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,0,-0.007891147068986734,-0.0010809272127898395,0.002394661613893812,-0.006810219856196895,-0.9490968096974386,102.59515070915222
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,1,-0.0034187777709883543,-0.001164476164783519,0.0018524072434578458,-0.0022543016062048352,-0.3779321013596249,91.32220888137817
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,2,-0.005087572614500616,-0.0012092510910563653,0.002173481224722525,-0.0038783215234442503,-0.5869358205690025,99.38512873649597
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,3,-0.007123321437974062,-0.0005919222508260866,0.0026608547474479493,-0.006531399187147975,-1.176568613979436,98.35761761665344
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,4,-0.006445200807988161,-0.00017442031273976754,0.002940169707408285,-0.006270780495248393,-0.9509852541360515,94.50154972076416
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,5,-0.006197990445866483,-0.0003885602079212791,0.0012732197600762015,-0.005809430237945204,-0.9322194518556706,91.69293928146362
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,6,-0.004528682187014577,-3.531514539325542e-05,0.0017982542709396028,-0.004493367041621321,-0.6566218425691371,99.73707437515259
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,7,-0.009803262085162398,-0.001626384254933895,0.002628697454222829,-0.008176877830228503,-1.5249351656180143,98.29388952255249
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,8,-0.0053728797279176815,-0.0009861551348472803,0.002609723389459518,-0.004386724593070402,-0.6640420394398848,97.5385491847992
dinov2_s,DINO,4,3.0024430751800537,384,30,decoupled,9,-0.006450805948271687,-0.0016748535152212695,0.0018886700326180923,-0.0047759524330504175,-0.7701183652906193,95.16800737380981
dinov2_b,DINO,0,3.70822024345398,768,30,intact,-1,-0.013278294701241228,-0.000584818194991274,0.0018561446548834271,-0.012693476506249954,-1.9806462891957408,123.95688700675964
dinov2_b,DINO,0,3.70822024345398,768,30,decoupled,0,-0.017470555199848352,-0.002355837407360692,0.0020783221536392112,-0.01511471779248766,-3.187835440712575,122.58784747123718
dinov2_b,DINO,0,3.70822024345398,768,30,decoupled,1,-0.017936700551901816,-0.0013133277530772744,0.0029699004352593604,-0.016623372798824542,-3.261126235604716,124.78110575675964
