model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
dinov2_s,DINO,5,3.0024430751800537,384,30,intact,-1,-0.00809501044496698,-0.00023536923875744215,0.0018980907097913278,-0.007859641206209538,-1.0931135556124276,293.4917051792145
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,0,-0.006348289944831498,-0.000971545649531573,0.0015341380715245948,-0.005376744295299924,-0.7540359903594887,375.1126563549042
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,1,-0.00868142299015133,-0.0013693733435521174,0.0026769397868744234,-0.007312049646599213,-1.1239683097407016,380.3614025115967
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,2,-0.005980865523035714,-0.0015065735647706315,0.002530354812468988,-0.004474291958265082,-0.6290089597753659,372.2656545639038
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,3,-0.005216514202332018,-0.0006858738138257228,0.003159995518170946,-0.004530640388506295,-0.5831372484174464,374.5867681503296
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,4,-0.00706310995441517,-0.0010914995310313245,0.00225831971032352,-0.005971610423383846,-0.6833539225501042,373.5774812698364
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,5,-0.00816051764544376,-0.001454908111608376,0.0025234188097986616,-0.006705609533835384,-0.8137651755953851,418.09106492996216
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,6,-0.00871066515224174,-0.00010200339626342675,0.0027296076105368773,-0.008608661755978313,-0.9891405832006953,377.02807807922363
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,7,-0.006953858967343879,-0.0015054958736296614,0.0012293582769974702,-0.005448363093714217,-0.6862008144811926,1690.1105506420135
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,8,-0.007619963989613468,-0.0011702303261996825,0.0023048462101122546,-0.006449733663413786,-0.7304832571069508,1765.3330309391022
dinov2_s,DINO,5,3.0024430751800537,384,30,decoupled,9,-0.007877455649816567,-0.0009317777303859464,0.0023068581706197234,-0.006945677919430621,-1.0453604211226666,1832.16406416893
dinov2_s,DINO,6,3.0024430751800537,384,30,intact,-1,-0.00825932210155271,-0.0022049874527359918,0.0016863035271163706,-0.006054334648816719,-1.328785346341082,1656.1612703800201
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,0,-0.00803754891614275,-0.0013725867850845341,0.0027407464492481682,-0.006664962131058216,-0.9409609548145422,1551.713163137436
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,1,-0.006669868547502761,-0.0010077409463918273,0.0030269506147222185,-0.005662127601110933,-0.8881704194749357,1664.7563474178314
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,2,-0.006622984614326158,-0.0008070968236381815,0.0024838806329444962,-0.0058158877906879765,-0.9527823074197503,1286.999722480774
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,3,-0.006650329428010984,0.0003978310209487926,0.003049008288384073,-0.007048160448959777,-1.2320770700153614,1313.666074514389
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,4,-0.005329737199788964,-0.0003347122207690248,0.0028009903869478997,-0.00499502497901994,-0.8753126894080612,983.7266364097595
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,5,-0.00833653268281953,-0.0003229782184160521,0.0023692542794701427,-0.008013554464403478,-1.3152718200438813,1307.4972388744354
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,6,-0.007740885799598349,-0.0020768894016047674,0.0024961414095749316,-0.005663996397993582,-0.8977428506105107,662.7916867733002
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,7,-0.005108536114940623,-0.0012021059993791716,0.002271252757139201,-0.003906430115561452,-0.7205241753056209,505.4284882545471
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,8,-0.005215995717205185,-0.00038782271040597863,0.0025235216206477657,-0.004828173006799207,-0.8300036940402883,459.0675411224365
dinov2_s,DINO,6,3.0024430751800537,384,30,decoupled,9,-0.008172122590394973,-0.0009561448439847492,0.002278798676401018,-0.007215977746410224,-1.1897603516464754,370.02499866485596
dinov2_s,DINO,7,3.0024430751800537,384,30,intact,-1,-0.007491618509850986,0.00017734493954758428,0.002454291736985033,-0.0076689634493985704,-1.079973981991338,459.2088451385498
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,0,-0.006707036687027199,-0.0014337303256526906,0.0030269621524337802,-0.005273306361374508,-0.7647548549887279,420.10633754730225
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,1,-0.0051901814031046906,-0.001447061192151876,0.0027943949768882343,-0.0037431202109528146,-0.5348906189135092,453.70332765579224
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,2,-0.003303208564279056,-0.00103806200364817,0.002503851866924642,-0.002265146560630886,-0.32411838441589386,367.7256963253021
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,3,-0.005077950961627678,-0.0010339984450018908,0.0019130519982939287,-0.004043952516625787,-0.5185051218173604,521.0299165248871
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,4,-0.0047902546249797145,-0.00034795481316087645,0.003370857426609316,-0.004442299811818838,-0.5923297504061009,492.3025851249695
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,5,-0.006258418523926515,-0.0015284749505992735,0.0023631922310939665,-0.004729943573327242,-0.7513436685525376,614.0803503990173
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,6,-0.003807666013920852,-0.001506325023320515,0.0021773477606635235,-0.002301340990600337,-0.31462797380456986,504.5073981285095
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,7,-0.006627125214938287,-0.0006376782821087528,0.002126508503171532,-0.005989446932829534,-0.8304606912759763,405.55009627342224
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,8,-0.003367354004715384,-1.4098388727863676e-05,0.00244651465917899,-0.00335325561598752,-0.5315386197035611,378.88430619239807
dinov2_s,DINO,7,3.0024430751800537,384,30,decoupled,9,-0.004631163297459939,0.0004999359772432696,0.002220213865929268,-0.005131099274703209,-0.8188565427578077,423.14986777305603
dinov2_s,DINO,8,3.0024430751800537,384,30,intact,-1,-0.004986616210947689,0.0006036881982285413,0.0026720831461189234,-0.00559030440917623,-1.0698653031842562,443.44482159614563
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,0,-0.004659690243936129,-0.0005603830347251732,0.0025321937909173198,-0.004099307209210956,-0.6541373092742118,468.2393560409546
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,1,-0.006975568921165826,-0.0007413210822342656,0.0027623283838792787,-0.00623424783893156,-0.9592305958633225,422.6928565502167
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,2,-0.005730222707338778,-0.0008855777024884936,0.0023637020706810314,-0.004844645004850284,-0.7980515946024803,335.07461047172546
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,3,-0.010583175488743587,-0.001260319566707266,0.002422322523956645,-0.009322855922036322,-1.5737302935554986,281.10232520103455
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,4,-0.007807328770697161,-0.0003668106928359158,0.002314083119020135,-0.007440518077861245,-1.267359394639502,321.8497779369354
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,5,-0.006558825718075811,-0.0018769312241680048,0.002540948480019909,-0.004681894493907807,-0.8242807797056645,335.3840067386627
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,6,-0.004450870507988508,-0.0019130691219548675,0.0027383608921571208,-0.0025378013860336405,-0.3792435974758132,367.9657516479492
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,7,-0.006381523973831432,-0.0005394130054605165,0.0018027479099125758,-0.005842110968370916,-1.2914821708964803,363.92433190345764
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,8,-0.0052153831435824555,0.0009271535794279223,0.0026380230720243034,-0.006142536723010378,-0.8884143622346732,286.37322092056274
dinov2_s,DINO,8,3.0024430751800537,384,30,decoupled,9,-0.00796977368426624,0.0007288136213979667,0.002606525622214095,-0.008698587305664206,-1.413738033538432,296.16479206085205
dinov2_s,DINO,9,3.0024430751800537,384,30,intact,-1,-0.005894577869973702,-0.0005429324928015261,0.0035181101300034035,-0.005351645377172176,-0.8347446725929217,303.0724267959595
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,0,-0.009688422587469936,-3.579401349162736e-05,0.0018275516128868075,-0.00965262857397831,-1.6592765231275761,311.4777274131775
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,1,-0.00897767974405829,-0.00040907673876163506,0.0015366640224531462,-0.008568603005296655,-1.561400006171058,305.11227464675903
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,2,-0.00869070024903136,-0.0013546366226495938,0.002584349826017145,-0.007336063626381767,-1.2198856258429833,254.4742612838745
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,3,-0.00783569491275904,-0.0003780589774542181,0.0020356013818250696,-0.007457635935304821,-1.2164501772208984,358.6577525138855
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,4,-0.01010811213504878,0.0005572836897892189,0.0019363974006903783,-0.010665395824838,-1.7159368500447072,347.7441258430481
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,5,-0.005980315434901032,-2.837646643675529e-05,0.0016264717658926696,-0.005951938968464276,-0.9759339347566829,324.917977809906
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,6,-0.008278221646192657,-0.0005238532138649554,0.0018286580289854934,-0.007754368432327702,-1.7948381837658547,318.30883717536926
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,7,-0.0096517018973436,-0.0003513002192654352,0.0018871193845883742,-0.009300401678078166,-1.5940836098751092,341.48570466041565
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,8,-0.007761510341228364,-0.0013674618261407673,0.0028172148256286195,-0.006394048515087597,-1.0014569509255735,300.3537311553955
dinov2_s,DINO,9,3.0024430751800537,384,30,decoupled,9,-0.009517900778412414,0.0004815052985628468,0.0025856391979910422,-0.00999940607697526,-1.7654611309384804,317.87791085243225
dinov2_s,DINO,10,3.0024430751800537,384,30,intact,-1,-0.0064339046973711095,-0.0007402196392715512,0.002101458193209766,-0.0056936850580995586,-0.9431464117183013,202.74363780021667
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,0,-0.004890653021768915,-0.0005446972651313872,0.002388100677231063,-0.004345955756637527,-0.7209721314828789,332.3216779232025
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,1,-0.0038860304920563388,-0.001525780689916853,0.0023840076697535387,-0.002360249802139486,-0.33024847769592697,210.83625555038452
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,2,-0.008132889229315737,-0.0015014858084280657,0.002125564567396731,-0.006631403420887671,-1.0100017695401438,273.80342745780945
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,3,-0.007803866867815257,-8.811511970664293e-05,0.0025641831811032455,-0.007715751748108614,-1.3936401740772895,244.8227288722992
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,4,-0.004257555247650022,-0.0013764939307355285,0.0022469156121028375,-0.002881061316914493,-0.4441543007604253,251.3105218410492
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,5,-0.006316897523582721,-0.0008114777190877679,0.0038970844927483546,-0.0055054198044949525,-0.828463373218206,208.11320114135742
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,6,-0.008421083128511933,-0.00046239860247531404,0.0026915025442495405,-0.00795868452603662,-1.1933471192278176,317.61286449432373
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,7,-0.008426625708915933,-0.0010124385300677538,0.002324738384886351,-0.007414187178848179,-1.0111319334620696,196.70131421089172
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,8,-0.004999359950790996,-0.001212307975072663,0.003047140025487094,-0.0037870519757183334,-0.6192649956866043,199.72262454032898
dinov2_s,DINO,10,3.0024430751800537,384,30,decoupled,9,-0.003950246944221844,-0.0005740683309979844,0.002434418694849401,-0.00337617861322386,-0.4774787527343117,307.5984785556793
dinov2_s,DINO,11,3.0024430751800537,384,30,intact,-1,-0.004857871528626448,0.000656394906297221,0.002573364993892106,-0.005514266434923669,-0.7740119721956742,230.5244722366333
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,0,-0.008101581216524475,-0.0003759697216718885,0.0029161780138503516,-0.007725611494852587,-1.04881348954832,287.21319603919983
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,1,-0.006098967469096647,-0.0008427655045806406,0.003993589302701783,-0.005256201964516006,-0.7393463903876571,207.70327162742615
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,2,-0.004284701389128467,-0.0014409120018494162,0.003045929369075306,-0.002843789387279051,-0.37141943045253156,283.87021040916443
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,3,-0.0056172005139462355,-0.0010987934269922213,0.0028201692411818804,-0.004518407086954014,-0.6662235903380046,259.5058739185333
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,4,-0.005687498109173225,-0.0005451427287704355,0.0025728203022477086,-0.0051423553804027895,-0.7564599181435142,271.01132321357727
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,5,-0.006219152795672228,-0.0012954152557590165,0.0023470898463449053,-0.0049237375399132114,-0.5917296406392428,217.83362483978271
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,6,-0.0062326435985090856,-0.000921602221598336,0.0027976216125035077,-0.00531104137691075,-0.8297985792997221,267.5972509384155
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,7,-0.006254095430556744,0.0001470631500217673,0.0024580394216230103,-0.006401158580578511,-1.0331891551980317,227.83480644226074
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,8,-0.007117685086319853,-0.001543629509327464,0.003279595413313777,-0.005574055576992388,-0.99153660123829,226.7263879776001
dinov2_s,DINO,11,3.0024430751800537,384,30,decoupled,9,-0.008342590228713032,-0.0010197129712882474,0.0019352271767215192,-0.007322877257424784,-1.3327267914256624,258.5330126285553
