model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
i21k_b,supervised ViT,0,1.9573075771331787,768,30,intact,-1,-0.01553718886689287,-0.0023163192523651273,0.0020420376632245044,-0.013220869614527743,-1.9062439015624362,233.91069793701172
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,0,-0.0350596634320815,-0.0033732160930706133,0.0026648088001578123,-0.03168644733901089,-4.426077324013059,307.2653269767761
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,1,-0.03578978626420157,-0.0033865927547418405,0.0029134940976645388,-0.03240319350945973,-4.560579739867488,314.98055601119995
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,2,-0.036756844199009917,-0.004644878334161988,0.002570720825313644,-0.03211196586484793,-4.889811029542763,291.27681589126587
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,3,-0.036580312371651005,-0.004280574134817512,0.0020740923216084023,-0.03229973823683349,-5.281019174132907,271.9177849292755
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,4,-0.035764207863990524,-0.004707281633857048,0.0021194361432615412,-0.031056926230133477,-4.4900708607522475,283.8408741950989
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,5,-0.03849367036800588,-0.0042618941896903064,0.002139153257255553,-0.034231776178315576,-5.797102268093029,288.11398911476135
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,6,-0.03961927742135897,-0.0036231654148612263,0.0024904367667168245,-0.035996112006497744,-7.3581171918961035,255.7227075099945
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,7,-0.03758796411397536,-0.0037141379092929332,0.0009883812493197608,-0.033873826204682426,-5.1667419059187685,270.06688022613525
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,8,-0.037035947730540475,-0.004761026805501391,0.0035237329476523883,-0.032274920925039086,-4.4401596849611025,265.70359206199646
i21k_b,supervised ViT,0,1.9573075771331787,768,30,decoupled,9,-0.036468013049905726,-0.004772061998791018,0.002748035115425137,-0.03169595105111471,-4.78262294212863,275.88700699806213
i21k_b,supervised ViT,1,1.9573075771331787,768,30,intact,-1,-0.01726345039078392,-0.0004569770521642397,0.002491783738090617,-0.01680647333861968,-1.703312126104178,272.73753595352173
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,0,-0.038653579781978184,-0.004612698142142866,0.0026639336172124815,-0.03404088163983532,-4.669025219042375,237.21516919136047
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,1,-0.03687417928208919,-0.004350067959100699,0.0016724949277907182,-0.03252411132298849,-4.025966443561193,143.1774492263794
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,2,-0.039372684895653556,-0.00529548930395804,0.0019294875548074605,-0.03407719559169552,-5.144229835057019,138.49445343017578
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,3,-0.03776856160316397,-0.004824609920665054,0.0021580959904863592,-0.03294395168249892,-4.81696391769045,122.71907377243042
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,4,-0.037141721693547014,-0.004380350021904345,0.002421387231654357,-0.03276137167164267,-4.030189215580089,124.31463670730591
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,5,-0.037290227440035156,-0.0043649697938367305,0.0020981911358511824,-0.03292525764619843,-3.6643721312130166,127.18870568275452
i21k_b,supervised ViT,1,1.9573075771331787,768,30,decoupled,6,-0.03983410887221351,-0.0039029678630641456,0.001504922961787248,-0.03593114100914936,-4.457337474790187,126.97732663154602
