model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
i21k_l,supervised ViT,1,1.881852865219116,1024,30,intact,-1,-0.023622997299377613,-0.0026703108251975903,0.003603312916705589,-0.020952686474180023,-2.4490988888072502,296.55019760131836
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,0,-0.04132511416566077,-0.003703087269228006,0.0022046410591904826,-0.037622026896432764,-4.023956328201284,332.72609305381775
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,1,-0.04367919169946351,-0.003332942014197564,0.00151421919793509,-0.04034624968526594,-5.461827118234487,347.2526099681854
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,2,-0.04026751978924414,-0.0057034390982095475,0.0018973745951928432,-0.03456408069103459,-4.159413036208521,332.09270334243774
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,3,-0.038094700526324576,-0.004730833620257336,0.0026021438458589613,-0.03336386690606724,-3.65101796150683,329.4245581626892
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,4,-0.04144965660034752,-0.003099633700682284,0.00208464893935682,-0.03835002289966524,-4.396277237829042,329.81331968307495
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,5,-0.039914731242989276,-0.005032423630327666,0.0020127338758428293,-0.03488230761266161,-5.142922982027886,301.4707033634186
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,6,-0.04134744809243156,-0.00498358947384782,0.0022698190106969687,-0.03636385861858374,-3.8420329374028097,323.7535591125488
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,7,-0.04299924906751943,-0.00428394580392644,0.0029407558461060222,-0.03871530326359299,-4.921423963971628,312.0068590641022
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,8,-0.04205543357720688,-0.004258659403777084,0.0023447969076151823,-0.0377967741734298,-4.234695363492784,295.23687171936035
i21k_l,supervised ViT,1,1.881852865219116,1024,30,decoupled,9,-0.04349490687807467,-0.004643959447513792,0.001767958683687206,-0.038850947430560875,-4.591515057853305,333.40849566459656
