model,family,seed,ratio,dim,K,kind,dec_seed,excessB_real,excessB_star,star_sd,depth_excess,z_depth,time_s
i21k_t,supervised ViT,0,1.5462486743927002,192,30,intact,-1,-0.006940687015387609,-0.0002989120201139242,0.003952323696540211,-0.006641774995273684,-0.5935270113734173,141.1420395374298
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,0,-0.02626004459595739,-0.0018254793075656388,0.0025038865158900875,-0.024434565288391753,-2.459302853117121,157.45448756217957
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,1,-0.028674453252624174,-0.0014050017743134455,0.0027771336866392014,-0.027269451478310728,-3.102989659591649,193.78235125541687
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,2,-0.023599780897918754,-0.004137122380703484,0.0025869713034361538,-0.01946265851721527,-1.9140379020285523,152.86449575424194
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,3,-0.023102470698786376,-0.0016468453412687683,0.002567153154200986,-0.02145562535751761,-2.1297809822722775,194.0049114227295
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,4,-0.02475455452179788,-0.003766221011601599,0.0025326086080186922,-0.020988333510196282,-2.403439881014007,201.17388463020325
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,5,-0.023692574903412603,-0.00351252638895031,0.003074348638839949,-0.02018004851446229,-1.6715485295443724,161.2793927192688
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,6,-0.020412629449378647,-0.002314394419114227,0.00261967136622639,-0.01809823503026442,-1.9661624227718844,181.39413452148438
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,7,-0.02771923081072289,-0.0017740784673317093,0.0037964509921261124,-0.02594515234339118,-2.137660910118781,150.8987274169922
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,8,-0.016678080865455344,-0.0028375615725368063,0.002915596150146568,-0.013840519292918537,-1.8464466836665987,185.33770847320557
i21k_t,supervised ViT,0,1.5462486743927002,192,30,decoupled,9,-0.030188508972332245,-0.00154590509051835,0.004107177277173962,-0.028642603881813895,-2.6345465823735377,154.8891429901123
i21k_t,supervised ViT,1,1.5462486743927002,192,30,intact,-1,-0.00684344694243566,-0.0002459279844743839,0.003687982831288363,-0.006597518957961276,-0.5557177852681331,184.31964135169983
i21k_t,supervised ViT,1,1.5462486743927002,192,30,decoupled,0,-0.01516824957544291,-0.0017743919299096703,0.000789406924942949,-0.01339385764553324,-2.01050370581802,144.98628544807434
i21k_t,supervised ViT,1,1.5462486743927002,192,30,decoupled,1,-0.018067721165016107,0.0004717652601215705,0.003515776899510036,-0.018539486425137676,-1.957878631221622,177.28899335861206
i21k_t,supervised ViT,1,1.5462486743927002,192,30,decoupled,2,-0.01728547536811567,-0.003350385795122357,0.00272985027509361,-0.013935089572993314,-1.259042269881443,159.33429789543152
i21k_t,supervised ViT,1,1.5462486743927002,192,30,decoupled,3,-0.013247686788815632,-0.002168971579270977,0.0029068925874959836,-0.011078715209544655,-1.0083314099070615,185.95217967033386
