model,family,ratio,dim,n_seeds,power,z_mean,dec_runs,dec_power,dec_z_mean,B_intact,B_decoupled,star_sd_intact,star_sd_decoupled,excessB_real_intact,excessB_real_decoupled,excessB_star_intact,excessB_star_decoupled
i21k_t,supervised ViT,1.5462486743927002,192,5,0.0,-0.47831426067678445,50,0.6,-2.1696332924523474,-0.005373790067328936,-0.020366192752990116,0.004000988349412073,0.0030579932637932205,-0.005540705685395336,-0.02249329565283413,-0.00016691561806639967,-0.002127102899844009
i21k_s,supervised ViT,1.9323647022247321,384,5,0.0,-1.0402953138306898,50,0.9,-2.7696529629607682,-0.009375734144216984,-0.020956899603345083,0.003076721873027465,0.0026334191676035883,-0.009835119974500534,-0.023374790754558915,-0.0004593858302835505,-0.002417891151213828
i21k_b,supervised ViT,1.9573075771331787,768,5,0.0,-1.7419084399498932,50,1.0,-4.205742914967117,-0.01564540477210131,-0.030572844357613458,0.0028532757464041687,0.002405041737649851,-0.017040959519385945,-0.03490442370007463,-0.0013955547472846329,-0.004331579342461181
i21k_l,supervised ViT,1.881852865219116,1024,5,0.8,-2.180953903221657,50,1.0,-4.443086929529832,-0.01854144641974082,-0.03547611125173934,0.003246748318788051,0.0022249757082887026,-0.02000442037521996,-0.03985368102624858,-0.001462973955479143,-0.00437756977450923
dinov1_b,DINO,2.1233694553375244,768,5,0.0,-1.2141462129444722,50,0.28,-1.6405639527158684,-0.01003280392112815,-0.01316578942841798,0.0031448805895255964,0.002053620788840647,-0.010516472387649588,-0.014458327947100797,-0.00048366846652143686,-0.0012925385186828156
dinov2_s,DINO,3.0024430751800537,384,11,0.0,-0.9880732578860701,110,0.00909090909090909,-0.8387053676558748,-0.006121282929065714,-0.005383924291026432,0.0025831601337700616,0.002512403806882163,-0.006790837693131491,-0.006193746115040084,-0.0006695547640657774,-0.0008098218240136549
dinov2_b,DINO,3.70822024345398,768,9,0.4444444444444444,-1.909432052360379,90,0.8444444444444444,-2.3897382027309857,-0.010696270301850769,-0.013888109042543678,0.0022633451293640767,0.002813824854716511,-0.011938111075279046,-0.015770129033533222,-0.0012418407734282782,-0.0018820199909895484
dinov2_l,DINO,3.877066850662232,1024,9,0.8888888888888888,-2.694684434724439,90,1.0,-3.1575544360433776,-0.015066294736881576,-0.017176231794438727,0.0031555499602007172,0.002754039467652208,-0.01676993429178263,-0.01951181707465195,-0.001703639554901056,-0.002335585280213231
dinov2_g,DINO,3.9236681461334233,1536,7,1.0,-3.0401305535262457,70,1.0,-3.4887744267747087,-0.01626258378947226,-0.02039741782367747,0.0024746951131658828,0.0030327849423968717,-0.01863635481743228,-0.023123395648216007,-0.0023737710279600195,-0.0027259778245385365
clip_b,contrastive,1.3295857906341553,512,5,0.2,-1.6915137988517592,50,1.0,-5.003765915297451,-0.018898505662993025,-0.04532137274396135,0.003053282071686915,0.0024214970297039436,-0.023302832147298155,-0.05082610485032246,-0.004404326484305129,-0.00550473210636109
clip_l,contrastive,1.4938230514526367,768,5,1.0,-2.826754019729344,50,1.0,-4.97941506716362,-0.024981847635894165,-0.04441608673641453,0.0030448438378766077,0.0019312770452837454,-0.027782911671361477,-0.04857486420995012,-0.0028010640354673086,-0.0041587774735356055
siglip_b,contrastive,1.538798689842224,768,5,1.0,-2.4937198769079463,50,1.0,-4.8615182530429095,-0.023085530773211998,-0.044086783453842295,0.0033549750996860355,0.0019413799125542006,-0.025060442953764465,-0.04688766486223389,-0.0019749121805524733,-0.002800881408391591
