model,transform,star,dec_seed,excessB_real,excessB_star,star_sd,depth,z,r_star,p_star,time_s
i21k_b,l2norm,aniso,-1,-0.021685410898823698,-0.0007924022027110137,0.0029240528727761694,-0.020893008696112686,-2.4502076508200976,0,0.09090909090909091,471.40384006500244
i21k_b,l2norm,aniso_haarhubs,-1,-0.021685410898823698,0.0023602919386954842,0.005200032659528081,-0.02404570283751918,-2.5179009204810416,0,0.09090909090909091,443.2724242210388
i21k_b,l2norm,aniso_decoupled,0,-0.006161037216423734,-0.0011569683346167453,0.0013779064442844054,-0.005004068881806989,-0.4924576496126677,0,0.09090909090909091,460.98746848106384
i21k_b,l2norm,aniso_decoupled,1,-0.007167036651132691,0.0006262860601983042,0.0027575906401347363,-0.007793322711330995,-0.7612346038480496,0,0.09090909090909091,459.0060396194458
i21k_b,l2norm,aniso_decoupled,2,-0.004210058913943077,0.00016371512579843595,0.0027499901243468548,-0.004373774039741513,-0.40344005937275956,1,0.18181818181818182,511.4240083694458
i21k_b,l2norm,aniso_decoupled,3,-0.007042880676028748,0.0007384570806573427,0.003010624129040731,-0.007781337756686091,-0.800041990321587,0,0.09090909090909091,478.67161774635315
i21k_b,l2norm,aniso_decoupled,4,-0.0032562955734172644,0.00015097988568813224,0.0029015543393989393,-0.0034072754591053965,-0.34967147453246133,2,0.2727272727272727,381.6661698818207
i21k_b,l2norm,aniso_decoupled,5,-0.005187369155092353,0.001189192986328036,0.0032797542311908865,-0.006376562141420389,-0.5918378245110804,0,0.09090909090909091,325.3157501220703
i21k_b,l2norm,aniso_decoupled,6,-0.005837609958736625,0.00044536457134318334,0.0030798516944187905,-0.006282974530079808,-0.6027141103489625,0,0.09090909090909091,316.28592228889465
i21k_b,l2norm,aniso_decoupled,7,-0.006971068461041757,-0.0006542926517995983,0.0037630465112711334,-0.006316775809242159,-0.5668103216301278,0,0.09090909090909091,343.14694356918335
