model,transform,star,dec_seed,excessB_real,excessB_star,star_sd,depth,z,r_star,p_star,time_s
i21k_t,l2norm,aniso,-1,0.0041516907757066235,0.0011319857194468513,0.003511131677371902,0.003019705056259772,0.27074512746463125,8,0.8181818181818182,302.2639865875244
i21k_t,l2norm,aniso_haarhubs,-1,0.0041516907757066235,0.006475928624728178,0.008373399145369952,-0.0023242378490215543,-0.17219782305340892,4,0.45454545454545453,345.67487621307373
i21k_t,l2norm,aniso_decoupled,0,-0.015058299336996983,-0.00024144458703633382,0.005073453532571397,-0.01481685474996065,-1.123905783580231,0,0.09090909090909091,283.18947291374207
i21k_t,l2norm,aniso_decoupled,1,-0.013967140332314013,-0.0008085238951388421,0.003773510829340126,-0.01315861643717517,-0.8493841477616787,0,0.09090909090909091,298.29839754104614
i21k_t,l2norm,aniso_decoupled,2,-0.0090195549445488,-0.0005897113622478287,0.0028404422399892753,-0.00842984358230097,-0.5914397245685834,0,0.09090909090909091,328.80327701568604
i21k_t,l2norm,aniso_decoupled,3,-0.012810182645906859,0.0014743699101071304,0.0036456664963089246,-0.014284552556013989,-1.1391409857926886,0,0.09090909090909091,307.61935925483704
i21k_t,l2norm,aniso_decoupled,4,-0.00973942490321833,0.0006219316511290304,0.0034404096705593357,-0.01036135655434736,-0.7568989552540968,0,0.09090909090909091,345.6442952156067
i21k_t,l2norm,aniso_decoupled,5,-0.00974686785661441,-0.0007369033611072343,0.005849830329898812,-0.009009964495507176,-0.6460746146344912,1,0.18181818181818182,337.66242003440857
i21k_t,l2norm,aniso_decoupled,6,-0.008132161190141443,-0.0014888327878358712,0.003506588184678127,-0.006643328402305572,-0.5556827922628687,1,0.18181818181818182,323.34879755973816
i21k_t,l2norm,aniso_decoupled,7,-0.013315436425820781,0.0005006604818035429,0.0048013266157848,-0.013816096907624325,-1.0200490132250652,0,0.09090909090909091,289.7420859336853
i21k_t,l2norm,aniso_decoupled,8,-0.010067172694519469,0.0007101058048681802,0.004525573083028232,-0.010777278499387649,-0.8454779870047961,0,0.09090909090909091,202.14326357841492
i21k_t,l2norm,aniso_decoupled,9,-0.006758795640426113,-0.00246907834817348,0.003094571859961852,-0.004289717292252633,-0.2808191961410497,1,0.18181818181818182,188.82172441482544
i21k_t,deradial,aniso,-1,-0.022229959070477964,0.0009748304854262174,0.0050829602447401,-0.02320478955590418,-2.063840880840639,0,0.09090909090909091,220.44263315200806
i21k_t,deradial,aniso_haarhubs,-1,-0.022229959070477964,0.000650074525232526,0.004633762145705574,-0.02288003359571049,-2.0710238326442534,0,0.09090909090909091,218.19982600212097
i21k_t,deradial,aniso_decoupled,0,-0.02087922468018029,-0.002012075437738144,0.0034679434773567256,-0.018867149242442146,-1.6206982635245883,0,0.09090909090909091,227.29048585891724
i21k_t,deradial,aniso_decoupled,1,-0.0176699267884608,-0.0015667858444047126,0.002875700710678879,-0.016103140944056085,-1.5738561103302504,0,0.09090909090909091,233.0903491973877
i21k_t,deradial,aniso_decoupled,2,-0.018170842847595695,-0.00019964364826079024,0.004259724810388093,-0.017971199199334903,-2.0821405802128456,0,0.09090909090909091,265.1104736328125
i21k_t,deradial,aniso_decoupled,3,-0.015822299350854968,-0.00047346531223318165,0.0031756190102506148,-0.015348834038621787,-1.3975447511651122,0,0.09090909090909091,217.22169280052185
i21k_t,deradial,aniso_decoupled,4,-0.013776960590511256,0.00041096559636557564,0.0027400885975273088,-0.014187926186876832,-1.3529122807775067,0,0.09090909090909091,222.01160073280334
i21k_t,deradial,aniso_decoupled,5,-0.015553388322332481,-0.0006302958500938732,0.005467153888237725,-0.014923092472238608,-1.1442258308128759,0,0.09090909090909091,223.88696551322937
i21k_t,deradial,aniso_decoupled,6,-0.025275246333487628,-0.0006779341693828073,0.004054957029610173,-0.02459731216410482,-2.488365132519692,0,0.09090909090909091,192.13146257400513
i21k_t,deradial,aniso_decoupled,7,-0.016988655066330252,0.0006534777166948807,0.004969808440918047,-0.017642132783025132,-1.7157764442983603,0,0.09090909090909091,249.4171028137207
i21k_t,deradial,aniso_decoupled,8,-0.023839925519672317,-0.0014460960751666364,0.0039791048552491205,-0.02239382944450568,-1.9780779175987282,0,0.09090909090909091,255.1554353237152
i21k_t,deradial,aniso_decoupled,9,-0.020503301874354965,0.0005944553914889073,0.0033284475123637803,-0.021097757265843873,-2.056492104274107,0,0.09090909090909091,269.83088278770447
i21k_s,l2norm,aniso,-1,-0.007668876423074969,-0.00026468474380068885,0.003234309096791747,-0.00740419167927428,-0.7595943979220892,0,0.09090909090909091,291.99705171585083
i21k_s,l2norm,aniso_haarhubs,-1,-0.007668876423074969,0.003145755290477341,0.007085119995982215,-0.01081463171355231,-0.9316276517017522,1,0.18181818181818182,266.0358612537384
i21k_s,l2norm,aniso_decoupled,0,-0.00815178727056838,0.0006240403817861867,0.003640593700897019,-0.008775827652354568,-0.8811859048729912,0,0.09090909090909091,263.71002221107483
i21k_s,l2norm,aniso_decoupled,1,-0.011231274295852786,0.0004155373212391553,0.0037809809368396295,-0.011646811617091942,-1.0166100657853216,0,0.09090909090909091,256.9736382961273
i21k_s,l2norm,aniso_decoupled,2,-0.01355594568025735,0.0008289937144769944,0.002734669379781899,-0.014384939394734345,-1.2177900370322954,0,0.09090909090909091,238.79341769218445
i21k_s,l2norm,aniso_decoupled,3,-0.01235970849949504,-0.001231283517540542,0.0027382896923971315,-0.011128424981954498,-0.8439261527913922,0,0.09090909090909091,227.35279726982117
i21k_s,l2norm,aniso_decoupled,4,-0.01727843389795254,0.0010410670621453107,0.0028736306833766524,-0.01831950096009785,-1.7712648646643578,0,0.09090909090909091,243.88734364509583
i21k_s,l2norm,aniso_decoupled,5,-0.017865210844088,-0.000982134816754804,0.0021291484817897487,-0.016883076027333195,-1.5228396886458,0,0.09090909090909091,256.87402844429016
i21k_s,l2norm,aniso_decoupled,6,-0.012184250558720008,0.0007438100894196803,0.0035568886155652726,-0.01292806064813969,-1.1171459858729682,0,0.09090909090909091,264.7456111907959
i21k_s,l2norm,aniso_decoupled,7,-0.01026374051135491,-0.0005870918865114469,0.0030805736908971638,-0.009676648624843463,-0.8934914058155105,0,0.09090909090909091,275.65401124954224
i21k_s,l2norm,aniso_decoupled,8,-0.009806333228716699,0.0009794715883066185,0.0025516795486779887,-0.010785804817023317,-1.0113624405322676,0,0.09090909090909091,284.893541097641
i21k_s,l2norm,aniso_decoupled,9,-0.012799922565595132,-0.001751685705841316,0.003393202615182121,-0.011048236859753816,-1.3678421239451444,0,0.09090909090909091,240.04449033737183
i21k_s,deradial,aniso,-1,-0.024977848250546622,0.00048335809936204813,0.00539654798472393,-0.02546120634990867,-2.2627273297879213,0,0.09090909090909091,288.57607555389404
i21k_s,deradial,aniso_haarhubs,-1,-0.024977848250546622,-0.0010556652447735473,0.005948022567982309,-0.023922183005773076,-2.0753021338460527,0,0.09090909090909091,268.6312448978424
i21k_s,deradial,aniso_decoupled,0,-0.012035813388939734,-0.0002999079357950948,0.0044842113226627855,-0.01173590545314464,-1.0378837967620187,0,0.09090909090909091,246.80797481536865
i21k_s,deradial,aniso_decoupled,1,-0.013043105332578062,0.001698903266332394,0.0036633992580737728,-0.014742008598910455,-1.1105560904180576,0,0.09090909090909091,222.66435885429382
