cloud,built,frame,seed,dec_seed,depth,z,star_sd,time_s
synthetic_flat_vitl_spectrum,balanced,balanced,1,-1,-0.002250666292254863,-0.4010997301109083,0.0018266638563615245,326.5666947364807
synthetic_flat_vitl_spectrum,balanced,balanced,1,0,-0.00395158285184446,-0.7281373563445694,0.00251443909752656,346.0966956615448
synthetic_flat_vitl_spectrum,balanced,balanced,1,1,-0.0016620799841786868,-0.3611973847113772,0.002341654291805696,364.99320816993713
synthetic_flat_vitl_spectrum,balanced,balanced,1,2,-0.005354989475832614,-0.9978202770649,0.0028514016450330274,351.5045611858368
synthetic_flat_vitl_spectrum,balanced,balanced,1,3,-0.0024951176495967902,-0.3983147004200889,0.003097793293623003,365.90829491615295
synthetic_flat_vitl_spectrum,balanced,balanced,1,4,-0.002970725239801457,-0.47460829705838026,0.001830055227221331,377.7978219985962
synthetic_flat_vitl_spectrum,balanced,balanced,1,5,-0.004732051905725089,-1.3759244977946117,0.0018053610450294475,343.1334171295166
synthetic_flat_vitl_spectrum,balanced,balanced,1,6,-0.0023829644029071924,-0.4838056763831396,0.002730011189090034,250.68220257759094
synthetic_flat_vitl_spectrum,balanced,balanced,1,7,-0.002890601877483037,-0.566396975568919,0.0008707144935452574,159.01761484146118
synthetic_flat_vitl_spectrum,balanced,balanced,1,8,8.221742769680147e-05,0.015424002740230256,0.002457773471634045,162.93463683128357
synthetic_flat_vitl_spectrum,balanced,balanced,1,9,-0.002077831199247461,-0.4426774332968963,0.0025559120994954666,129.60671997070312
