model,kind,a,b,ari_cut,coph_corr,triplet_agree
clip_l,boot_pair,0,1,0.7051095365409651,0.9545702742311734,0.9447
clip_l,boot_pair,0,2,0.6726591994006288,0.9519610686332535,0.9371
clip_l,boot_pair,0,3,0.8100445519884258,0.9537158294476835,0.9417
clip_l,boot_pair,0,4,0.7364230869347648,0.9498155899750492,0.9374
clip_l,boot_pair,0,5,0.7774141019890336,0.9475492604479175,0.9315
clip_l,boot_pair,0,6,0.8793879364380944,0.9632112888350718,0.9446
clip_l,boot_pair,0,7,0.8189126687764313,0.9513879212165617,0.9391
clip_l,boot_pair,0,8,0.8112941472687006,0.9498766527984926,0.9341
clip_l,boot_pair,0,9,0.867756347568271,0.9566019723079451,0.9437
clip_l,boot_pair,0,10,0.7453574439789317,0.9443391085459382,0.9327
clip_l,boot_pair,0,11,0.9351941767027553,0.9624382100150631,0.9375
clip_l,boot_pair,0,12,0.8650915157283653,0.9589291204890354,0.9421
clip_l,boot_pair,0,13,0.7424075285104315,0.9463812631227351,0.9333
clip_l,boot_pair,0,14,0.8178780845299962,0.9496519116246718,0.9395
clip_l,boot_pair,0,15,0.7376877858036801,0.943136768878752,0.9267
clip_l,boot_pair,0,16,0.6740781363693829,0.9489318009795532,0.9372
clip_l,boot_pair,0,17,0.9149220562526706,0.9617185548539553,0.9541
clip_l,boot_pair,0,18,0.8617895273153005,0.9652554194433772,0.9541
clip_l,boot_pair,0,19,0.8447078122463121,0.9581649875922528,0.9354
clip_l,boot_pair,0,20,0.8551612967465297,0.9598551212344051,0.9342
clip_l,boot_pair,0,21,0.7472444760220482,0.9346517007134738,0.9288
clip_l,boot_pair,0,22,0.9449948663231583,0.9619960286933268,0.9394
clip_l,boot_pair,0,23,0.789927084030758,0.9515767650194801,0.9307
clip_l,boot_pair,0,24,0.8069813116285811,0.951121957434155,0.9303
clip_l,boot_pair,0,25,0.7325723892797318,0.9494834074255022,0.9239
clip_l,boot_pair,0,26,0.882987116131873,0.9630515680182283,0.9508
clip_l,boot_pair,0,27,0.8743675770965794,0.9595441503199175,0.9448
clip_l,boot_pair,0,28,0.8710152029073427,0.9690958549725178,0.9629
clip_l,boot_pair,0,29,0.8690798295447268,0.9617144756203672,0.9456
clip_l,boot_pair,1,2,0.92122266721569,0.9728245093412913,0.9615
clip_l,boot_pair,1,3,0.8105674502238784,0.9777890378259463,0.9776
clip_l,boot_pair,1,4,0.8332564886574362,0.9712669642022296,0.9554
clip_l,boot_pair,1,5,0.772153597858851,0.9697482538623151,0.9579
clip_l,boot_pair,1,6,0.7298528539519048,0.9709506083503625,0.9508
clip_l,boot_pair,1,7,0.8160041464171798,0.9756457002331539,0.9605
clip_l,boot_pair,1,8,0.8238544669471959,0.979338801129144,0.9728
clip_l,boot_pair,1,9,0.7304445228435104,0.9670793705684936,0.9571
clip_l,boot_pair,1,10,0.8340817971812635,0.9698833590637094,0.9663
clip_l,boot_pair,1,11,0.706801252831249,0.9685509360762454,0.9489
clip_l,boot_pair,1,12,0.7669147435949005,0.9680812970631136,0.958
clip_l,boot_pair,1,13,0.8109290945850911,0.9672989641412852,0.963
clip_l,boot_pair,1,14,0.7802351740589739,0.9679847067745003,0.9615
clip_l,boot_pair,1,15,0.8439838328763887,0.975182876527568,0.9626
clip_l,boot_pair,1,16,0.9319702198797789,0.9772835047687192,0.9689
clip_l,boot_pair,1,17,0.73108550259502,0.969574813126487,0.9656
clip_l,boot_pair,1,18,0.7670045898536288,0.9689194538343628,0.9593
clip_l,boot_pair,1,19,0.7651048441281283,0.9707671802048645,0.9493
clip_l,boot_pair,1,20,0.7782630561463441,0.9728634775711887,0.954
clip_l,boot_pair,1,21,0.802020035984739,0.9628336721404656,0.9557
clip_l,boot_pair,1,22,0.7204495368923264,0.9698916499103307,0.9514
clip_l,boot_pair,1,23,0.8101401188849178,0.9734343863993767,0.9646
clip_l,boot_pair,1,24,0.7628536379146362,0.9613735610753478,0.9438
clip_l,boot_pair,1,25,0.8589861688054313,0.9745204949108816,0.9587
clip_l,boot_pair,1,26,0.7437968687024434,0.9642948769650018,0.9564
clip_l,boot_pair,1,27,0.7382156387728953,0.9686618287923725,0.9571
clip_l,boot_pair,1,28,0.7535404694367697,0.9552859975118534,0.9407
clip_l,boot_pair,1,29,0.7628334983967328,0.9677628584370533,0.9596
clip_l,boot_pair,2,3,0.7946173143117005,0.975649920010445,0.9615
clip_l,boot_pair,2,4,0.8203295552510059,0.9727846348867034,0.9661
clip_l,boot_pair,2,5,0.7598427275678904,0.9687263013275549,0.9633
clip_l,boot_pair,2,6,0.7055116692258507,0.9668531602224683,0.9485
clip_l,boot_pair,2,7,0.7731781396749571,0.9725679291376773,0.9669
clip_l,boot_pair,2,8,0.8169642973577176,0.9791416841341032,0.9636
clip_l,boot_pair,2,9,0.7061723384969932,0.9630092906004054,0.9544
clip_l,boot_pair,2,10,0.8310793222042633,0.966008496412258,0.9477
clip_l,boot_pair,2,11,0.6780181685910254,0.9608284789169073,0.9415
clip_l,boot_pair,2,12,0.7476892217578457,0.964376856623948,0.9546
clip_l,boot_pair,2,13,0.7960713905462062,0.9609773840329172,0.9521
clip_l,boot_pair,2,14,0.7654159159614441,0.9755613455568981,0.9662
clip_l,boot_pair,2,15,0.8394842582447894,0.9691341268889977,0.9444
clip_l,boot_pair,2,16,0.937756783877083,0.9761249631312506,0.9778
clip_l,boot_pair,2,17,0.6947251008138928,0.9635900973003284,0.9527
clip_l,boot_pair,2,18,0.7533259538139094,0.965396919944957,0.9552
clip_l,boot_pair,2,19,0.7276662843103698,0.9599757669678299,0.945
