model,kind,a,b,ari_cut,coph_corr,triplet_agree
dinov2_b,boot_pair,0,1,0.6821866936076272,0.9269425091959971,0.8339
dinov2_b,boot_pair,0,2,0.635513375811959,0.940998766049395,0.891
dinov2_b,boot_pair,0,3,0.6857184490293067,0.936615382726759,0.8856
dinov2_b,boot_pair,0,4,0.4566955381681754,0.9121268169578647,0.8436
dinov2_b,boot_pair,0,5,0.5211868540658864,0.9221554137658425,0.8166
dinov2_b,boot_pair,0,6,0.7405731892512984,0.9345695237639162,0.8786
dinov2_b,boot_pair,0,7,0.59834176936628,0.9239171970568022,0.8544
dinov2_b,boot_pair,0,8,0.6759153761926824,0.9043906252952939,0.8552
dinov2_b,boot_pair,0,9,0.7154762433553499,0.9250631329733106,0.8432
dinov2_b,boot_pair,0,10,0.5140829916415411,0.9372698575308274,0.8571
dinov2_b,boot_pair,0,11,0.7018069226322471,0.9292350802384008,0.8862
dinov2_b,boot_pair,0,12,0.7561736898737332,0.9332419623020872,0.9079
dinov2_b,boot_pair,0,13,0.7785856306253353,0.9387246828942364,0.866
dinov2_b,boot_pair,0,14,0.6231608917671775,0.9299043235496308,0.8798
dinov2_b,boot_pair,0,15,0.6627191775850082,0.9296110185187865,0.8579
dinov2_b,boot_pair,0,16,0.7430773433747215,0.9260386898339651,0.836
dinov2_b,boot_pair,0,17,0.7633639713737734,0.9320439800474494,0.8376
dinov2_b,boot_pair,0,18,0.6510785334005529,0.9337395725465231,0.9157
dinov2_b,boot_pair,0,19,0.6993584359161311,0.9264101955609889,0.8933
dinov2_b,boot_pair,0,20,0.7141983962404238,0.9249356368169415,0.8629
dinov2_b,boot_pair,0,21,0.6832509742888022,0.9315082952619704,0.878
dinov2_b,boot_pair,0,22,0.5697251334335091,0.9289351709461033,0.9047
dinov2_b,boot_pair,0,23,0.6374384752829112,0.9188961877604859,0.8382
dinov2_b,boot_pair,0,24,0.7430901513324504,0.9290287498913989,0.887
dinov2_b,boot_pair,0,25,0.8064721173202122,0.9325667182400204,0.842
dinov2_b,boot_pair,0,26,0.6836697530498866,0.9290309029828989,0.8658
dinov2_b,boot_pair,0,27,0.6289221611640772,0.9308027014500051,0.8123
dinov2_b,boot_pair,0,28,0.7549911467376599,0.9256978430477611,0.8907
dinov2_b,boot_pair,0,29,0.7165568666025088,0.9206899432062481,0.8861
dinov2_b,boot_pair,1,2,0.6077799095685285,0.9236268145973355,0.856
dinov2_b,boot_pair,1,3,0.7195873352073807,0.9273189082957726,0.878
dinov2_b,boot_pair,1,4,0.5013736752792147,0.9151494834083898,0.843
dinov2_b,boot_pair,1,5,0.533416336576065,0.916923379384321,0.869
dinov2_b,boot_pair,1,6,0.6914537753079902,0.9221984143860797,0.8567
dinov2_b,boot_pair,1,7,0.6490381446374687,0.922577993427695,0.847
dinov2_b,boot_pair,1,8,0.6932343494559994,0.9210349533957015,0.845
dinov2_b,boot_pair,1,9,0.6709680430726666,0.9245342062993668,0.847
dinov2_b,boot_pair,1,10,0.44111774864022024,0.9213894017282128,0.8586
dinov2_b,boot_pair,1,11,0.7268275488049776,0.9204996600263061,0.8437
dinov2_b,boot_pair,1,12,0.6730954775382384,0.9288066649285976,0.8466
dinov2_b,boot_pair,1,13,0.7398100986656134,0.9245519185389229,0.8744
dinov2_b,boot_pair,1,14,0.727566935034382,0.9338862169044769,0.8741
dinov2_b,boot_pair,1,15,0.608894123967315,0.9321042292224356,0.8481
dinov2_b,boot_pair,1,16,0.7206294842441572,0.9262297052063319,0.8281
dinov2_b,boot_pair,1,17,0.7677700928308608,0.9326428173393021,0.8346
dinov2_b,boot_pair,1,18,0.6068056992096826,0.919547046923049,0.8308
dinov2_b,boot_pair,1,19,0.7260820500080868,0.9256415155306642,0.8773
dinov2_b,boot_pair,1,20,0.7321550760253535,0.9268985815365529,0.8748
dinov2_b,boot_pair,1,21,0.624265875505334,0.9244778805956213,0.8165
dinov2_b,boot_pair,1,22,0.6073995628117433,0.934112222048686,0.8593
dinov2_b,boot_pair,1,23,0.6819558768976773,0.9193552906394317,0.8272
dinov2_b,boot_pair,1,24,0.6258009887707188,0.9244313367889821,0.8555
dinov2_b,boot_pair,1,25,0.6754241943435341,0.9234202954975398,0.8173
dinov2_b,boot_pair,1,26,0.6790709138189911,0.9257953227646425,0.8315
dinov2_b,boot_pair,1,27,0.5952931393070419,0.9240451794574296,0.7885
dinov2_b,boot_pair,1,28,0.7183811803284276,0.9285614283513456,0.8436
dinov2_b,boot_pair,1,29,0.6437619040393436,0.9252019125280799,0.825
dinov2_b,boot_pair,2,3,0.600554616172935,0.9334750397415001,0.9144
dinov2_b,boot_pair,2,4,0.5191088470097327,0.920934267117024,0.8853
dinov2_b,boot_pair,2,5,0.5101406392330928,0.9187383920267029,0.863
dinov2_b,boot_pair,2,6,0.5865869844837334,0.9323641996400944,0.8516
dinov2_b,boot_pair,2,7,0.6109846359491299,0.9317767345147683,0.8823
dinov2_b,boot_pair,2,8,0.6862842756501685,0.9211198283497892,0.8955
dinov2_b,boot_pair,2,9,0.70269311246145,0.9309212086003272,0.8445
dinov2_b,boot_pair,2,10,0.5292941049160106,0.9197590084084468,0.8687
dinov2_b,boot_pair,2,11,0.6862897453674879,0.9318486854431086,0.8803
dinov2_b,boot_pair,2,12,0.6809297409766074,0.9346065667477779,0.8894
dinov2_b,boot_pair,2,13,0.6645316391326701,0.9408850824873976,0.9018
dinov2_b,boot_pair,2,14,0.5698319511500178,0.9303409350475609,0.919
dinov2_b,boot_pair,2,15,0.6045770643172595,0.9258428508089661,0.8525
dinov2_b,boot_pair,2,16,0.6645741432304648,0.9362572788908244,0.838
dinov2_b,boot_pair,2,17,0.6948127349468548,0.9412908051221153,0.8451
dinov2_b,boot_pair,2,18,0.722080667644602,0.9450921237067286,0.8915
dinov2_b,boot_pair,2,19,0.6197355200215223,0.9207550659815126,0.8692
dinov2_b,boot_pair,2,20,0.5718902061813703,0.9248591371876355,0.8699
dinov2_b,boot_pair,2,21,0.6964896635054937,0.9407731167204435,0.8793
dinov2_b,boot_pair,2,22,0.7208659212168478,0.9270948169840209,0.8873
dinov2_b,boot_pair,2,23,0.5924187462764839,0.9265807131888019,0.856
dinov2_b,boot_pair,2,24,0.6573237832557366,0.9355318127379859,0.9031
dinov2_b,boot_pair,2,25,0.6243252736172055,0.9319398590054646,0.8425
dinov2_b,boot_pair,2,26,0.6596164543548225,0.9308332459906193,0.8459
dinov2_b,boot_pair,2,27,0.622527997033981,0.9261343016287488,0.8255
dinov2_b,boot_pair,2,28,0.626241893223891,0.9319308013297352,0.8704
dinov2_b,boot_pair,2,29,0.6458505859602843,0.9302923557091264,0.8863
dinov2_b,boot_pair,3,4,0.5142121501283936,0.9267321959644478,0.8784
dinov2_b,boot_pair,3,5,0.5227126795057623,0.9296901290852471,0.8603
dinov2_b,boot_pair,3,6,0.7638855205155418,0.9382922005456508,0.8619
dinov2_b,boot_pair,3,7,0.7034773539559729,0.9375807888586113,0.8897
dinov2_b,boot_pair,3,8,0.6455878805785777,0.9166157672080469,0.8829
dinov2_b,boot_pair,3,9,0.6221348467918602,0.942400084520749,0.8467
dinov2_b,boot_pair,3,10,0.4391559259348546,0.9345868879191926,0.874
dinov2_b,boot_pair,3,11,0.6857653722843352,0.9409573050632271,0.8912
dinov2_b,boot_pair,3,12,0.7100871227998284,0.9364399285603184,0.8927
dinov2_b,boot_pair,3,13,0.7802478770802925,0.9457102840560826,0.9208
dinov2_b,boot_pair,3,14,0.7438756363203609,0.9353830259319053,0.9209
dinov2_b,boot_pair,3,15,0.7034736076870564,0.9400638834669697,0.8578
dinov2_b,boot_pair,3,16,0.7324516544357352,0.9412020841025124,0.848
dinov2_b,boot_pair,3,17,0.6965413743596778,0.9379846055574659,0.8473
dinov2_b,boot_pair,3,18,0.6752635457995018,0.9307699394479652,0.8861
dinov2_b,boot_pair,3,19,0.6702724005838654,0.9280088802773611,0.868
dinov2_b,boot_pair,3,20,0.7169288004373039,0.9350419662017951,0.8778
dinov2_b,boot_pair,3,21,0.6426066834908015,0.9473231796234525,0.8776
dinov2_b,boot_pair,3,22,0.5819981685922307,0.9296578180383076,0.8856
dinov2_b,boot_pair,3,23,0.6628738842860107,0.9304482145006544,0.8567
dinov2_b,boot_pair,3,24,0.727270468439765,0.9429534371236078,0.903
dinov2_b,boot_pair,3,25,0.7563799827833714,0.9397722134641716,0.8553
dinov2_b,boot_pair,3,26,0.7250056583346706,0.9377624634617456,0.8676
dinov2_b,boot_pair,3,27,0.6313529720952421,0.9341380233024222,0.8257
dinov2_b,boot_pair,3,28,0.8488805558989869,0.940091648273522,0.9058
dinov2_b,boot_pair,3,29,0.7340968753863891,0.9292726358403265,0.8783
dinov2_b,boot_pair,4,5,0.5785415972932471,0.9185560277034135,0.837
dinov2_b,boot_pair,4,6,0.4625197950987124,0.9215238706524632,0.8285
dinov2_b,boot_pair,4,7,0.5583168173782154,0.9235161656045165,0.8664
dinov2_b,boot_pair,4,8,0.5120294476516649,0.9227670612009554,0.875
dinov2_b,boot_pair,4,9,0.4483267218151635,0.9225525643917414,0.8095
dinov2_b,boot_pair,4,10,0.4911127068859773,0.922134428641092,0.8552
dinov2_b,boot_pair,4,11,0.5647247480427544,0.9300446621834032,0.8447
dinov2_b,boot_pair,4,12,0.4982218124108868,0.9347268700709461,0.8519
dinov2_b,boot_pair,4,13,0.5106012383880865,0.9351513264204406,0.8826
dinov2_b,boot_pair,4,14,0.4946950064187584,0.932010818660146,0.889
dinov2_b,boot_pair,4,15,0.4508831931462653,0.9314804455005881,0.8424
dinov2_b,boot_pair,4,16,0.488353284886476,0.933541451753286,0.8311
dinov2_b,boot_pair,4,17,0.5407697872271141,0.9296211435799568,0.8269
dinov2_b,boot_pair,4,18,0.4861174825702824,0.924966438115156,0.8524
dinov2_b,boot_pair,4,19,0.5164435339114127,0.9270376771154503,0.8391
dinov2_b,boot_pair,4,20,0.5127105121973417,0.9199974485361073,0.8288
dinov2_b,boot_pair,4,21,0.5096987074470941,0.9280481625463076,0.8482
dinov2_b,boot_pair,4,22,0.5135285243664356,0.9241142995083976,0.8439
dinov2_b,boot_pair,4,23,0.5857282494601576,0.9340444907156503,0.8326
dinov2_b,boot_pair,4,24,0.48669605055834264,0.9286769259889281,0.8674
