model,kind,a,b,ari_cut,coph_corr,triplet_agree
dinov2_g,boot_pair,0,1,0.7747516061564375,0.9531863205189876,0.9023
dinov2_g,boot_pair,0,2,0.7208775381324686,0.9374248560691965,0.8379
dinov2_g,boot_pair,0,3,0.8286512884550136,0.9523994323559529,0.8816
dinov2_g,boot_pair,0,4,0.8324530233502728,0.9526454831484819,0.8985
dinov2_g,boot_pair,0,5,0.8368754113548934,0.9498699631692104,0.8862
dinov2_g,boot_pair,0,6,0.7639779523486998,0.9437225113519556,0.8759
dinov2_g,boot_pair,0,7,0.7850747712110713,0.9414657102289368,0.8816
dinov2_g,boot_pair,0,8,0.8156951938848915,0.952139949846419,0.8903
dinov2_g,boot_pair,0,9,0.804509987206049,0.9628134496783272,0.8791
dinov2_g,boot_pair,0,10,0.8065849156784812,0.944813859143636,0.8693
dinov2_g,boot_pair,0,11,0.8087531248853589,0.9554825068738817,0.885
dinov2_g,boot_pair,0,12,0.8728067314074662,0.951274337513449,0.8841
dinov2_g,boot_pair,0,13,0.8646038434849034,0.953926819028631,0.8873
dinov2_g,boot_pair,0,14,0.8292400837534339,0.9515572888175969,0.8891
dinov2_g,boot_pair,0,15,0.8117610360894292,0.9528265413947111,0.8974
dinov2_g,boot_pair,0,16,0.7840901451001752,0.9580746619230138,0.8807
dinov2_g,boot_pair,0,17,0.836635534974871,0.9556745262572012,0.8952
dinov2_g,boot_pair,0,18,0.7533635785409639,0.9495326088421888,0.9095
dinov2_g,boot_pair,0,19,0.8239537099377235,0.9464191685307374,0.875
dinov2_g,boot_pair,0,20,0.708205408379933,0.9480431810395493,0.887
dinov2_g,boot_pair,0,21,0.8692936879498951,0.958259692782757,0.917
dinov2_g,boot_pair,0,22,0.7559371596522405,0.9517965486175121,0.873
dinov2_g,boot_pair,0,23,0.8697625427464749,0.95813024138073,0.8672
dinov2_g,boot_pair,0,24,0.8332221088775781,0.9441011185023036,0.8683
dinov2_g,boot_pair,0,25,0.7778932581537493,0.9523695338200153,0.8457
dinov2_g,boot_pair,0,26,0.6525158774408502,0.9531669519929337,0.8686
dinov2_g,boot_pair,0,27,0.7785537158734536,0.9469863842958902,0.8793
dinov2_g,boot_pair,0,28,0.7516254733135668,0.9530811938276345,0.9054
dinov2_g,boot_pair,0,29,0.8496381137844529,0.9494782725276681,0.883
dinov2_g,boot_pair,1,2,0.7027739395543583,0.9400462589979004,0.871
dinov2_g,boot_pair,1,3,0.7243702617465968,0.9506140749829434,0.9157
dinov2_g,boot_pair,1,4,0.7387693898128574,0.9529804856636515,0.9159
dinov2_g,boot_pair,1,5,0.7450855942434492,0.9390825671259999,0.8872
dinov2_g,boot_pair,1,6,0.793759409877299,0.9386053312028567,0.8907
dinov2_g,boot_pair,1,7,0.706475640880494,0.9481687323961113,0.9012
dinov2_g,boot_pair,1,8,0.7751922219912438,0.9462802991750943,0.9244
dinov2_g,boot_pair,1,9,0.74793265650968,0.952448804241252,0.8642
dinov2_g,boot_pair,1,10,0.7095052015764014,0.9480622978190293,0.8888
dinov2_g,boot_pair,1,11,0.7345370663199009,0.9541555606470504,0.9046
dinov2_g,boot_pair,1,12,0.7589944572782957,0.9574228064396539,0.9009
dinov2_g,boot_pair,1,13,0.7454095615706583,0.9523031876429942,0.9213
dinov2_g,boot_pair,1,14,0.7255063534884739,0.9488841786279013,0.8942
dinov2_g,boot_pair,1,15,0.8365451091129369,0.9487877457320015,0.9091
dinov2_g,boot_pair,1,16,0.7879085423147814,0.9479452023176125,0.895
dinov2_g,boot_pair,1,17,0.6984950519938594,0.949283608417047,0.9071
dinov2_g,boot_pair,1,18,0.8307740220406413,0.9574068439850638,0.9187
