model,kind,a,b,ari_cut,coph_corr,triplet_agree
dinov2_s,boot_pair,0,1,0.6453610095818567,0.9031360925003767,0.8049
dinov2_s,boot_pair,0,2,0.5715734079102984,0.898216496097657,0.8996
dinov2_s,boot_pair,0,3,0.6477879139956313,0.8918079424637702,0.8964
dinov2_s,boot_pair,0,4,0.5787310491335552,0.9040893057446846,0.8746
dinov2_s,boot_pair,0,5,0.6583964845109787,0.8890816052672824,0.8611
dinov2_s,boot_pair,0,6,0.7566503476518107,0.911006916528681,0.9025
dinov2_s,boot_pair,0,7,0.669074023472831,0.897385164030597,0.8493
dinov2_s,boot_pair,0,8,0.6783269560759146,0.9168665545316664,0.9331
dinov2_s,boot_pair,0,9,0.6330832779984963,0.9013005484327375,0.8952
dinov2_s,boot_pair,0,10,0.6170339972315342,0.8952386567670151,0.8779
dinov2_s,boot_pair,0,11,0.6145813447123246,0.8843315907278121,0.8672
dinov2_s,boot_pair,0,12,0.5567522989571538,0.891908204169644,0.8429
dinov2_s,boot_pair,0,13,0.649407038602694,0.900295870777709,0.8381
dinov2_s,boot_pair,0,14,0.6615600389116707,0.8961354532952156,0.8386
dinov2_s,boot_pair,0,15,0.7377832070942419,0.9133715454426085,0.8908
dinov2_s,boot_pair,0,16,0.6164317679337948,0.8992070924604887,0.8724
dinov2_s,boot_pair,0,17,0.6198121653222752,0.9027998771761184,0.8755
dinov2_s,boot_pair,0,18,0.584825520129746,0.9023451373645182,0.806
dinov2_s,boot_pair,0,19,0.6880313442833116,0.9065125653223987,0.8982
dinov2_s,boot_pair,0,20,0.6571733263895984,0.9102520022645575,0.8565
dinov2_s,boot_pair,0,21,0.6082211202201986,0.9021551125582198,0.8865
dinov2_s,boot_pair,0,22,0.6699530201546351,0.899030994247348,0.8168
dinov2_s,boot_pair,0,23,0.7032381461094688,0.9039506569615013,0.8924
dinov2_s,boot_pair,0,24,0.5775680039485545,0.8991424912719845,0.7962
dinov2_s,boot_pair,0,25,0.6075578511691212,0.9101903141553008,0.7694
dinov2_s,boot_pair,0,26,0.6638477409947682,0.8880119144259583,0.901
dinov2_s,boot_pair,0,27,0.7247954694380353,0.9084606615991309,0.9166
dinov2_s,boot_pair,0,28,0.5944240912103272,0.8939601738605472,0.9031
dinov2_s,boot_pair,0,29,0.5841540224435791,0.901358952524742,0.8712
dinov2_s,boot_pair,1,2,0.7033493553684254,0.9170670050846967,0.8035
dinov2_s,boot_pair,1,3,0.7921660288263593,0.9356453840568946,0.8202
dinov2_s,boot_pair,1,4,0.6702863407494226,0.9181780067896282,0.7978
dinov2_s,boot_pair,1,5,0.6550050333587467,0.9119136072809566,0.8022
dinov2_s,boot_pair,1,6,0.724196954711309,0.9253133123927361,0.8103
dinov2_s,boot_pair,1,7,0.6207529496387333,0.9034443037185228,0.8353
dinov2_s,boot_pair,1,8,0.6983720466023327,0.9229060898068985,0.8036
dinov2_s,boot_pair,1,9,0.7158731285504972,0.9068834604871857,0.7993
dinov2_s,boot_pair,1,10,0.7246066453862356,0.9187339471823004,0.8397
dinov2_s,boot_pair,1,11,0.6099776722989705,0.8919709599834101,0.7749
dinov2_s,boot_pair,1,12,0.6246231204619264,0.9094171552494796,0.7598
dinov2_s,boot_pair,1,13,0.6827480078522189,0.9186842611134136,0.8535
dinov2_s,boot_pair,1,14,0.7490519136574179,0.9320934514000727,0.8746
dinov2_s,boot_pair,1,15,0.7040366038035485,0.9085713146856192,0.8277
dinov2_s,boot_pair,1,16,0.7335089386313498,0.9178276323553257,0.8293
dinov2_s,boot_pair,1,17,0.6703551158021428,0.9235423777310562,0.8237
dinov2_s,boot_pair,1,18,0.7163128484489347,0.9192823004293991,0.8575
dinov2_s,boot_pair,1,19,0.681355421373209,0.9180171790557797,0.8146
dinov2_s,boot_pair,1,20,0.7183553580293701,0.9219617275017126,0.7956
dinov2_s,boot_pair,1,21,0.6540856872039629,0.9132736545929949,0.7758
dinov2_s,boot_pair,1,22,0.6966763589023616,0.9142600174822062,0.9013
dinov2_s,boot_pair,1,23,0.7246389046541153,0.9046451980699829,0.7968
dinov2_s,boot_pair,1,24,0.6534713294032954,0.9265200252044505,0.8796
dinov2_s,boot_pair,1,25,0.6613518079603053,0.9118462260661107,0.694
dinov2_s,boot_pair,1,26,0.6830695791721735,0.9098344661194142,0.8038
dinov2_s,boot_pair,1,27,0.711776993302327,0.9168698474584469,0.8127
dinov2_s,boot_pair,1,28,0.7113032972185298,0.9284901610364632,0.8099
dinov2_s,boot_pair,1,29,0.7008878222289375,0.9158536123340467,0.8294
dinov2_s,boot_pair,2,3,0.6649958902354463,0.9104897406570217,0.9207
dinov2_s,boot_pair,2,4,0.6998600252857639,0.9064516047394877,0.9165
dinov2_s,boot_pair,2,5,0.6179851906111846,0.9032127711364208,0.8791
dinov2_s,boot_pair,2,6,0.6316208088793439,0.9113803724141053,0.9067
dinov2_s,boot_pair,2,7,0.6080007657662502,0.9109250472030377,0.8713
dinov2_s,boot_pair,2,8,0.6904552379698539,0.9171022258252819,0.9271
dinov2_s,boot_pair,2,9,0.7037923486945639,0.9122161088855919,0.9073
dinov2_s,boot_pair,2,10,0.7289184219725048,0.9063227097754623,0.9049
dinov2_s,boot_pair,2,11,0.5667388366496574,0.8922239703984695,0.88
dinov2_s,boot_pair,2,12,0.6663156079554636,0.9015958216402499,0.8828
dinov2_s,boot_pair,2,13,0.695749555076178,0.9207117786047097,0.8362
dinov2_s,boot_pair,2,14,0.6788567158739588,0.9111670739706784,0.8512
dinov2_s,boot_pair,2,15,0.6617886150763832,0.9071274681540801,0.9035
dinov2_s,boot_pair,2,16,0.6462141523497794,0.9059305746014447,0.8787
dinov2_s,boot_pair,2,17,0.6659595077809127,0.9169765862921161,0.8941
dinov2_s,boot_pair,2,18,0.697317902429659,0.9095053506753016,0.8255
dinov2_s,boot_pair,2,19,0.6015409940594227,0.9029641824084796,0.8976
dinov2_s,boot_pair,2,20,0.6295017218521589,0.8940562440728408,0.8654
dinov2_s,boot_pair,2,21,0.6070672322889127,0.9121444953540107,0.8886
dinov2_s,boot_pair,2,22,0.6064322664476557,0.8998782175194482,0.8236
dinov2_s,boot_pair,2,23,0.6116518963808814,0.9000073173988439,0.8852
dinov2_s,boot_pair,2,24,0.7646290545152159,0.9214204557985495,0.812
dinov2_s,boot_pair,2,25,0.6925185085301945,0.905038698965387,0.79
dinov2_s,boot_pair,2,26,0.6241579771809257,0.9097873590822885,0.9172
dinov2_s,boot_pair,2,27,0.5859380810292171,0.9070146896260496,0.9104
dinov2_s,boot_pair,2,28,0.7653053264597468,0.9154453842185497,0.9192
dinov2_s,boot_pair,2,29,0.6469072580318798,0.8995136991951173,0.8892
dinov2_s,boot_pair,3,4,0.6836485952041552,0.9152822480151709,0.9336
dinov2_s,boot_pair,3,5,0.6102616772592229,0.8994861844197537,0.8793
dinov2_s,boot_pair,3,6,0.6916933500562094,0.9155013090705993,0.9133
dinov2_s,boot_pair,3,7,0.6627099540355536,0.9051349209438909,0.8606
dinov2_s,boot_pair,3,8,0.7007111297849348,0.9172088418419115,0.916
dinov2_s,boot_pair,3,9,0.6600565547198106,0.8997329434065515,0.9239
dinov2_s,boot_pair,3,10,0.6913327168039126,0.9131942671416869,0.9058
dinov2_s,boot_pair,3,11,0.6019495206305692,0.8911266954642566,0.8934
dinov2_s,boot_pair,3,12,0.6462937787605751,0.9113996025684507,0.8755
dinov2_s,boot_pair,3,13,0.6488871107459153,0.9166131531815882,0.8507
dinov2_s,boot_pair,3,14,0.7483057487561677,0.9221782911965567,0.862
dinov2_s,boot_pair,3,15,0.693696528622201,0.9082740533115271,0.9054
dinov2_s,boot_pair,3,16,0.6662033169137574,0.8997872769116101,0.89
dinov2_s,boot_pair,3,17,0.6491840949445848,0.9161532864188844,0.8883
