model,kind,a,b,ari_cut,coph_corr,triplet_agree
i21k_b,boot_pair,0,1,0.9572980256930915,0.9468467328002237,0.908
i21k_b,boot_pair,0,2,0.96090225425392,0.9521728504668767,0.9215
i21k_b,boot_pair,0,3,0.9528892070196708,0.9285398283692539,0.8753
i21k_b,boot_pair,0,4,0.9508293521379205,0.9325229470185208,0.8836
i21k_b,boot_pair,0,5,0.9484084033111778,0.9344414176947569,0.8837
i21k_b,boot_pair,0,6,0.9488397589970422,0.9333588615583436,0.8788
i21k_b,boot_pair,0,7,0.9550046118941734,0.9512105277233909,0.8644
i21k_b,boot_pair,0,8,0.9561744073070985,0.9456131427758975,0.8781
i21k_b,boot_pair,0,9,0.9540614822694071,0.9320579161717287,0.8184
i21k_b,boot_pair,0,10,0.9373387955765916,0.9346438703936049,0.9037
i21k_b,boot_pair,0,11,0.9644632801384948,0.9579060248000485,0.9258
i21k_b,boot_pair,0,12,0.9507866994954851,0.9297921381621005,0.8174
i21k_b,boot_pair,0,13,0.9390387131329254,0.9457809117216691,0.9034
i21k_b,boot_pair,0,14,0.9456734468625109,0.9262536119735332,0.8714
i21k_b,boot_pair,0,15,0.9577325313427698,0.9147789121243566,0.778
i21k_b,boot_pair,0,16,0.9281058502986842,0.9354752026565089,0.8922
i21k_b,boot_pair,0,17,0.9541570785528252,0.9391436606729351,0.8362
i21k_b,boot_pair,0,18,0.9481489916513963,0.9479214650455123,0.8511
i21k_b,boot_pair,0,19,0.9312908636566675,0.9254689565285873,0.8171
i21k_b,boot_pair,0,20,0.9286488593051362,0.9393619756056453,0.8754
i21k_b,boot_pair,0,21,0.9550767016753989,0.9554685598242757,0.8732
i21k_b,boot_pair,0,22,0.9570948377835115,0.9479726288909759,0.9013
i21k_b,boot_pair,0,23,0.9538132938089743,0.9487734165230353,0.9098
i21k_b,boot_pair,0,24,0.9318746719896419,0.9328559731067833,0.8814
i21k_b,boot_pair,0,25,0.9649922051989368,0.945803671710746,0.8554
i21k_b,boot_pair,0,26,0.9425080934435478,0.9484433110763928,0.851
i21k_b,boot_pair,0,27,0.9454179239823653,0.9496863046429762,0.8678
i21k_b,boot_pair,0,28,0.94520164485451,0.9422855172453051,0.9037
i21k_b,boot_pair,0,29,0.946599031477557,0.9457686677725384,0.9145
i21k_b,boot_pair,1,2,0.9671062530574182,0.9680434379648812,0.9423
i21k_b,boot_pair,1,3,0.9453447561710726,0.9194732903973203,0.867
i21k_b,boot_pair,1,4,0.9527301816318513,0.9408556454082617,0.889
i21k_b,boot_pair,1,5,0.9447467980986016,0.9416919378738964,0.8999
i21k_b,boot_pair,1,6,0.9600908812691877,0.9377797946755989,0.8789
i21k_b,boot_pair,1,7,0.9559543647406462,0.9619363878129521,0.8849
i21k_b,boot_pair,1,8,0.9496095020554562,0.931217802639845,0.8642
i21k_b,boot_pair,1,9,0.9560545548229633,0.9396600852822328,0.8398
i21k_b,boot_pair,1,10,0.9424074871992402,0.943468932857999,0.9101
i21k_b,boot_pair,1,11,0.970737218349373,0.9641938435481654,0.9363
i21k_b,boot_pair,1,12,0.9549804828248089,0.9280211809002561,0.82
i21k_b,boot_pair,1,13,0.9287445969804956,0.9605286356139647,0.936
i21k_b,boot_pair,1,14,0.9530220728960195,0.9278709861401129,0.8667
i21k_b,boot_pair,1,15,0.9601574847837068,0.922968278869658,0.8007
i21k_b,boot_pair,1,16,0.9322463525906157,0.9603556951512848,0.9284
i21k_b,boot_pair,1,17,0.9646815936314153,0.9592390748086885,0.8627
i21k_b,boot_pair,1,18,0.9500774330884786,0.9449510939318649,0.8523
i21k_b,boot_pair,1,19,0.9549245750292068,0.9495942292544225,0.8645
i21k_b,boot_pair,1,20,0.9381986368222609,0.9307011144172187,0.8663
i21k_b,boot_pair,1,21,0.9526251287130253,0.939504229767481,0.8482
i21k_b,boot_pair,1,22,0.9531093896124582,0.9579697387980319,0.9274
i21k_b,boot_pair,1,23,0.9493948954422939,0.9703376543857941,0.9458
i21k_b,boot_pair,1,24,0.9330873647117949,0.9344551334903565,0.8938
i21k_b,boot_pair,1,25,0.9538948839271028,0.9433867241248098,0.8559
i21k_b,boot_pair,1,26,0.9544905839327106,0.9659143869075107,0.8824
i21k_b,boot_pair,1,27,0.9403051942229279,0.9445844264897898,0.8527
i21k_b,boot_pair,1,28,0.9361646479698319,0.9418661812658272,0.8954
i21k_b,boot_pair,1,29,0.9505915058766212,0.9575426678255411,0.9242
i21k_b,boot_pair,2,3,0.9427423975400723,0.930322768963115,0.875
i21k_b,boot_pair,2,4,0.9556322652849424,0.942809096868006,0.9076
i21k_b,boot_pair,2,5,0.9414220209830428,0.9374802919551734,0.8861
i21k_b,boot_pair,2,6,0.950202359827069,0.9307311971871638,0.8771
i21k_b,boot_pair,2,7,0.9417225670947807,0.9562113455311015,0.8727
i21k_b,boot_pair,2,8,0.9393982807613964,0.9274848113766252,0.8544
i21k_b,boot_pair,2,9,0.9575679680268954,0.9394383143045877,0.8428
i21k_b,boot_pair,2,10,0.9246775036386472,0.9312515262287436,0.8934
i21k_b,boot_pair,2,11,0.9554691879421708,0.9604484678962358,0.9184
i21k_b,boot_pair,2,12,0.9466747474391841,0.9313658443320105,0.817
i21k_b,boot_pair,2,13,0.9343310310670581,0.9615716338617116,0.9333
i21k_b,boot_pair,2,14,0.9539017935137162,0.9364906707290604,0.8828
i21k_b,boot_pair,2,15,0.945847564088459,0.9096430558589993,0.788
i21k_b,boot_pair,2,16,0.9213525299533993,0.9558021816142611,0.9323
i21k_b,boot_pair,2,17,0.9597695060156278,0.9579270858379481,0.8584
i21k_b,boot_pair,2,18,0.9438300938772693,0.9398565582210144,0.8427
i21k_b,boot_pair,2,19,0.9522156202040382,0.9403867831064874,0.8487
i21k_b,boot_pair,2,20,0.9275119395276819,0.9328642336687255,0.8742
i21k_b,boot_pair,2,21,0.9426093174666093,0.9372458233528604,0.8399
i21k_b,boot_pair,2,22,0.9450901411037346,0.9575425240452363,0.9307
i21k_b,boot_pair,2,23,0.9405505972633239,0.9593208630312771,0.9316
i21k_b,boot_pair,2,24,0.9225551716545617,0.9358659590183402,0.8848
i21k_b,boot_pair,2,25,0.9509644837837578,0.9509092884846135,0.8596
i21k_b,boot_pair,2,26,0.9452755779704447,0.9662883094631931,0.8788
i21k_b,boot_pair,2,27,0.9484970558857752,0.9508535955401269,0.859
i21k_b,boot_pair,2,28,0.9463203538359579,0.9506755169231517,0.9142
i21k_b,boot_pair,2,29,0.9514670707919003,0.9528053557333469,0.9344
i21k_b,boot_pair,3,4,0.9356265872212333,0.9412145411632863,0.9007
i21k_b,boot_pair,3,5,0.9337897479113816,0.947309407975181,0.9276
i21k_b,boot_pair,3,6,0.938829729926452,0.9369682652175052,0.8852
i21k_b,boot_pair,3,7,0.9483426691825606,0.9349199516490067,0.8426
i21k_b,boot_pair,3,8,0.9473214582301203,0.9155507447185358,0.8074
i21k_b,boot_pair,3,9,0.9560018103271978,0.9643639052904737,0.8978
i21k_b,boot_pair,3,10,0.9344309419135283,0.9131529135573734,0.8631
i21k_b,boot_pair,3,11,0.9484923074554944,0.932497381872837,0.8981
i21k_b,boot_pair,3,12,0.9434318213325645,0.9482457989105463,0.8623
i21k_b,boot_pair,3,13,0.9353970852422888,0.9236811799143541,0.8747
i21k_b,boot_pair,3,14,0.9413395181835243,0.9550702501578716,0.9211
i21k_b,boot_pair,3,15,0.939819063620909,0.9152709999801679,0.7577
i21k_b,boot_pair,3,16,0.9238755033138033,0.921775774206141,0.8716
i21k_b,boot_pair,3,17,0.9484110502863159,0.9253167942376315,0.8356
i21k_b,boot_pair,3,18,0.9430216882148937,0.9237394613295796,0.8098
i21k_b,boot_pair,3,19,0.9336953798503149,0.9086172867133677,0.7912
i21k_b,boot_pair,3,20,0.9161499108239252,0.9410477886043551,0.8561
i21k_b,boot_pair,3,21,0.937991130122269,0.9151633831802012,0.7971
i21k_b,boot_pair,3,22,0.9404477259267164,0.9217725074298073,0.8488
i21k_b,boot_pair,3,23,0.945239405663112,0.9258703925780347,0.8846
i21k_b,boot_pair,3,24,0.9196998467987948,0.9583303172078086,0.9267
i21k_b,boot_pair,3,25,0.952978900167327,0.9245373721526956,0.8212
i21k_b,boot_pair,3,26,0.9376698345686194,0.9218902561328931,0.8186
i21k_b,boot_pair,3,27,0.9273071307328875,0.9183974537820854,0.8164
i21k_b,boot_pair,3,28,0.9342247605632049,0.9441000477198935,0.9068
i21k_b,boot_pair,3,29,0.9340407588438916,0.9225545736101877,0.856
i21k_b,boot_pair,4,5,0.9406605519620993,0.9554470217740951,0.9248
i21k_b,boot_pair,4,6,0.9457664283490838,0.9437160389686168,0.8957
i21k_b,boot_pair,4,7,0.9452358380964003,0.9420591603244718,0.8478
