model,kind,a,b,ari_cut,coph_corr,triplet_agree
i21k_l,boot_pair,0,1,0.7963059827866952,0.9586709669981145,0.9535
i21k_l,boot_pair,0,2,0.744901327200639,0.9605504144690422,0.9618
i21k_l,boot_pair,0,3,0.8253625618020388,0.964352322592706,0.9638
i21k_l,boot_pair,0,4,0.8843511577981379,0.9642386138253328,0.9638
i21k_l,boot_pair,0,5,0.8705471733634793,0.954940945358106,0.9596
i21k_l,boot_pair,0,6,0.8878250476527265,0.962131696229461,0.9603
i21k_l,boot_pair,0,7,0.8797190156610031,0.9632245724303936,0.9627
i21k_l,boot_pair,0,8,0.8555335394096683,0.9627768133789822,0.9665
i21k_l,boot_pair,0,9,0.7702760962947937,0.9642629473844657,0.9687
i21k_l,boot_pair,0,10,0.857304118107697,0.9669217543047346,0.9727
i21k_l,boot_pair,0,11,0.9364229414014567,0.9729515953079251,0.9762
i21k_l,boot_pair,0,12,0.8352721398338979,0.9590120405256913,0.9645
i21k_l,boot_pair,0,13,0.9240974670437294,0.9539021768799495,0.9539
i21k_l,boot_pair,0,14,0.905649319573871,0.9530938228246766,0.9581
i21k_l,boot_pair,0,15,0.8723337146662484,0.9596517290443788,0.9606
i21k_l,boot_pair,0,16,0.8649459967960141,0.9603813298920238,0.9576
i21k_l,boot_pair,0,17,0.8822165201823046,0.9577758321422128,0.9615
i21k_l,boot_pair,0,18,0.7640948172395698,0.9516399886897018,0.9528
i21k_l,boot_pair,0,19,0.8409512950721741,0.9590901018795273,0.96
i21k_l,boot_pair,0,20,0.8811534722486574,0.9626401178732168,0.9646
i21k_l,boot_pair,0,21,0.8897301164993925,0.9593283315551139,0.9597
i21k_l,boot_pair,0,22,0.8861294180318823,0.9558777162474265,0.9549
i21k_l,boot_pair,0,23,0.7554777771088165,0.9445561706103993,0.9458
i21k_l,boot_pair,0,24,0.7707161827355086,0.9398838664534798,0.8821
i21k_l,boot_pair,0,25,0.869248166588769,0.9604822811929453,0.9639
i21k_l,boot_pair,0,26,0.7736875018470616,0.9560172885365293,0.9612
i21k_l,boot_pair,0,27,0.8860654282023249,0.9583401653468704,0.9585
i21k_l,boot_pair,0,28,0.8837519235613628,0.9587842002687033,0.9614
i21k_l,boot_pair,0,29,0.913714847678525,0.9664705939647309,0.9647
i21k_l,boot_pair,1,2,0.8507890394163383,0.9436251264659878,0.945
