model,kind,a,b,ari_cut,coph_corr,triplet_agree
i21k_s,boot_pair,0,1,0.8626242984061331,0.9630734663673962,0.9568
i21k_s,boot_pair,0,2,0.852272734791283,0.9303452990026707,0.8744
i21k_s,boot_pair,0,3,0.8314740074459547,0.9342902166563031,0.8793
i21k_s,boot_pair,0,4,0.7986261082199025,0.917302653862778,0.7272
i21k_s,boot_pair,0,5,0.8401296075696736,0.9353953075233943,0.8721
i21k_s,boot_pair,0,6,0.8596288588795953,0.9455423033331967,0.8943
i21k_s,boot_pair,0,7,0.809290853392276,0.9372377387771986,0.894
i21k_s,boot_pair,0,8,0.7925727140650556,0.9333329923655221,0.8726
i21k_s,boot_pair,0,9,0.9105006148894088,0.9647598177078262,0.9566
i21k_s,boot_pair,0,10,0.8946815262588518,0.9433371989443282,0.9211
i21k_s,boot_pair,0,11,0.5980860515030925,0.9134050280741144,0.7153
i21k_s,boot_pair,0,12,0.8459915498349495,0.9211218533483,0.7201
i21k_s,boot_pair,0,13,0.9004734005045656,0.9565235668540711,0.9561
i21k_s,boot_pair,0,14,0.8306131964674869,0.9439447777894052,0.8867
i21k_s,boot_pair,0,15,0.9063095813305934,0.9495638638181825,0.9407
i21k_s,boot_pair,0,16,0.8590129354468468,0.9435390645063789,0.8818
i21k_s,boot_pair,0,17,0.8696726110808395,0.9447858782740256,0.8856
i21k_s,boot_pair,0,18,0.8268231823132267,0.938661548086744,0.8895
i21k_s,boot_pair,0,19,0.8144391566168199,0.9275903686409717,0.8623
i21k_s,boot_pair,0,20,0.8683843478213804,0.9550638295696344,0.9449
i21k_s,boot_pair,0,21,0.8562585376456324,0.9505861362612857,0.9441
i21k_s,boot_pair,0,22,0.8377327216332481,0.9374993598616396,0.8817
i21k_s,boot_pair,0,23,0.8465787454123339,0.939251999168922,0.8845
i21k_s,boot_pair,0,24,0.835430940298133,0.9445336202934177,0.8886
i21k_s,boot_pair,0,25,0.6914816404674843,0.9537279159271764,0.9449
i21k_s,boot_pair,0,26,0.9006679987712073,0.9488050332266851,0.9382
i21k_s,boot_pair,0,27,0.6219355353115547,0.9440979477137273,0.888
i21k_s,boot_pair,0,28,0.6851881334299098,0.9454384575189244,0.9324
i21k_s,boot_pair,0,29,0.6117417489281929,0.9342052365269593,0.8767
i21k_s,boot_pair,1,2,0.7970093434832263,0.9372999700246162,0.8722
i21k_s,boot_pair,1,3,0.834841212203453,0.931598991254389,0.8785
i21k_s,boot_pair,1,4,0.8355366946417568,0.9202357954158155,0.7233
i21k_s,boot_pair,1,5,0.8549496295087623,0.9385090356094098,0.882
i21k_s,boot_pair,1,6,0.8680492491539076,0.937258767779795,0.873
i21k_s,boot_pair,1,7,0.8521002417632765,0.9302350469643386,0.8717
i21k_s,boot_pair,1,8,0.8408892287112212,0.9324452639921837,0.8699
i21k_s,boot_pair,1,9,0.8612535572429799,0.957941347191135,0.9464
i21k_s,boot_pair,1,10,0.8487425938999146,0.94877382985636,0.9312
i21k_s,boot_pair,1,11,0.5946453814867426,0.9090835982753391,0.7114
i21k_s,boot_pair,1,12,0.8000147997481203,0.920071075622693,0.7121
i21k_s,boot_pair,1,13,0.8498338529337154,0.9599342359172275,0.9454
i21k_s,boot_pair,1,14,0.8602019443949449,0.9441064337648333,0.8902
i21k_s,boot_pair,1,15,0.8698618444894473,0.9627420276311274,0.9525
i21k_s,boot_pair,1,16,0.7975394155600078,0.9334311099519111,0.8717
i21k_s,boot_pair,1,17,0.888963579131705,0.9394210987067326,0.8803
i21k_s,boot_pair,1,18,0.8295966815039331,0.9405518758433027,0.8924
i21k_s,boot_pair,1,19,0.8630447067243071,0.932649517643078,0.8606
i21k_s,boot_pair,1,20,0.8841638466933889,0.9434597545182715,0.9302
i21k_s,boot_pair,1,21,0.8982463758103737,0.9608289806820476,0.9469
i21k_s,boot_pair,1,22,0.8471901653840781,0.9419925970433248,0.8892
i21k_s,boot_pair,1,23,0.7840607783917013,0.9273992690109663,0.8734
i21k_s,boot_pair,1,24,0.8545148158453464,0.9397363916412471,0.8796
i21k_s,boot_pair,1,25,0.6238999332985403,0.9341622401210552,0.9144
i21k_s,boot_pair,1,26,0.8651062265500921,0.955173389707448,0.9363
i21k_s,boot_pair,1,27,0.6039926408749505,0.9329936484320783,0.885
i21k_s,boot_pair,1,28,0.6239699154961887,0.9498489916857041,0.9332
i21k_s,boot_pair,1,29,0.6230078028044442,0.927593044455211,0.8768
i21k_s,boot_pair,2,3,0.841663388522936,0.9480212971361601,0.951
i21k_s,boot_pair,2,4,0.8555408630573298,0.9476897278706752,0.7587
i21k_s,boot_pair,2,5,0.8703874943314154,0.9646653975849455,0.9605
i21k_s,boot_pair,2,6,0.7876225691657325,0.9315809645806158,0.9272
i21k_s,boot_pair,2,7,0.8608729545085406,0.960820029237488,0.9556
i21k_s,boot_pair,2,8,0.8258079520801704,0.9552708507888013,0.949
i21k_s,boot_pair,2,9,0.8295209321721103,0.9333253215343296,0.8836
i21k_s,boot_pair,2,10,0.8581237427839434,0.9315123110049092,0.878
i21k_s,boot_pair,2,11,0.6296528318661643,0.9318354468298483,0.7468
i21k_s,boot_pair,2,12,0.9436464096365796,0.9522727756453738,0.7539
i21k_s,boot_pair,2,13,0.8641447130917689,0.9395722504966372,0.8768
i21k_s,boot_pair,2,14,0.8590934450358192,0.9550799680117327,0.9458
i21k_s,boot_pair,2,15,0.8620219854742215,0.9369230150885073,0.8875
i21k_s,boot_pair,2,16,0.9017056803234764,0.9487516050199952,0.9456
i21k_s,boot_pair,2,17,0.7919061727150237,0.9381877776733365,0.9392
i21k_s,boot_pair,2,18,0.8831688006854114,0.9549421033259227,0.9524
i21k_s,boot_pair,2,19,0.856687472411409,0.9528961462141641,0.9459
i21k_s,boot_pair,2,20,0.8089623613489638,0.9331870210452576,0.889
i21k_s,boot_pair,2,21,0.8084245428178465,0.9443634045114596,0.8921
i21k_s,boot_pair,2,22,0.8699700884405187,0.9591517327639109,0.9488
i21k_s,boot_pair,2,23,0.9106212082855517,0.9500446675267443,0.9414
i21k_s,boot_pair,2,24,0.8519908581211654,0.9616093892561888,0.9528
i21k_s,boot_pair,2,25,0.629727124151972,0.9137721638109461,0.8548
i21k_s,boot_pair,2,26,0.8632960539119555,0.9493560352990917,0.9071
i21k_s,boot_pair,2,27,0.642984018208383,0.9551715600756349,0.9532
i21k_s,boot_pair,2,28,0.6523967204807842,0.9298107080119193,0.8616
i21k_s,boot_pair,2,29,0.626124662895259,0.9392559996231478,0.9389
i21k_s,boot_pair,3,4,0.879772016193202,0.9329305771115856,0.7466
i21k_s,boot_pair,3,5,0.9234901409439659,0.9593950647739292,0.962
i21k_s,boot_pair,3,6,0.8480307572696663,0.9278009394161026,0.9161
i21k_s,boot_pair,3,7,0.8938884246806436,0.9447155517090507,0.9399
i21k_s,boot_pair,3,8,0.8743979190340933,0.9492505377729142,0.9377
i21k_s,boot_pair,3,9,0.8331525669672822,0.9398432427960642,0.8815
i21k_s,boot_pair,3,10,0.8465469988631523,0.9419013361628161,0.8848
i21k_s,boot_pair,3,11,0.6794764000780211,0.9283159269449507,0.7357
i21k_s,boot_pair,3,12,0.8657938112138516,0.9467367928477136,0.7469
i21k_s,boot_pair,3,13,0.8284511053569195,0.9332356997834987,0.8791
i21k_s,boot_pair,3,14,0.9104929849339293,0.9474914670560299,0.9311
i21k_s,boot_pair,3,15,0.8154430431609696,0.9313991468144083,0.8817
i21k_s,boot_pair,3,16,0.8747956926598882,0.9578901170281654,0.9478
i21k_s,boot_pair,3,17,0.8452380003203235,0.9301082674850922,0.9285
i21k_s,boot_pair,3,18,0.9085978850916523,0.956712919963378,0.9538
i21k_s,boot_pair,3,19,0.9201745359625888,0.9565700251588015,0.9465
i21k_s,boot_pair,3,20,0.8859629659546553,0.9423344566958166,0.8895
i21k_s,boot_pair,3,21,0.8406017751488862,0.9243785268278268,0.8752
i21k_s,boot_pair,3,22,0.9309210305376718,0.9561140165513493,0.951
i21k_s,boot_pair,3,23,0.8763921134824695,0.9588511548825523,0.9481
i21k_s,boot_pair,3,24,0.9083542706997634,0.9494770680122369,0.9429
i21k_s,boot_pair,3,25,0.623643114579489,0.9226751963158796,0.8582
i21k_s,boot_pair,3,26,0.819979219182114,0.9313159646259321,0.8855
i21k_s,boot_pair,3,27,0.6797866442541634,0.9559511442053521,0.9535
i21k_s,boot_pair,3,28,0.5848862250328007,0.9161814201091621,0.8538
i21k_s,boot_pair,3,29,0.6884432305788208,0.9500087817471013,0.9387
i21k_s,boot_pair,4,5,0.9009958674752219,0.9412968467122356,0.7468
i21k_s,boot_pair,4,6,0.8376736682015117,0.9249343247389693,0.7427
i21k_s,boot_pair,4,7,0.9389287744415425,0.9513900000092179,0.7594
i21k_s,boot_pair,4,8,0.873094222304424,0.9452486274599429,0.7482
i21k_s,boot_pair,4,9,0.8346491961136202,0.9207392720233378,0.7233
i21k_s,boot_pair,4,10,0.8334872184700192,0.9146437011467679,0.7118
i21k_s,boot_pair,4,11,0.6700724441029222,0.956998165333105,0.9626
i21k_s,boot_pair,4,12,0.8530287025064468,0.9565277959284324,0.9618
i21k_s,boot_pair,4,13,0.8391554627172438,0.9259778636408447,0.7242
i21k_s,boot_pair,4,14,0.9340514515071634,0.9515973659263206,0.7575
i21k_s,boot_pair,4,15,0.8266018053243215,0.9257870131886967,0.7284
i21k_s,boot_pair,4,16,0.875251515095624,0.9425164610663737,0.747
i21k_s,boot_pair,4,17,0.8283550681975701,0.9182071279978223,0.7372
i21k_s,boot_pair,4,18,0.9123133850207827,0.9465832957070526,0.7519
i21k_s,boot_pair,4,19,0.9160442157257436,0.9413151801389644,0.7514
i21k_s,boot_pair,4,20,0.8525766563403453,0.9161998468618963,0.7178
i21k_s,boot_pair,4,21,0.8626327490100105,0.9267065745690888,0.7291
i21k_s,boot_pair,4,22,0.9040419390771962,0.9456479284636037,0.749
i21k_s,boot_pair,4,23,0.8588276454453619,0.9447321600095471,0.7509
i21k_s,boot_pair,4,24,0.9175538298818675,0.9493924146488184,0.7496
i21k_s,boot_pair,4,25,0.6087560118842679,0.9061783238294087,0.7106
i21k_s,boot_pair,4,26,0.8404497235100395,0.9202300308507522,0.7233
i21k_s,boot_pair,4,27,0.6644314370614233,0.9377502029947192,0.749
i21k_s,boot_pair,4,28,0.6168983158769427,0.9234582651779947,0.7192
i21k_s,boot_pair,4,29,0.6765251245964985,0.9463340439473483,0.7514
i21k_s,boot_pair,5,6,0.8483217535118389,0.9353262814523428,0.9316
i21k_s,boot_pair,5,7,0.9125484310445908,0.9493971240278759,0.9486
i21k_s,boot_pair,5,8,0.895753689388922,0.9547977619162716,0.9444
i21k_s,boot_pair,5,9,0.8292222683084133,0.9358880453505166,0.8821
i21k_s,boot_pair,5,10,0.8299535561139751,0.9294375777724662,0.8805
i21k_s,boot_pair,5,11,0.6801117911430448,0.9301820211137299,0.7349
i21k_s,boot_pair,5,12,0.8463397643482846,0.9386412457582766,0.7444
i21k_s,boot_pair,5,13,0.8212285831552834,0.9297975569873307,0.8673
i21k_s,boot_pair,5,14,0.9047955874966571,0.9458972425321425,0.9359
i21k_s,boot_pair,5,15,0.8200473681698172,0.9334080453560335,0.8836
i21k_s,boot_pair,5,16,0.8689909000157893,0.9546715174887089,0.9444
i21k_s,boot_pair,5,17,0.8597882856867981,0.9387858601947341,0.9399
i21k_s,boot_pair,5,18,0.8840750040837861,0.9531905960406731,0.9617
i21k_s,boot_pair,5,19,0.911892488812931,0.9481054496679472,0.943
i21k_s,boot_pair,5,20,0.8848415813868622,0.9371630795056736,0.891
i21k_s,boot_pair,5,21,0.8700117120384707,0.9405699965102295,0.8877
i21k_s,boot_pair,5,22,0.9405895779080212,0.966741076058444,0.9656
i21k_s,boot_pair,5,23,0.8797288178068564,0.9553805123764216,0.9462
i21k_s,boot_pair,5,24,0.9431899263462237,0.9666470757465881,0.9564
i21k_s,boot_pair,5,25,0.6170326056594858,0.9127468618876377,0.8426
i21k_s,boot_pair,5,26,0.8280550556370221,0.9429573633188452,0.8977
i21k_s,boot_pair,5,27,0.6791687945684414,0.959272555423627,0.9594
i21k_s,boot_pair,5,28,0.5944297433679171,0.9203716209706816,0.8582
i21k_s,boot_pair,5,29,0.6907582526815647,0.9410232960371733,0.9261
i21k_s,boot_pair,6,7,0.8518307111158253,0.936928741573706,0.9509
i21k_s,boot_pair,6,8,0.8694841408684431,0.9396756907414079,0.9422
i21k_s,boot_pair,6,9,0.8555907477994734,0.9341794459710042,0.8778
i21k_s,boot_pair,6,10,0.843634319547971,0.9182584749188913,0.8522
i21k_s,boot_pair,6,11,0.610424958403062,0.9175658021101587,0.7265
i21k_s,boot_pair,6,12,0.7968148463921353,0.9191161088719891,0.7395
i21k_s,boot_pair,6,13,0.8729885546211179,0.9408014578426357,0.8814
i21k_s,boot_pair,6,14,0.8657209504272437,0.9387040917006813,0.9407
i21k_s,boot_pair,6,15,0.8437088805257043,0.9300666547641532,0.8762
i21k_s,boot_pair,6,16,0.809830155814668,0.9355405536135283,0.9338
i21k_s,boot_pair,6,17,0.8856657792555108,0.9524012190876819,0.9533
i21k_s,boot_pair,6,18,0.8443740994297934,0.937949284811114,0.9443
i21k_s,boot_pair,6,19,0.8537536867425906,0.9319708038012019,0.9243
i21k_s,boot_pair,6,20,0.8970980714565205,0.931038036474337,0.875
i21k_s,boot_pair,6,21,0.8930572704405452,0.9361883174297945,0.8873
i21k_s,boot_pair,6,22,0.8681534939176259,0.939589660892368,0.9389
i21k_s,boot_pair,6,23,0.7989786296269287,0.9328542095370775,0.9316
i21k_s,boot_pair,6,24,0.8623647768875088,0.9427451398876673,0.9452
i21k_s,boot_pair,6,25,0.63650445265853,0.9237666957823197,0.8624
i21k_s,boot_pair,6,26,0.859146467188649,0.931922510433192,0.8778
i21k_s,boot_pair,6,27,0.6276080617995402,0.937087154565075,0.9364
i21k_s,boot_pair,6,28,0.6295007258469604,0.930154809586953,0.873
i21k_s,boot_pair,6,29,0.6259013813858544,0.9274193101195201,0.9191
i21k_s,boot_pair,7,8,0.882107606365452,0.9481133145195614,0.955
i21k_s,boot_pair,7,9,0.8269582272662953,0.9361632109851679,0.8954
i21k_s,boot_pair,7,10,0.8384282420307346,0.9324468079575304,0.8696
i21k_s,boot_pair,7,11,0.6707756290493248,0.9302791338212509,0.7395
i21k_s,boot_pair,7,12,0.8469568944056408,0.9405006210180755,0.7536
i21k_s,boot_pair,7,13,0.8316247332082429,0.9312750305858593,0.8768
i21k_s,boot_pair,7,14,0.9389974073213287,0.9554733742524175,0.9494
i21k_s,boot_pair,7,15,0.8252181884679314,0.938029614063136,0.8915
i21k_s,boot_pair,7,16,0.8666456064582716,0.9493469304560012,0.9405
i21k_s,boot_pair,7,17,0.8507963260911836,0.9358667906811527,0.9508
i21k_s,boot_pair,7,18,0.9130967568691003,0.9617453108742501,0.9635
i21k_s,boot_pair,7,19,0.9296645472208297,0.9523363023536268,0.9415
i21k_s,boot_pair,7,20,0.8663860122667697,0.9318356532623484,0.8841
i21k_s,boot_pair,7,21,0.8870164547504669,0.9422337282277674,0.8988
i21k_s,boot_pair,7,22,0.9233935898468302,0.9600791458382233,0.9587
i21k_s,boot_pair,7,23,0.8482973749597114,0.9498545954687725,0.947
i21k_s,boot_pair,7,24,0.9335372258392214,0.9620330048994707,0.9658
i21k_s,boot_pair,7,25,0.6086108468679267,0.921913987211607,0.8723
i21k_s,boot_pair,7,26,0.8452187081282057,0.936497252245003,0.8885
i21k_s,boot_pair,7,27,0.6735171190930368,0.956619964502542,0.9617
i21k_s,boot_pair,7,28,0.6155900693966538,0.9350242638411834,0.8849
i21k_s,boot_pair,7,29,0.6743706406171526,0.9477328461106697,0.9377
i21k_s,boot_pair,8,9,0.8015419277081802,0.9390693194301661,0.8918
i21k_s,boot_pair,8,10,0.7974970821142244,0.927703370501074,0.8698
i21k_s,boot_pair,8,11,0.6454363250699727,0.9346560116922432,0.7367
i21k_s,boot_pair,8,12,0.8265687195379209,0.9369508870901133,0.7436
i21k_s,boot_pair,8,13,0.8179911666153872,0.9431325101332377,0.887
i21k_s,boot_pair,8,14,0.883138636372111,0.9454534636548383,0.9479
i21k_s,boot_pair,8,15,0.7909362649844649,0.9349179438282202,0.887
i21k_s,boot_pair,8,16,0.839105864462043,0.9522775050906379,0.9493
i21k_s,boot_pair,8,17,0.8359688392634766,0.9458695377346976,0.9534
i21k_s,boot_pair,8,18,0.8614607170137553,0.9507746391886198,0.9573
i21k_s,boot_pair,8,19,0.8762297981971923,0.9473597066520821,0.9385
i21k_s,boot_pair,8,20,0.8511247155347343,0.9363297645925913,0.8901
i21k_s,boot_pair,8,21,0.8389902188308939,0.938782259550688,0.8973
i21k_s,boot_pair,8,22,0.8874088912488547,0.9558526378265008,0.953
i21k_s,boot_pair,8,23,0.8399542824451769,0.9549925647010032,0.9519
i21k_s,boot_pair,8,24,0.9036239531145809,0.969364701183996,0.9729
i21k_s,boot_pair,8,25,0.591229085769902,0.9222009173654026,0.8668
i21k_s,boot_pair,8,26,0.8057910651668545,0.9321515832548147,0.8839
i21k_s,boot_pair,8,27,0.6501304333631585,0.9518914621475839,0.9512
i21k_s,boot_pair,8,28,0.5773856058393714,0.9275383687871132,0.8713
i21k_s,boot_pair,8,29,0.658543912081462,0.9480596829631268,0.9404
i21k_s,boot_pair,9,10,0.9068433611814507,0.9552029064711296,0.9421
i21k_s,boot_pair,9,11,0.6004377394676257,0.9146003630626796,0.713
i21k_s,boot_pair,9,12,0.8406021332555331,0.9207190022988608,0.7215
i21k_s,boot_pair,9,13,0.9075884967440239,0.9558404862621894,0.9519
i21k_s,boot_pair,9,14,0.8402809576896539,0.9363782361157748,0.8851
i21k_s,boot_pair,9,15,0.9147695368660751,0.956186640656283,0.9587
