model,kind,a,b,ari_cut,coph_corr,triplet_agree
i21k_t,boot_pair,0,1,0.8054727546702989,0.9511227107826676,0.9708
i21k_t,boot_pair,0,2,0.7562904665511163,0.9123315662319664,0.8992
i21k_t,boot_pair,0,3,0.7664842492280266,0.913451470612676,0.8823
i21k_t,boot_pair,0,4,0.7690668118845052,0.9130396050110345,0.8843
i21k_t,boot_pair,0,5,0.7602575412882612,0.9113358969858295,0.8762
i21k_t,boot_pair,0,6,0.7681153353270376,0.9147700843258864,0.8855
i21k_t,boot_pair,0,7,0.7971128371208575,0.9110906508598823,0.8807
i21k_t,boot_pair,0,8,0.7863008255896552,0.9507007758484133,0.9687
i21k_t,boot_pair,0,9,0.7660240705626673,0.9212689166713434,0.8852
i21k_t,boot_pair,0,10,0.7476570149928656,0.9490039882967171,0.9704
i21k_t,boot_pair,0,11,0.7827271547251342,0.9518033431910654,0.9716
i21k_t,boot_pair,0,12,0.8000107689403168,0.9582673206938177,0.9717
i21k_t,boot_pair,0,13,0.8060569606975473,0.960260920691019,0.9731
i21k_t,boot_pair,0,14,0.8466927757401427,0.9598454577091068,0.9755
i21k_t,boot_pair,0,15,0.8354064577792226,0.9482498639925656,0.9643
i21k_t,boot_pair,0,16,0.821780633610209,0.9491845683147376,0.969
i21k_t,boot_pair,0,17,0.8212767100864702,0.9545042653235742,0.9725
i21k_t,boot_pair,0,18,0.810659918411105,0.9476561046134668,0.9648
i21k_t,boot_pair,0,19,0.7823459782030966,0.9611445213376102,0.977
i21k_t,boot_pair,0,20,0.8825819914725574,0.9608728219698403,0.974
i21k_t,boot_pair,0,21,0.7434354633555676,0.9278636657148994,0.9196
i21k_t,boot_pair,0,22,0.76557129073109,0.9496721795144636,0.9695
i21k_t,boot_pair,0,23,0.8164745358355477,0.9117192506147631,0.8757
i21k_t,boot_pair,0,24,0.8037085512877771,0.9197488859034554,0.9039
i21k_t,boot_pair,0,25,0.7877255177247133,0.9411612702985629,0.962
i21k_t,boot_pair,0,26,0.8055583971691896,0.9136997555819252,0.8814
i21k_t,boot_pair,0,27,0.7751313756134164,0.9093429157386517,0.8778
i21k_t,boot_pair,0,28,0.7852947240206373,0.9475577042262713,0.9654
i21k_t,boot_pair,0,29,0.7983491196037803,0.9125123952042536,0.88
i21k_t,boot_pair,1,2,0.7852080127131771,0.9042482963899784,0.8899
i21k_t,boot_pair,1,3,0.8537938309761074,0.9274705867562983,0.8845
i21k_t,boot_pair,1,4,0.8416705612785991,0.9211314151764171,0.8825
i21k_t,boot_pair,1,5,0.8127750550915521,0.9201918842475985,0.8816
i21k_t,boot_pair,1,6,0.8366230709254495,0.9227976066861154,0.885
i21k_t,boot_pair,1,7,0.8819346109065735,0.9281822520783709,0.8859
i21k_t,boot_pair,1,8,0.7918218221459487,0.9524401879801935,0.9703
i21k_t,boot_pair,1,9,0.8081549091859159,0.9122092972204442,0.8764
i21k_t,boot_pair,1,10,0.7973849456440634,0.9605003405734543,0.9775
i21k_t,boot_pair,1,11,0.792159950454482,0.9495122680419644,0.9693
i21k_t,boot_pair,1,12,0.8074164671339118,0.9506030778623746,0.9689
i21k_t,boot_pair,1,13,0.8472737835668631,0.9620728865299867,0.9732
i21k_t,boot_pair,1,14,0.8658419638699935,0.9622984441032771,0.9761
i21k_t,boot_pair,1,15,0.8425956991521502,0.9633764138028827,0.9776
i21k_t,boot_pair,1,16,0.8439224696936053,0.9533748022020738,0.9716
i21k_t,boot_pair,1,17,0.8494339625498448,0.965050313222351,0.975
i21k_t,boot_pair,1,18,0.8542462602630342,0.9665497608185256,0.9809
i21k_t,boot_pair,1,19,0.8275958956558309,0.9587692199180208,0.9746
i21k_t,boot_pair,1,20,0.8197869996199968,0.9590335434622486,0.973
i21k_t,boot_pair,1,21,0.8040936401548664,0.9296054697066224,0.9197
i21k_t,boot_pair,1,22,0.821849636101887,0.9492544929933934,0.9639
i21k_t,boot_pair,1,23,0.8479591161725555,0.9185291745176123,0.8789
i21k_t,boot_pair,1,24,0.8190587739585251,0.9317375520845801,0.9039
i21k_t,boot_pair,1,25,0.827967622550655,0.9634044779875267,0.9793
i21k_t,boot_pair,1,26,0.8665880238175486,0.9184950028804516,0.8806
i21k_t,boot_pair,1,27,0.8437657037193208,0.9122753994426678,0.8764
i21k_t,boot_pair,1,28,0.8488576017853116,0.9558413324154224,0.9709
i21k_t,boot_pair,1,29,0.8747859304573019,0.9201450117727334,0.8809
i21k_t,boot_pair,2,3,0.7725021347023926,0.913615111979669,0.8624
i21k_t,boot_pair,2,4,0.7631341787623536,0.9160544397106527,0.8676
i21k_t,boot_pair,2,5,0.772566162665412,0.9112372792246598,0.8628
i21k_t,boot_pair,2,6,0.7697534122627537,0.9082365300801949,0.8593
i21k_t,boot_pair,2,7,0.8077697907411695,0.911331525865985,0.8579
i21k_t,boot_pair,2,8,0.7586526039095968,0.9167104463473978,0.9055
i21k_t,boot_pair,2,9,0.7847692536818338,0.9163431611270786,0.8609
i21k_t,boot_pair,2,10,0.7871230331234902,0.9112486641500498,0.9024
i21k_t,boot_pair,2,11,0.7795014208556632,0.9156023770364661,0.9041
i21k_t,boot_pair,2,12,0.8089343029435311,0.9180872314436935,0.9065
i21k_t,boot_pair,2,13,0.7933180190055499,0.9244743725341229,0.9082
i21k_t,boot_pair,2,14,0.791606219241479,0.9118784582961963,0.8976
i21k_t,boot_pair,2,15,0.7603789964557058,0.908876014119898,0.8975
i21k_t,boot_pair,2,16,0.7761639744011469,0.9061343480410697,0.8962
i21k_t,boot_pair,2,17,0.7789904592565382,0.9177220047023005,0.901
i21k_t,boot_pair,2,18,0.7658262591942273,0.9084562037607574,0.8987
i21k_t,boot_pair,2,19,0.7849304820965615,0.9159348205090105,0.9041
i21k_t,boot_pair,2,20,0.770105294059549,0.9201029764802712,0.9072
i21k_t,boot_pair,2,21,0.7529993018336122,0.914129281673448,0.8729
i21k_t,boot_pair,2,22,0.7871466463591664,0.9262210908145376,0.9104
i21k_t,boot_pair,2,23,0.8024230723019781,0.902395160432187,0.8536
i21k_t,boot_pair,2,24,0.7949880752715157,0.9121980307500566,0.8719
i21k_t,boot_pair,2,25,0.7740772045563152,0.9069565635242426,0.8951
i21k_t,boot_pair,2,26,0.8235528863952084,0.9117678996912979,0.866
i21k_t,boot_pair,2,27,0.8190014905566362,0.9146189560530722,0.8675
i21k_t,boot_pair,2,28,0.7583181160744721,0.9069414146587575,0.8978
i21k_t,boot_pair,2,29,0.7837737680797625,0.9121928928651918,0.8639
i21k_t,boot_pair,3,4,0.859523370761778,0.9577729826067081,0.9698
i21k_t,boot_pair,3,5,0.7934118953224258,0.9522792107150323,0.9714
i21k_t,boot_pair,3,6,0.8131139719170302,0.9670082714759418,0.9788
i21k_t,boot_pair,3,7,0.8271208108177607,0.9665839664649047,0.9819
i21k_t,boot_pair,3,8,0.7444823539574699,0.9152167993737905,0.8774
i21k_t,boot_pair,3,9,0.7653709456257575,0.9550645460975785,0.9713
i21k_t,boot_pair,3,10,0.7604677390244096,0.9201331325521972,0.8822
i21k_t,boot_pair,3,11,0.7735941511078429,0.9174056317438598,0.8805
i21k_t,boot_pair,3,12,0.7942360949385675,0.9167191348147349,0.8808
i21k_t,boot_pair,3,13,0.8375103995347988,0.9282319834107596,0.8862
i21k_t,boot_pair,3,14,0.8073433221854035,0.918523775987478,0.8856
i21k_t,boot_pair,3,15,0.8001157929972028,0.9117824865411663,0.8764
i21k_t,boot_pair,3,16,0.7988873563958951,0.9181737551210191,0.8834
i21k_t,boot_pair,3,17,0.7828395678439997,0.9253579778589371,0.8824
i21k_t,boot_pair,3,18,0.7949152438489715,0.9146870408293902,0.8766
