model,kind,a,b,ari_cut,coph_corr,triplet_agree
siglip_b,boot_pair,0,1,0.878078058229671,0.9650975528461405,0.9506
siglip_b,boot_pair,0,2,0.8307509390004257,0.9275096021921564,0.8747
siglip_b,boot_pair,0,3,0.7377970209969644,0.9544483245126808,0.941
siglip_b,boot_pair,0,4,0.768696171693479,0.9628378706968049,0.9475
siglip_b,boot_pair,0,5,0.8057907099738786,0.9554064422246916,0.9349
siglip_b,boot_pair,0,6,0.6335257324846741,0.9146211922575881,0.8784
siglip_b,boot_pair,0,7,0.797592845663954,0.9678275756045899,0.9575
siglip_b,boot_pair,0,8,0.7621688454271427,0.9518319312461869,0.9321
siglip_b,boot_pair,0,9,0.8707572994789249,0.9652236494289415,0.9515
siglip_b,boot_pair,0,10,0.7691949585058837,0.9192730433746719,0.8687
siglip_b,boot_pair,0,11,0.7716571346202348,0.9475481715216775,0.9189
siglip_b,boot_pair,0,12,0.7710860263696766,0.960209205128246,0.9428
siglip_b,boot_pair,0,13,0.8007840298364655,0.955032057576792,0.9103
siglip_b,boot_pair,0,14,0.7762052224350732,0.9663806016946267,0.9545
siglip_b,boot_pair,0,15,0.7673019271343607,0.9500977163343899,0.9351
siglip_b,boot_pair,0,16,0.7635107785963356,0.9706083761259878,0.9549
siglip_b,boot_pair,0,17,0.6068184756404976,0.9401215817094842,0.9194
siglip_b,boot_pair,0,18,0.7533343020565831,0.9576679072167887,0.9393
siglip_b,boot_pair,0,19,0.7886867318902689,0.9254323401610421,0.8723
siglip_b,boot_pair,0,20,0.7698150036894705,0.9609981946795414,0.9473
siglip_b,boot_pair,0,21,0.7021061271797338,0.9218335476135042,0.8827
siglip_b,boot_pair,0,22,0.6453511983459811,0.939556213150511,0.9157
siglip_b,boot_pair,0,23,0.8492888442558663,0.9614889900093336,0.9249
siglip_b,boot_pair,0,24,0.7561109531366168,0.9523485846360925,0.9231
siglip_b,boot_pair,0,25,0.7405290208252221,0.9576379979314762,0.9387
siglip_b,boot_pair,0,26,0.751418921032414,0.9210374576039017,0.8657
siglip_b,boot_pair,0,27,0.7510993633317756,0.9232377756294547,0.8744
siglip_b,boot_pair,0,28,0.7781319464919128,0.928237248797919,0.883
siglip_b,boot_pair,0,29,0.7635282130150494,0.9178226582418756,0.8661
siglip_b,boot_pair,1,2,0.8156674952722792,0.9180271598047604,0.8661
siglip_b,boot_pair,1,3,0.7743410180820672,0.9605551491708004,0.956
siglip_b,boot_pair,1,4,0.7784417348620956,0.9613004201155638,0.949
siglip_b,boot_pair,1,5,0.8515615250230996,0.9591716025226507,0.9431
siglip_b,boot_pair,1,6,0.6789712063548171,0.9264079945462985,0.8916
siglip_b,boot_pair,1,7,0.8144026218997006,0.9685189641515445,0.9586
siglip_b,boot_pair,1,8,0.7878972607470998,0.9642841703846803,0.9504
siglip_b,boot_pair,1,9,0.878716214579544,0.9651159303840638,0.9556
siglip_b,boot_pair,1,10,0.8050355304698383,0.9194104592297245,0.8673
siglip_b,boot_pair,1,11,0.779429843660226,0.9545034917403893,0.9384
siglip_b,boot_pair,1,12,0.7754368029293573,0.9582500796047727,0.9505
siglip_b,boot_pair,1,13,0.8149151199313835,0.9576535719340187,0.922
siglip_b,boot_pair,1,14,0.7762190053165589,0.9706837639800852,0.9585
