model,n_pairs,ari_cut_mean,ari_cut_sd,ari_cut_min,ari_cut_ref_mean,coph_corr_mean,coph_corr_sd,coph_corr_min,coph_corr_ref_mean,triplet_agree_mean,triplet_agree_sd,triplet_agree_min,triplet_agree_ref_mean
i21k_t,435,0.8091697143809982,0.031354371336619384,0.7425634332792547,0.8409053274119482,0.9361705971877152,0.019117804274376725,0.902395160432187,0.9519397798396987,0.9261508045977013,0.0429544321629176,0.8536,0.94257
i21k_s,435,0.7968121797097981,0.10626462327884853,0.5773856058393714,0.8312491559411345,0.9402206737774107,0.013190500359865218,0.8987280218263687,0.9387275075766895,0.8797712643678153,0.07686879045851036,0.6983,0.7567766666666667
i21k_b,435,0.9401770330300049,0.012860508124357583,0.8956976532281407,0.9512522110910825,0.9378279342656817,0.013707865773067665,0.9009766439860276,0.9419676833302759,0.8599087356321837,0.03961599624565739,0.7542,0.8704533333333333
i21k_l,435,0.8360957115095722,0.06279129763618092,0.6878543118958493,0.8698526681181067,0.9593424370575924,0.007959534751652073,0.9279230342845229,0.9632590547786533,0.9554852873563221,0.020610603387078406,0.8741,0.9560166666666667
dinov1_b,435,0.779238887531338,0.0994007193736028,0.5614426856271373,0.8333088339061049,0.9444573478399044,0.00825980529128291,0.9205151254953484,0.9536226084543661,0.9645510344827583,0.006757775353562956,0.9461,0.96761
dinov2_s,435,0.6589749625121367,0.047986482548673035,0.538764005975288,0.6857900604921733,0.9080414336938231,0.00903089644056143,0.8831391150297481,0.9248186491719388,0.8551747126436785,0.04760464054556585,0.6940000000000001,0.8618933333333334
dinov2_b,435,0.6426629428482777,0.08807716798370137,0.4126413081855603,0.6845188412444635,0.9306748749501621,0.006893530444668884,0.904390625295294,0.9453168481871431,0.858530114942529,0.030815332809526395,0.7694,0.8838666666666668
dinov2_l,435,0.7778118742839873,0.04917722530634013,0.6354192601574893,0.7550537325699637,0.9382805488598414,0.005373998452598347,0.9217176083406934,0.9469298307757738,0.8486735632183903,0.03831919499436486,0.7138,0.8562866666666668
dinov2_g,435,0.7637165765304683,0.053814233795700814,0.5892067722948015,0.7466016015480231,0.9492312645148678,0.00575324719550287,0.933035564211402,0.9590115674858388,0.8834629885057479,0.017987356934286762,0.8374,0.8814766666666667
clip_b,435,0.8653586378380239,0.03552116339716981,0.7494021349035793,0.8881782336608697,0.9394104288033034,0.011388657968381394,0.910669357213588,0.9504263462545594,0.9299305747126438,0.016318229561701585,0.8811,0.9401666666666667
clip_l,435,0.8201066967316908,0.05939053189097643,0.6726591994006288,0.8450760428843601,0.9652114046175632,0.008095717673865745,0.9346517007134738,0.9688397873629623,0.9509425287356327,0.011109343767135134,0.9232,0.9480633333333333
siglip_b,435,0.793278690214537,0.06602986404663659,0.5915705398216643,0.7002546341584311,0.9453194649804048,0.016511519240021793,0.9005209781049962,0.9410825696442529,0.9120443678160919,0.032606684653672335,0.8387,0.9082899999999998
ALL,5220,0.790283658926736,0.0806326690588151,0.6426629428482777,0.8026701119188884,0.941182367545689,0.014325415101956798,0.9080414336938231,0.9488285194051792,0.902052164750958,0.04281914754006308,0.8486735632183903,0.8977891666666666
