task,dataset,r,ci_lo,ci_hi
NC_adv,imagenet,-0.8299538566286401,-0.9708958200719404,-0.6548191498684095
NC_adv,cifar100,-0.8721075093413733,-0.9732418254739612,-0.7833490153455072
NC_adv,cifar10,-0.6272154679502255,-0.9698240687388693,-0.059772941396839675
NC_adv,dtd,-0.4559505568663606,-0.9045854964868308,0.22495036171554583
FS_adv,imagenet,-0.5702544110026774,-0.9126661787741982,0.14427267751193518
FS_adv,cifar100,-0.6710470510743493,-0.951591995499502,-0.14800980650705012
FS_adv,cifar10,-0.7841061935378572,-0.9261163134731901,-0.230026535438978
FS_adv,dtd,-0.7139437042005922,-0.9436427865939783,-0.321069474545359
NC_adv,POOLED(cluster-bs),-0.45162781160011517,-0.5969982706151161,-0.36161670740944735
FS_adv,POOLED(cluster-bs),-0.1789173708199831,-0.4996637281534299,0.12351317154596295
