dataset,model,NC_R_paper,NC_H_paper,FS_R_paper,FS_H_paper,NC_R,FS_R,NC_H,FS_H,dNC_R,dFS_R,dNC_H,dFS_H
imagenet,i21k_t,0.678,0.677,0.973,0.973,0.6809,0.9751,0.6716,0.9759,0.288,0.2093,-0.542,0.2907
imagenet,i21k_s,0.774,0.776,0.984,0.986,0.7766,0.9856,0.7753,0.9869,0.256,0.1613,-0.074,0.0907
imagenet,i21k_b,0.816,0.82,0.987,0.99,0.8159,0.989,0.8167,0.9901,-0.01,0.2027,-0.326,0.0093
imagenet,i21k_l,0.86,0.865,0.992,0.997,0.8614,0.9935,0.8618,0.9941,0.142,0.152,-0.324,-0.288
imagenet,dinov2_s,0.746,0.747,0.973,0.978,0.7468,0.974,0.7442,0.9787,0.076,0.096,-0.28,0.072
imagenet,dinov2_b,0.79,0.793,0.968,0.975,0.7886,0.9703,0.789,0.9777,-0.142,0.2267,-0.396,0.2707
imagenet,dinov2_l,0.801,0.805,0.96,0.969,0.7985,0.9624,0.8041,0.9713,-0.254,0.24,-0.088,0.2293
imagenet,dinov2_g,0.787,0.792,0.96,0.971,0.7844,0.9623,0.7831,0.9714,-0.26,0.2293,-0.894,0.0413
imagenet,clip_b,0.609,0.609,0.965,0.966,0.6142,0.9678,0.5994,0.9681,0.52,0.2773,-0.962,0.2107
imagenet,clip_l,0.749,0.752,0.983,0.989,0.7505,0.9841,0.7452,0.9855,0.152,0.112,-0.678,-0.348
cifar100,i21k_t,0.293,0.294,0.624,0.626,0.2928,0.6241,0.282,0.6315,-0.02,0.0093,-1.2,0.552
cifar100,i21k_s,0.749,0.752,0.922,0.924,0.7489,0.9217,0.7456,0.9244,-0.01,-0.0333,-0.64,0.036
cifar100,i21k_b,0.773,0.776,0.925,0.929,0.7733,0.9249,0.7699,0.9266,0.03,-0.0067,-0.61,-0.24
cifar100,i21k_l,0.853,0.857,0.948,0.955,0.853,0.948,0.852,0.9552,0.0,-0.0013,-0.5,0.0173
cifar100,dinov2_s,0.734,0.739,0.943,0.951,0.7342,0.9433,0.7439,0.9511,0.02,0.0253,0.49,0.0133
cifar100,dinov2_b,0.874,0.886,0.965,0.972,0.8735,0.9654,0.8795,0.9723,-0.05,0.0373,-0.65,0.0333
cifar100,dinov2_l,0.856,0.877,0.961,0.971,0.8562,0.9607,0.8767,0.9707,0.02,-0.0293,-0.03,-0.0253
cifar100,dinov2_g,0.898,0.91,0.959,0.972,0.8976,0.9594,0.9099,0.9716,-0.04,0.036,-0.01,-0.044
cifar100,clip_b,0.656,0.651,0.877,0.885,0.6561,0.8773,0.6513,0.889,0.01,0.0253,0.03,0.404
cifar100,clip_l,0.746,0.75,0.9,0.912,0.746,0.8997,0.745,0.9083,0.0,-0.0293,-0.5,-0.3733
cifar10,i21k_t,0.875,0.874,0.876,0.881,0.8752,0.8764,0.8735,0.8809,0.02,0.0427,-0.05,-0.0147
cifar10,i21k_s,0.934,0.932,0.92,0.923,0.9342,0.9204,0.9318,0.9245,0.02,0.04,-0.02,0.152
cifar10,i21k_b,0.945,0.95,0.927,0.932,0.945,0.9269,0.9404,0.9299,0.0,-0.008,-0.96,-0.2147
cifar10,i21k_l,0.975,0.98,0.95,0.958,0.9747,0.9501,0.975,0.9577,-0.03,0.012,-0.5,-0.0307
cifar10,dinov2_s,0.95,0.952,0.929,0.935,0.9499,0.929,0.9516,0.9347,-0.01,0.0,-0.04,-0.0347
cifar10,dinov2_b,0.971,0.974,0.947,0.954,0.9713,0.9468,0.9744,0.9536,0.03,-0.0187,0.04,-0.044
cifar10,dinov2_l,0.979,0.983,0.941,0.951,0.9792,0.9413,0.9834,0.9514,0.02,0.028,0.04,0.0413
cifar10,dinov2_g,0.978,0.982,0.923,0.938,0.9777,0.9234,0.9824,0.9383,-0.03,0.036,0.04,0.0253
cifar10,clip_b,0.879,0.879,0.895,0.901,0.8795,0.8951,0.8834,0.901,0.05,0.0067,0.44,0.0013
cifar10,clip_l,0.959,0.963,0.924,0.933,0.9593,0.924,0.9588,0.9301,0.03,0.0,-0.42,-0.2907
dtd,i21k_t,0.637,0.637,0.833,0.839,0.6372,0.8328,0.6255,0.8386,0.0234,-0.0173,-1.1468,-0.0373
