model,dataset,NC_R,NC_H,NC_adv,FS_R,FS_H,FS_adv
i21k_t,imagenet,0.6809,0.6716,-0.9300,0.9751,0.9759,0.0800
i21k_s,imagenet,0.7766,0.7753,-0.1300,0.9856,0.9869,0.1300
i21k_b,imagenet,0.8159,0.8167,0.0800,0.9890,0.9901,0.1100
i21k_l,imagenet,0.8614,0.8618,0.0400,0.9935,0.9941,0.0600
dinov2_s,imagenet,0.7468,0.7442,-0.2600,0.9740,0.9787,0.4700
dinov2_b,imagenet,0.7886,0.7890,0.0400,0.9703,0.9777,0.7400
dinov2_l,imagenet,0.7985,0.8041,0.5600,0.9624,0.9713,0.8900
dinov2_g,imagenet,0.7844,0.7831,-0.1300,0.9623,0.9714,0.9100
clip_b,imagenet,0.6142,0.5994,-1.4800,0.9678,0.9681,0.0300
clip_l,imagenet,0.7505,0.7452,-0.5300,0.9841,0.9855,0.1400
i21k_t,cifar100,0.2928,0.2820,-1.0800,0.6241,0.6315,0.7400
i21k_s,cifar100,0.7489,0.7456,-0.3300,0.9217,0.9244,0.2700
i21k_b,cifar100,0.7733,0.7699,-0.3400,0.9249,0.9266,0.1700
i21k_l,cifar100,0.8530,0.8520,-0.1000,0.9480,0.9552,0.7200
dinov2_s,cifar100,0.7342,0.7439,0.9700,0.9433,0.9511,0.7800
dinov2_b,cifar100,0.8735,0.8795,0.6000,0.9654,0.9723,0.6900
dinov2_l,cifar100,0.8562,0.8767,2.0500,0.9607,0.9707,1.0000
dinov2_g,cifar100,0.8976,0.9099,1.2300,0.9594,0.9716,1.2200
clip_b,cifar100,0.6561,0.6513,-0.4800,0.8773,0.8890,1.1700
clip_l,cifar100,0.7460,0.7450,-0.1000,0.8997,0.9083,0.8600
i21k_t,cifar10,0.8752,0.8735,-0.1700,0.8764,0.8809,0.4500
i21k_s,cifar10,0.9342,0.9318,-0.2400,0.9204,0.9245,0.4100
i21k_b,cifar10,0.9450,0.9404,-0.4600,0.9269,0.9299,0.3000
i21k_l,cifar10,0.9747,0.9750,0.0300,0.9501,0.9577,0.7600
dinov2_s,cifar10,0.9499,0.9516,0.1700,0.9290,0.9347,0.5700
dinov2_b,cifar10,0.9713,0.9744,0.3100,0.9468,0.9536,0.6800
dinov2_l,cifar10,0.9792,0.9834,0.4200,0.9413,0.9514,1.0100
dinov2_g,cifar10,0.9777,0.9824,0.4700,0.9234,0.9383,1.4900
clip_b,cifar10,0.8795,0.8834,0.3900,0.8951,0.9010,0.5900
clip_l,cifar10,0.9593,0.9588,-0.0500,0.9240,0.9301,0.6100
i21k_t,dtd,0.6372,0.6255,-1.1700,0.8328,0.8386,0.5800
i21k_s,dtd,0.6931,0.6851,-0.8000,0.8535,0.8599,0.6400
i21k_b,dtd,0.7080,0.7080,0.0000,0.8535,0.8615,0.8000
i21k_l,dtd,0.7176,0.7154,-0.2200,0.8558,0.8651,0.9300
dinov2_s,dtd,0.7335,0.7340,0.0500,0.8984,0.9050,0.6600
dinov2_b,dtd,0.7420,0.7473,0.5300,0.8917,0.9030,1.1300
dinov2_l,dtd,0.7441,0.7516,0.7500,0.8705,0.8844,1.3900
dinov2_g,dtd,0.7293,0.7309,0.1600,0.8722,0.8854,1.3200
clip_b,dtd,0.6367,0.6324,-0.4300,0.8220,0.8306,0.8600
clip_l,dtd,0.6862,0.6899,0.3700,0.8517,0.8616,0.9900
i21k_t,fashionmnist,0.7855,0.7840,-0.1500,0.8162,0.8193,0.3100
i21k_s,fashionmnist,0.8070,0.8042,-0.2800,0.8366,0.8353,-0.1300
i21k_b,fashionmnist,0.8134,0.8160,0.2600,0.8341,0.8334,-0.0700
i21k_l,fashionmnist,0.8373,0.8352,-0.2100,0.8443,0.8472,0.2900
dinov2_s,fashionmnist,0.8220,0.8220,0.0000,0.8542,0.8546,0.0400
dinov2_b,fashionmnist,0.8325,0.8283,-0.4200,0.8594,0.8593,-0.0100
dinov2_l,fashionmnist,0.8442,0.8453,0.1100,0.8775,0.8793,0.1800
dinov2_g,fashionmnist,0.8586,0.8581,-0.0500,0.8898,0.8920,0.2200
clip_b,fashionmnist,0.7586,0.7514,-0.7200,0.7879,0.7886,0.0700
clip_l,fashionmnist,0.7620,0.7594,-0.2600,0.7677,0.7733,0.5600
i21k_t,mnist,0.7589,0.7399,-1.9000,0.7428,0.7459,0.3100
i21k_s,mnist,0.8484,0.8406,-0.7800,0.8050,0.8137,0.8700
i21k_b,mnist,0.8158,0.8050,-1.0800,0.7681,0.7762,0.8100
i21k_l,mnist,0.8415,0.8356,-0.5900,0.8079,0.8159,0.8000
dinov2_s,mnist,0.8340,0.8193,-1.4700,0.8020,0.8077,0.5700
dinov2_b,mnist,0.8057,0.7885,-1.7200,0.7658,0.7709,0.5100
dinov2_l,mnist,0.7409,0.7269,-1.4000,0.7053,0.7114,0.6100
dinov2_g,mnist,0.7926,0.7861,-0.6500,0.7292,0.7376,0.8400
clip_b,mnist,0.7013,0.6657,-3.5600,0.7090,0.6967,-1.2300
clip_l,mnist,0.8522,0.8610,0.8800,0.8372,0.8466,0.9400
